BLDGID5,REGION5,CENDIV5,SQFT5,YRCONC5,PBA5,ADJWT5,ELHTBTU5,ELCLBTU5,ELVNBTU5,ELWTBTU5,ELLTBTU5,ELCKBTU5,ELRFBTU5,ELOFBTU5,ELMSBTU5,NGHTBTU5,NGWTBTU5,NGCKBTU5,NGMSBTU5,FKHTBTU5,FKWTBTU5,FKMSBTU5,DHHTBTU5,DHWTBTU5,DHMSBTU5
1,4,9,100001,6,4,293.95,0,0,252681,0,663930,0,1573,98255,571107,0,511825,0,0,              ,              ,              ,11311000,0,0
2,3,5,15000,5,13,1.03,0,314307,67466,94112,1095307,0,25561,13543,66362,4557235,0,0,0,              ,              ,              ,              ,              ,
3,4,9,4000,5,5,435.97,0,0,0,0,81442,0,261,1823,1389,0,171226,0,0,              ,              ,              ,              ,              ,
4,1,2,140000,1,21,136.77,0,52090,0,335316,223397,0,1406,1831,10644,              ,              ,              ,              ,              ,              ,              ,6517000,0,0
5,2,4,9000,2,11,2202.55,0,0,0,0,1149,0,15830,235,179,              ,              ,              ,              ,              ,              ,              ,              ,              ,
6,2,3,140000,4,17,280.79,0,0,12208,0,2871245,0,201122,127211,697942,0,0,899449,0,              ,              ,              ,17916499,2606501,0
7,3,6,20000,3,2,1438.51,0,195977,47583,0,229628,0,3628,134249,21915,1307094,248137,0,0,              ,              ,              ,              ,              ,
8,3,5,50001,3,5,207.73,206381,77294,8889,48086,240932,0,2831,20633,570917,1539328,0,0,171590,              ,              ,              ,              ,              ,
9,2,3,70000,3,14,1.1,0,360122,7947,0,402450,0,30804,11634,52607,2437739,103891,0,0,              ,              ,              ,              ,              ,
10,1,2,2000,5,7,1566.97,28572,7252,230,0,152900,0,127,1175,6829,472049,137942,0,0,              ,              ,              ,              ,              ,
11,3,5,25001,5,2,464.11,158,357411,93262,260128,1326655,0,6664,347847,46632,              ,              ,              ,              ,              ,              ,              ,              ,              ,
12,3,7,6000,6,12,1882.46,0,32926,26616,0,33709,0,3798,1077,5278,246388,23416,0,0,              ,              ,              ,              ,              ,
13,3,5,1001,9,18,21.85,0,287814,34674,0,135785,0,10257,4549,37531,55522,489539,0,0,              ,              ,              ,              ,              ,
14,1,2,6000,3,5,545.75,0,5288,1624,12165,22532,0,266,1985,1301,177313,0,0,8319,              ,              ,              ,              ,              ,
15,4,8,5000,7,3,2115.72,0,2027,44539,42314,69709,0,3688,15218,3457,152379,0,0,19876,              ,              ,              ,              ,              ,
16,4,9,1500,6,6,1795.89,0,21876,682,0,36471,0,196199,1175,10941,0,22021,0,0,              ,              ,              ,              ,              ,
17,1,2,45000,1,15,1421.18,0,133881,0,81781,13168,0,8525,87,978,260224,0,456886,0,              ,              ,              ,              ,              ,
18,2,3,800000,3,5,12.14,899139,401744,24656,260212,329234,0,7187,50628,38926,1062442,0,0,0,              ,              ,              ,              ,              ,
