state,1975,1990,2005,2020,2035,2050,2065,2080,2095
AK,36.378777,42.136757,127.591614,116.398865,234.051689,140.936859,269.662407,234.385818,561.932831
AL,1908.2771,2178.671631,2654.343994,2964.351563,3057.740356,3708.760498,3791.731201,3917.27002,4382.684082
AR,1988.891724,2151.052979,2671.714111,3126.225586,3163.18335,3759.76709,4003.755981,4156.251953,4751.491699
AZ,2601.013428,2882.827393,2877.551514,2938.63916,3302.731323,3732.638916,3880.138916,4074.397705,4582.079346
CA,715.4552,965.211365,1061.718628,1295.584106,1393.155701,1544.7146,1734.929016,1900.304077,2424.158081
CO,289.223328,407.316589,625.795471,891.939575,769.763641,1154.087158,1180.151428,1624.440552,1863.753784
CT,533.101624,583.470459,769.018311,998.80011,905.797821,1292.140137,1173.831299,1463.739014,1600.859619
DC,1554.114136,1620.615112,1742.212158,2133.00293,2132.906494,2679.917725,2491.686157,2941.070557,3074.705688
DE,1050.784668,1052.022583,1195.103027,1515.981689,1487.091919,1953.401611,1807.580811,2202.497559,2293.432373
FL,3357.337646,3533.686768,3789.723145,3836.841797,4289.272217,4874.478027,5078.858398,5528.921387,5641.536377
GA,1812.623413,2066.830322,2486.633057,2842.323975,2930.588135,3525.125,3621.041626,3839.193604,4189.650391
HI,262.385254,320.008575,359.765411,376.205383,370.203613,385.491974,404.996414,447.995789,543.372406
IA,1048.40564,980.545532,1211.975342,1465.70166,1444.020142,1982.446777,1818.144775,2135.964111,2507.712646
ID,453.44278,579.064331,779.794128,1008.094055,943.290833,1276.906738,1428.640076,1809.387817,2008.742249
IL,1010.842957,971.111938,1200.807007,1470.599121,1472.636597,2005.934082,1874.981812,2070.264648,2412.895386
IN,1072.647217,938.404053,1163.812134,1523.289185,1374.285278,1969.911011,1798.3526,2018.588989,2246.992615
KS,1643.79834,1756.149292,2102.260498,2402.342773,2421.818604,3062.82666,3067.581543,3529.975586,3768.957886
KY,1352.577515,1156.894775,1375.741089,1814.735229,1678.830505,2332.458496,2186.619141,2421.887451,2648.077637
LA,2352.515137,2600.43042,2906.645508,3174.651611,3408.874634,3669.5979,4147.991455,4250.452637,4691.773438
MA,549.904846,546.905945,711.799622,952.818176,826.233368,1199.6698,1067.87616,1365.169067,1508.346985
