state,1975,1990,2005,2020,2035,2050,2065,2080,2095
AK,11708.34473,11002.14356,9889.289063,9330.666992,8875.966797,7967.920898,8347.497559,7685.89502,6749.600586
AL,2458.192871,1930.64917,1762.859009,1593.043213,1514.102051,1693.670654,1154.127563,1134.759155,1118.653564
AR,3191.391846,2736.859131,2626.072754,2489.984619,2181.114746,2467.249023,1613.141602,1758.003418,1525.940918
AZ,2515.409668,2203.87793,2290.866943,2209.615723,1650.04248,1839.694092,1419.172119,1383.567505,895.187958
CA,2812.320068,2429.167969,2333.93457,2212.739746,1872.501953,2093.203125,1729.756287,1714.067627,1181.532043
CO,7546.049805,6947.885742,6914.092773,6948.625488,6168.443604,6174.089844,5537.7229,5496.362305,4722.008545
CT,4583.003418,4065.053955,3753.439941,3501.973633,3309.518677,3272.87207,2906.408569,2603.202148,2579.458862
DC,3833.888184,3352.851563,3081.113037,2982.874023,2741.760742,2716.878662,2284.947998,2053.993652,2065.060059
DE,4134.621094,3624.022217,3338.218506,3143.900635,2901.445435,2833.316895,2443.236694,2196.307861,2183.027405
FL,332.806732,168.887985,125.786461,113.57148,117.304317,119.397331,74.102207,50.608238,65.136801
GA,2501.444824,1966.275635,1806.427612,1684.108154,1638.723328,1709.422241,1248.39563,1176.235229,1234.080322
HI,88.051224,69.271629,54.68903,39.580414,49.261816,39.86948,32.537895,34.373035,11.109894
IA,6816.523438,5994.172363,5948.136719,5433.163574,5287.691895,5000.891602,4521.653809,4817.533203,4111.764648
ID,7232.82666,6685.0625,6641.191895,6284.469727,5844.17627,6176.397949,5367.866211,5590.375488,4372.956787
IL,5843.477051,5339.266602,5088.412109,4837.450195,4557.961426,4341.930176,3819.911987,3966.53125,3469.763916
IN,5350.991211,4757.278809,4524.484375,4387.481445,4085.067383,3917.285645,3428.068481,3463.125488,3122.406738
KS,4861.176758,4298.973633,4223.564453,4115.169434,3697.58374,3710.35498,2884.685913,3143.298584,2707.943115
KY,4263.327148,3721.347412,3571.590332,3442.628174,3148.520508,3210.296631,2600.740723,2514.184814,2379.086182
LA,1377.966919,1114.265625,1011.459595,846.165894,786.603638,981.931763,541.092834,586.964905,529.471848
MA,5060.550781,4637.250977,4323.789551,4025.197021,3839.595459,3800.527344,3425.705811,3033.432861,3009.111816
MD,4036.404053,3541.616211,3264.538574,3097.568604,2853.151855,2787.231201,2391.609497,2166.691406,2152.960022
ME,7224.253418,6710.063965,6317.424805,5845.94043,5647.685547,5449.46875,5087.008057,4434.025391,4292.4198
MI,6486.688477,6037.431641,5685.765625,5304.865723,5096.579102,4783.927246,4383.788086,4271.950195,3871.202393
MN,8372.813477,7443.838867,7464.740723,6727.703613,6651.847656,6307.693359,5939.443604,6115.554199,5152.846924
MO,4658.089355,4081.533447,3994.921387,3887.366943,3563.687622,3567.774414,2834.734131,3070.031982,2660.583496
MS,2045.200928,1714.147583,1544.423828,1333.518433,1250.351318,1466.766846,924.771027,967.179688,882.308838
MT,8870.736328,7777.133301,8084.875,7453.254883,7348.565674,7117.94043,6463.479736,7022.798828,5390.959473
NC,3117.949463,2553.298584,2398.069824,2298.566162,2181.354126,2155.082275,1776.60022,1541.867798,1615.372009
ND,9461.640625,8426.384766,8692.460938,7703.494141,7812.405029,7355.546387,7002.026611,7395.533203,6020.65918
NE,6620.1875,5831.516113,5756.950195,5331.844238,5147.507324,4909.920898,4293.647705,4697.292969,3931.431641
NH,6576.922852,6013.583008,5647.67627,5260.257324,5064.190918,4952.902344,4543.673096,4026.684814,3959.477539
NJ,4752.066895,4186.688965,3883.838379,3705.795654,3443.309814,3377.874023,2968.689941,2669.640625,2660.102417
NM,5478.521484,4971.805664,4937.006836,5034.926758,4029.87561,4168.347168,3478.688721,3333.87793,2908.973633
NV,4285.912109,3995.102295,3956.957275,3697.508057,3206.270752,3617.688232,2997.581421,3009.753662,2218.707764
NY,5520.234863,4975.793945,4620.851563,4339.169922,4163.760132,4057.869629,3648.115967,3332.750732,3245.108765
OH,5628.167969,4940.977539,4683.648926,4411.127441,4157.638428,3980.368896,3558.018066,3417.804688,3220.559814
OK,3556.691895,3060.978271,3078.654053,3082.966553,2583.660522,2823.882813,1871.225525,1988.735962,1740.059265
OR,5448.601563,5028.733398,4987.811035,4869.692383,4525.280762,4806.371094,4363.303467,4341.818848,3422.117554
PA,5540.118164,4861.589355,4585.837891,4314.288574,4075.535645,3950.77124,3513.478027,3263.544922,3190.245117
RI,4675.047363,4268.685547,3951.79834,3645.237793,3455.937012,3424.501953,3050.559448,2679.489014,2661.637451
SC,2267.277588,1855.340454,1710.649292,1612.942261,1560.636414,1540.291626,1199.176147,1074.730957,1139.687012
SD,7890.893066,7028.367188,7191.279785,6464.875977,6403.74707,6032.576172,5592.599121,6075.355469,4844.996582
TN,3655.904541,3111.869385,2939.787598,2830.633057,2554.890381,2765.481689,2063.975098,2015.505127,1921.223633
TX,1922.638794,1644.06189,1660.079834,1624.56958,1319.670654,1586.06189,896.82431,936.46936,839.29129
UT,7576.8125,6844.957031,6885.239258,6476.178223,5687.37915,6035.742188,5128.025879,5287.868652,4210.673096
VA,3755.358154,3214.772217,2994.290283,2901.37915,2684.422241,2663.687744,2237.315796,1994.771973,2030.708496
