st,1975,1990,2005,2020,2035,2050,2065,2080,2095
AK,11708.344727,10306.931641,9874,9178,8689,7687,8117,7374,6397
AL,2458.192871,2552.500977,2569.32,2287.44,2445.12,2248.92,2234.16,1894.32,1656.72
AR,3191.391846,3016.61792,3212.28,2892.6,3295.8,2868.12,2749.32,2473.56,2325.96
AZ,2515.409668,1716.088013,1674.36,1675.08,1744.2,1403.64,1230.48,1072.08,1032.12
CA,2812.320068,2106.311035,1920.96,1831.68,1848.6,1508.04,1339.2,1193.4,1119.6
CO,7546.049805,6876.726563,5874.48,5763.96,6111.36,5457.96,5114.52,4649.76,4461.84
CT,4583.003418,4721.623535,5687.64,5451.48,5333.4,4937.4,4984.2,4560.84,4127.4
DC,3833.888184,4052.612061,4169.88,3845.88,3857.04,3514.32,3555.72,3112.56,2845.8
DE,4134.621094,4427.439941,4414.68,4110.84,4074.12,3699.72,3780,3318.48,3026.16
FL,332.806732,445.835358,669.24,446.04,459,453.24,446.4,330.12,274.68
GA,2501.444824,2730.408203,2660.76,2385.36,2507.04,2294.28,2307.24,1972.44,1672.92
HI,88.051224,53.461887,55,10,19,10,10,10,10
IA,6816.523438,6831.001953,6341.4,5977.8,6352.56,5877.36,5592.96,5237.64,5040
ID,7232.82666,6250.033691,6368.76,6030,6137.28,5688,5391.36,5160.24,4862.52
IL,5843.477051,6183.15332,5828.4,5406.48,5663.88,5184.36,5011.2,4655.88,4422.6
IN,5350.991211,5601.816895,5481,5058.72,5255.64,4785.84,4701.96,4255.2,4017.6
KS,4861.176758,4745.925781,4449.6,4253.04,4794.84,4258.44,3994.2,3627.72,3525.12
KY,4263.327148,4568.404785,4368.6,3942,4167.36,3774.6,3766.68,3301.92,3078.72
LA,1377.966919,1418.178833,1682.28,1395,1633.68,1460.88,1389.24,1161,1072.08
MA,5060.550781,5143.978516,5804.28,5603.04,5479.92,5088.24,5095.8,4680.72,4250.16
MD,4036.404053,4210.577637,4390.2,4074.12,4066.56,3694.68,3763.44,3291.12,3004.2
ME,7224.253418,7226.505859,7269.12,7044.48,6942.6,6544.44,6415.2,6047.64,5536.08
MI,6486.688477,6821.589844,6392.88,6027.48,6089.04,5672.16,5480.28,5109.12,4809.24
MN,8372.813477,8184.685059,7783.2,7343.28,7625.88,7212.24,6860.52,6542.28,6301.08
MO,4658.089355,4745.282227,4531.68,4207.68,4667.76,4176.36,3994.56,3639.96,3493.8
MS,2045.200928,2125.303711,2370.24,2082.24,2315.52,2082.6,2039.04,1738.08,1579.68
MT,8870.736328,7785.812988,7494.12,7189.92,7535.88,7016.4,6664.68,6463.44,6289.2
NC,3117.949463,3417.584473,3257.64,2956.32,3018.96,2740.32,2829.96,2430.72,2086.92
ND,9461.640625,9465.076172,8543.16,8175.96,8571.6,8162.64,7697.52,7525.08,7337.16
NE,6620.1875,6360.29248,5770.8,5576.04,6104.16,5547.24,5232.96,4820.04,4720.32
NH,6576.922852,6556.339844,6899.04,6658.2,6545.16,6144.84,6104.88,5674.32,5184
NJ,4752.066895,4979.05957,4926.6,4662.36,4582.08,4207.32,4270.68,3834.36,3465.36
NM,5478.521484,4410.047852,4344.48,4204.44,4356.72,3873.96,3583.44,3265.56,3049.92
NV,4285.912109,3382.429932,3368.52,3201.48,3288.24,2783.52,2586.96,2375.28,2256.84
NY,5520.234863,5647.743164,5434.56,5160.96,5084.28,4690.08,4695.48,4263.12,3907.8
OH,5628.167969,6032.78125,5559.12,5135.76,5219.28,4798.44,4738.68,4274.28,4010.04
OK,3556.691895,3233.38623,3251.52,3035.16,3491.28,3048.48,2829.24,2547.36,2462.4
OR,5448.601563,4527.370117,4633.2,4449.96,4527.36,4028.76,3741.84,3705.12,3414.6
PA,5540.118164,5871.71582,5415.12,5116.68,5046.12,4652.64,4697.28,4219.92,3863.52
RI,4675.047363,4824.649414,5580.72,5379.48,5211.36,4845.96,4838.76,4445.28,4005.36
SC,2267.277588,2527.248291,2550.24,2273.04,2355.12,2131.92,2199.24,1873.08,1574.28
SD,7890.893066,7761.706543,7059.6,6802.2,7264.44,6760.44,6397.56,6058.44,5924.16
TN,3655.904541,3867.78125,3621.96,3294.72,3503.52,3167.28,3168.72,2761.92,2503.8
TX,1922.638794,1754.443115,1840.68,1589.76,1910.16,1609.92,1509.84,1288.44,1254.24
UT,7576.8125,6451.4375,5853.6,5563.08,5632.92,5125.32,4847.04,4470.12,4209.84
VA,3755.358154,3942.159668,4010.04,3697.92,3727.08,3391.92,3464.28,3018.24,2710.08
VT,8124.590332,8310.171875,7696.08,7426.44,7323.12,6878.88,6804.72,6342.48,5807.16
WA,5194.261719,4276.978516,4950.36,4784.76,4877.28,4401.36,4090.32,4083.48,3793.32
WI,7656.800781,7718.272949,7162.92,6736.32,6899.4,6459.48,6228,5863.32,5551.56
WV,4902.259277,5306.931641,5069.16,4677.48,4689.36,4331.16,4393.44,3860.28,3528.36
WY,8659.855469,7770.035156,7571.16,7273.44,7616.16,7033.32,6657.48,6255,5982.12
