# File: USDA_item_cost.csv,
# Description: Maps crops in USDA cost database to GCAM commodities,
# ----------,
Crop,GCAM_commodity
Barley,OtherGrain
Corn,Corn
Cotton,FiberCrop
Rice,Rice
Soybeans,OilCrop
Sugarbeets,SugarCrop
Wheat,Wheat
