# File: USDA_reg_AEZ.csv,
# Description: Maps USDA agricultural subregions to GCAM AEZs,
# ----------,
Region,AEZ
Ark Non-Delta,AEZ12
Basin and Range,AEZ07
California,AEZ09
Eastern Uplands,AEZ11
Fruitful Rim,AEZ12
Great Plains,AEZ07
Gulf Coast,AEZ12
Heartland,AEZ10
Mississippi Portal,AEZ11
Mississippi River Delta,AEZ12
Northern Crescent,AEZ10
Northern Great Plains,AEZ08
Prairie Gateway,AEZ07
Red River Valley,AEZ08
Southern Seaboard,AEZ12
