Delete old building sectors,,,,,,,,,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
region,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Regional variables,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Subregional Population Share,,,,,,,,,,,,,,,,,,,,,,,,
region,consumer,1975,1990,2005,2020,2035,2050,2065,2080,2095,,,,,,,,,,,,,,,,
ALL,resid,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
ALL,comm,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Subregional Income Share,,,,,,,,,,,,,,,,,,,,,,,,
region,consumer,1975,1990,2005,2020,2035,2050,2065,2080,2095,,,,,,,,,,,,,,,,
ALL,resid,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
ALL,comm,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Building final demands,,,,,,,,,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,,,,,,,
100-housingDemand,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,base-building-size,,fill out,[billion m2/ thous person],[billion m2/ thous person],,,,,,,,,,,,,,,,,,
region,consumer,root,building-node-input,1990,2005,price-effect,satiation-level,satiation-adder,internal-gains-market-name,internal-gains-unit,,,,,,,,,,,,,,,,
USA,resid,resid,resid_building,16.63,20.80,-0.10,0.0000740,0.0000400,resid-internal-gains-trial-market,EJ,,,,,,,,,,,,,,,,
Canada,resid,resid,resid_building,1.19,1.56,-0.10,0.0000620,0.0000050,resid-internal-gains-trial-market,EJ,,,,,,,,,,,,,,,,
Western Europe,resid,resid,resid_building,15.37,18.94,-0.10,0.0000570,0.0000040,resid-internal-gains-trial-market,EJ,,,,,,,,,,,,,,,,
Japan,resid,resid,resid_building,3.55,4.42,-0.10,0.0000510,-0.0000800,resid-internal-gains-trial-market,EJ,,,,,,,,,,,,,,,,
Australia_NZ,resid,resid,resid_building,0.83,1.16,-0.10,0.0000620,0.0000100,resid-internal-gains-trial-market,EJ,,,,,,,,,,,,,,,,
Former Soviet Union,resid,resid,resid_building,7.12,6.94,-0.10,0.0000510,0.0000215,resid-internal-gains-trial-market,EJ,,,,,,,,,,,,,,,,
China,resid,resid,resid_building,32.91,40.15,-0.10,0.0000510,0.0000264,resid-internal-gains-trial-market,EJ,,,,,,,,,,,,,,,,
Middle East,resid,resid,resid_building,2.42,3.76,-0.10,0.0000510,0.0000120,resid-internal-gains-trial-market,EJ,,,,,,,,,,,,,,,,
Africa,resid,resid,resid_building,5.65,8.36,-0.10,0.0000450,0.0000075,resid-internal-gains-trial-market,EJ,,,,,,,,,,,,,,,,
Latin America,resid,resid,resid_building,6.93,9.68,-0.10,0.0000510,0.0000090,resid-internal-gains-trial-market,EJ,,,,,,,,,,,,,,,,
Southeast Asia,resid,resid,resid_building,4.84,7.46,-0.10,0.0000450,0.0000050,resid-internal-gains-trial-market,EJ,,,,,,,,,,,,,,,,
Eastern Europe,resid,resid,resid_building,3.36,3.45,-0.10,0.0000510,0.0000235,resid-internal-gains-trial-market,EJ,,,,,,,,,,,,,,,,
Korea,resid,resid,resid_building,0.52,1.07,-0.10,0.0000510,0.0000000,resid-internal-gains-trial-market,EJ,,,,,,,,,,,,,,,,
India,resid,resid,resid_building,8.59,11.62,-0.10,0.0000450,0.0000095,resid-internal-gains-trial-market,EJ,,,,,,,,,,,,,,,,
USA,comm,comm,comm_building,6.15,7.66,-0.10,0.0000270,0.0000155,comm-internal-gains-trial-market,EJ,,,,,,,,,,,,,,,,
Canada,comm,comm,comm_building,0.52,0.65,-0.10,0.0000240,0.0000085,comm-internal-gains-trial-market,EJ,,,,,,,,,,,,,,,,
Western Europe,comm,comm,comm_building,7.16,8.26,-0.10,0.0000210,0.0000100,comm-internal-gains-trial-market,EJ,,,,,,,,,,,,,,,,
Japan,comm,comm,comm_building,1.45,1.74,-0.10,0.0000190,-0.0000250,comm-internal-gains-trial-market,EJ,,,,,,,,,,,,,,,,
Australia_NZ,comm,comm,comm_building,0.32,0.45,-0.10,0.0000240,0.0000040,comm-internal-gains-trial-market,EJ,,,,,,,,,,,,,,,,
Former Soviet Union,comm,comm,comm_building,2.19,2.13,-0.10,0.0000190,0.0000063,comm-internal-gains-trial-market,EJ,,,,,,,,,,,,,,,,
China,comm,comm,comm_building,10.42,12.93,-0.10,0.0000190,0.0000083,comm-internal-gains-trial-market,EJ,,,,,,,,,,,,,,,,
Middle East,comm,comm,comm_building,1.25,1.88,-0.10,0.0000190,0.0000077,comm-internal-gains-trial-market,EJ,,,,,,,,,,,,,,,,
Africa,comm,comm,comm_building,1.86,2.76,-0.10,0.0000170,0.0000024,comm-internal-gains-trial-market,EJ,,,,,,,,,,,,,,,,
