INPUT_TABLE,,,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,
13000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
region,supplysector,subsector,technology,period,generic-ghg,input-driver,,,,,,,,,,,,,,
ALL,resid heating,biomass,biomass boiler,ALL,CH4,,,1,1,,,,,,,,,,,
ALL,resid heating,coal,coal boiler,ALL,CH4,,,2,1,,,,,,,,,,,
ALL,resid heating,gas,gas boiler,ALL,CH4,,,4,1,,,,,,,,,,,
ALL,resid heating,refined liquids,oil boiler,ALL,CH4,,,5,1,,,,,,,,,,,
ALL,resid heating,trad biomass,trad biomass boiler,ALL,CH4,,,6,1,,,,,,,,,,,
ALL,resid cooling,gas,gas AC,ALL,CH4,,,9,1,,,,,,,,,,,
ALL,resid others,biomass,biomass generic,ALL,CH4,,,10,1,,,,,,,,,,,
ALL,resid others,coal,coal generic,ALL,CH4,,,11,1,,,,,,,,,,,
ALL,resid others,gas,gas generic,ALL,CH4,,,13,1,,,,,,,,,,,
ALL,resid others,refined liquids,oil generic,ALL,CH4,,,14,1,,,,,,,,,,,
ALL,resid others,trad biomass,trad biomass generic,ALL,CH4,,,15,1,,,,,,,,,,,
ALL,comm heating,biomass,biomass boiler,ALL,CH4,,,17,1,,,,,,,,,,,
ALL,comm heating,coal,coal boiler,ALL,CH4,,,18,1,,,,,,,,,,,
ALL,comm heating,gas,gas boiler,ALL,CH4,,,20,1,,,,,,,,,,,
ALL,comm heating,refined liquids,oil boiler,ALL,CH4,,,21,1,,,,,,,,,,,
ALL,comm heating,trad biomass,trad biomass boiler,ALL,CH4,,,22,1,,,,,,,,,,,
ALL,comm cooling,gas,gas AC,ALL,CH4,,,25,1,,,,,,,,,,,
ALL,comm others,biomass,biomass generic,ALL,CH4,,,26,1,,,,,,,,,,,
ALL,comm others,coal,coal generic,ALL,CH4,,,27,1,,,,,,,,,,,
ALL,comm others,gas,gas generic,ALL,CH4,,,29,1,,,,,,,,,,,
ALL,comm others,refined liquids,oil generic,ALL,CH4,,,30,1,,,,,,,,,,,
ALL,comm others,trad biomass,trad biomass generic,ALL,CH4,,,31,1,,,,,,,,,,,
ALL,resid heating,biomass,biomass boiler,ALL,N2O,,,1,2,,,,,,,,,,,
ALL,resid heating,coal,coal boiler,ALL,N2O,,,2,2,,,,,,,,,,,
ALL,resid heating,gas,gas boiler,ALL,N2O,,,4,2,,,,,,,,,,,
ALL,resid heating,refined liquids,oil boiler,ALL,N2O,,,5,2,,,,,,,,,,,
ALL,resid heating,trad biomass,trad biomass boiler,ALL,N2O,,,6,2,,,,,,,,,,,
ALL,resid cooling,gas,gas AC,ALL,N2O,,,9,2,,,,,,,,,,,
ALL,resid others,biomass,biomass generic,ALL,N2O,,,10,2,,,,,,,,,,,
ALL,resid others,coal,coal generic,ALL,N2O,,,11,2,,,,,,,,,,,
ALL,resid others,gas,gas generic,ALL,N2O,,,13,2,,,,,,,,,,,
ALL,resid others,refined liquids,oil generic,ALL,N2O,,,14,2,,,,,,,,,,,
ALL,resid others,trad biomass,trad biomass generic,ALL,N2O,,,15,2,,,,,,,,,,,
ALL,comm heating,biomass,biomass boiler,ALL,N2O,,,17,2,,,,,,,,,,,
