countries,country codes,item,item codes,element,element codes,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,2,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,23446,20320,23383,25096,49032,28205,23243,35232,33159
Albania,3,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,37986,37155,35785,36866,30014,30978,28153,33501,30818
Algeria,4,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,28036,17076,104717,4086,43847,36626,23102,21006,45520
Angola,7,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,2757,1787,7187,3682,6641,5584,8172,3024,4701
Antigua and Barbuda,8,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,10,33,0,17,9,2,9,23,4
Argentina,9,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,534592,740659,796423,640406,787677,981351,761959,477061,912645
Armenia,1,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,15700,10450,13187,10251,12377,6799,8036,13233,10408
Australia,10,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,980100,932900,1056200,952300,858000,848800,835000,849800,1241167
Austria,11,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,170974,298844,96091,101756,97220,82632,84110,79667,86153
Azerbaijan,52,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,15751,12586,19645,17575,20356,16783,29670,19277,12812
Bahrain,13,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,17751,0,0,4182,13620,1057,2271,1223,2542
Bangladesh,16,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,1079064,951340,954039,993327,1098892,1048507,1168420,1404800,914982
Barbados,14,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,587,673,2756,1232,1200,1127,1523,423,435
