LT_SAGE,AEZ01,AEZ02,AEZ03,AEZ04,AEZ05,AEZ06,AEZ07,AEZ08,AEZ09,AEZ10,AEZ11,AEZ12,AEZ13,AEZ14,AEZ15,AEZ16,AEZ17,AEZ18,Source
Tropical Evergreen Forest/Woodland,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,"Houghton 1999, Table 1, tropical equatorial forest"
Tropical Deciduous Forest/Woodland,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,"Houghton 1999, Table 1, tropical seasonal forest"
Temperate Broadleaf Evergreen Forest/Woodland,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,"Houghton 1999, Table 1, temperate evergreen forest"
Temperate Needleleaf Evergreen Forest/Woodland,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,"Houghton 1999, Table 1, temperate evergreen forest"
Temperate Deciduous Forest/Woodland,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,"Houghton 1999, Table 1, temperate deciduous forest"
Boreal Evergreen Forest/Woodland,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,"Houghton 1999, Table 1, boreal forest"
Boreal Deciduous Forest/Woodland,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,"Houghton 1999, Table 1, boreal forest"
Evergreen/Deciduous Mixed Forest/Woodland,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,Using Houghton temperate/boreal value here. This is a diverse category but mostly found in high latitudes
Savanna,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,"Houghton 1999, Table 1, Sub-Saharan Africa open forest"
Grassland/Steppe,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"Houghton 1999, Table 1, grassland"
Dense Shrubland,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,"Houghton 1999, Table 1, tropical woodland"
Open Shrubland,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,"Houghton 1999, Table 1, woodland"
Tundra,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,assumed
Desert,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,assumed
Polar Desert/Rock/Ice,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,assumed
Urbanland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,assumed
Cropland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,assumed
