# Appendix VI of Mekonnen and Hoekstra Water Footprint of Nations report,,,,
country,iso,MH2011_crop,water_type,coefficient
Albania,alb,Wheat,Green,1324
Albania,alb,Wheat,Blue,27
Albania,alb,Wheat,Gray,205
Albania,alb,Rice,Green,570
Albania,alb,Rice,Blue,1071
Albania,alb,Rice,Gray,206
Albania,alb,Barley,Green,944
Albania,alb,Barley,Blue,3
Albania,alb,Barley,Gray,209
Albania,alb,Maize,Green,643
Albania,alb,Maize,Blue,545
Albania,alb,Maize,Gray,11
Albania,alb,Rye,Green,1753
Albania,alb,Rye,Blue,17
Albania,alb,Rye,Gray,104
Albania,alb,Oats,Green,1646
Albania,alb,Oats,Blue,290
Albania,alb,Oats,Gray,89
Albania,alb,Millet,Green,4188
Albania,alb,Millet,Blue,30
Albania,alb,Millet,Gray,61
Albania,alb,Sorghum,Green,1341
Albania,alb,Sorghum,Blue,28
Albania,alb,Sorghum,Gray,224
Albania,alb,Cereals other,Green,1134
Albania,alb,Cereals other,Blue,34
Albania,alb,Cereals other,Gray,10
Albania,alb,Potatoes,Green,141
Albania,alb,Potatoes,Blue,63
Albania,alb,Potatoes,Gray,35
Albania,alb,Cassava,Green,528
Albania,alb,Cassava,Blue,0
Albania,alb,Cassava,Gray,13
Albania,alb,Sweet Potatoes,Green,298
Albania,alb,Sweet Potatoes,Blue,23
Albania,alb,Sweet Potatoes,Gray,40
Albania,alb,Roots other,Green,344
Albania,alb,Roots other,Blue,14
Albania,alb,Roots other,Gray,20
Albania,alb,Yams,Green,341
Albania,alb,Yams,Blue,0
Albania,alb,Yams,Gray,1
Albania,alb,Sugarcane,Green,132
Albania,alb,Sugarcane,Blue,57
Albania,alb,Sugarcane,Gray,12
Albania,alb,Sugar Beet,Green,109
Albania,alb,Sugar Beet,Blue,19
Albania,alb,Sugar Beet,Gray,8
Albania,alb,Sugar Non-centrifugal,Green,1020
Albania,alb,Sugar Non-centrifugal,Blue,398
Albania,alb,Sugar Non-centrifugal,Gray,91
Albania,alb,Sugar Raw equivalent,Green,1020
Albania,alb,Sugar Raw equivalent,Blue,398
Albania,alb,Sugar Raw equivalent,Gray,91
Albania,alb,Sweeteners other,Green,10298
Albania,alb,Sweeteners other,Blue,0
Albania,alb,Sweeteners other,Gray,1011
Albania,alb,Beans,Green,1590
Albania,alb,Beans,Blue,198
Albania,alb,Beans,Gray,0
Albania,alb,Peas,Green,871
Albania,alb,Peas,Blue,133
Albania,alb,Peas,Gray,3
Albania,alb,Pulses other,Green,4537
Albania,alb,Pulses other,Blue,232
Albania,alb,Pulses other,Gray,301
Albania,alb,Nuts,Green,4943
Albania,alb,Nuts,Blue,2577
Albania,alb,Nuts,Gray,0
Albania,alb,Soybean,Green,1353
Albania,alb,Soybean,Blue,94
Albania,alb,Soybean,Gray,7
Albania,alb,Groundnut,Green,2818
Albania,alb,Groundnut,Blue,245
Albania,alb,Groundnut,Gray,135
Albania,alb,Sunflower,Green,2575
Albania,alb,Sunflower,Blue,128
Albania,alb,Sunflower,Gray,416
Albania,alb,Rapeseed,Green,1856
Albania,alb,Rapeseed,Blue,245
Albania,alb,Rapeseed,Gray,340
Albania,alb,Cottonseed,Green,433
Albania,alb,Cottonseed,Blue,440
Albania,alb,Cottonseed,Gray,81
Albania,alb,Coconuts,Green,2586
Albania,alb,Coconuts,Blue,1
Albania,alb,Coconuts,Gray,16
Albania,alb,Sesameseed,Green,4949
Albania,alb,Sesameseed,Blue,1937
Albania,alb,Sesameseed,Gray,542
Albania,alb,Palm kernels,Green,2602
Albania,alb,Palm kernels,Blue,0
Albania,alb,Palm kernels,Gray,102
Albania,alb,Olives,Green,4380
