Country_name,AgaveFibresNes,Almonds_withshell,Anise_badian_fennel_corian.,Apples,Apricots,Arecanuts,Artichokes,Asparagus,Avocados,Bananas,Beans_green,BerriesNes,Blueberries,Brazilnuts_withshell,Buckwheat,Cabbagesandotherbrassicas,Canaryseed,Carobs,Carrotsandturnips,Cashewapple,Cashewnuts,Castoroilseed,Cauliflowersandbroccoli,Cereals_nes,Cherries,Chestnuts,Chilliesandpeppers_dry,Chilliesandpeppers_green,Cinnamon(canella),Cloves,Coconuts,Cranberries,Cucumbersandgherkins,Currants,Eggplants(aubergines),FibreCropsNes,Figs,Flaxfibreandtow,Fonio,Fruit_tropicalfreshnes,FruitFreshNes,Garlic,Ginger,Gooseberries,Hazelnuts_withshell,Hempseed,HempTowWaste,Hops,Jute,Kiwifruit,Kolanuts,Lettuceandchicory,Linseed,Maize_green,Mangoes_mangosteens_guavas,ManilaFibre(Abaca),Melonseed,Mixedgrain,Mustardseed,Naturalrubber,Nutmeg_maceandcardamoms,Nuts_nes,Oats,Oilseeds_Nes,Okra,Olives,Onions_dry,Onions(inc.shallots)_green,OtherBastfibres,Othermelons(inc.cantaloupes),Papayas,Peachesandnectarines,Pears,Peas_green,Pepper(Piperspp.),Peppermint,Pineapples,Pistachios,Plantains,Plumsandsloes,Poppyseed,Pumpkins_squashandgourds,Quinoa,Ramie,Raspberries,Rootsandtubersnes,Safflowerseed,Sesameseed,Sisal,Sourcherries,Spices_nes,Spinach,Stonefruit_nes,Strawberries,Stringbeans,Sugarcrops_nes,Sweetpotatoes,Taro(cocoyam),Tea,Tobacco_unmanufactured,tomato,Tomatoes,Triticale,Vanilla,Vegetablesfreshnes,Walnuts_withshell,Watermelons,Yams,Yautia(cocoyam)
Afghanistan,0,1995,1364,495,481,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484,0,0,0,0,0,0,0,0,0,0,0,4785,0,0,0,0,0,0,0,0,3158,0,0,0,4109,0,0,0,98,0,482,486,0,0,0,0,2837,0,455,0,0,0,0,0,0,0,2481,0,0,0,0,491,0,0,0,0,0,0,0,0,0,0,0,104,1907,326,0,0
Albania,0,0,0,988,1764,0,0,0,0,0,141,0,0,0,0,125,0,0,169,0,0,0,129,0,1126,2235,0,145,0,0,0,0,87,0,148,0,3025,0,0,0,1838,388,0,0,0,0,0,4220,0,0,0,0,0,0,0,0,0,0,0,0,0,5439,1721,0,184,4920,275,93,0,124,0,686,1020,0,0,0,0,0,0,819,0,134,0,0,0,0,0,0,0,1388,3091,104,0,0,0,0,0,0,0,2022,483,97,0,0,195,0,85,0,0
Algeria,0,4841,0,649,897,0,396,0,0,171,210,0,0,0,0,185,0,2593,154,0,0,0,116,0,3479,0,2078,174,0,0,0,0,88,0,154,0,3091,0,0,0,783,693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3189,0,0,3378,194,0,0,0,0,782,598,447,0,0,0,0,0,1248,0,96,0,0,0,0,0,0,0,0,0,0,1992,0,0,0,0,0,0,1744,607,121,1005,0,197,0,102,0,0
American Samoa,0,0,0,0,0,0,0,0,0,5309,0,0,0,0,0,913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5648,0,538,0,874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,771,0,0,0,0,0,0,0,0,0,0,0,0,0,1697,0,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1715,0,0,3264,653,0,0,598,0,0,1565,0
Angola,0,0,0,0,0,0,0,0,0,814,0,0,0,0,0,0,0,0,0,0,15304,26433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949,4852,0,0,0,0,0,0,0,325,0,0,0,0,0,0,0,0,0,0,12514,4232,0,0,0,0,0,0,0,790,0,0,713,4679,936,0,0,475,0,0,0,0
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,1289,828,0,0,0,0,1282,0,0,983,0,0,0,0,0,0,0,0,922,0,0,0,0,564,0,751,0,0,0,0,1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2679,0,0,0,0,0,0,0,0,0,0,0,878,0,0,385,0,0,0,0,0,0,605,0,0,0,0,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960,1446,0,0,2532,506,0,0,774,0,0,1256,0
Argentina,0,3366,5034,203,497,0,345,1236,995,316,343,0,0,0,0,0,1261,0,123,0,0,0,0,1780,1031,0,6338,249,0,0,0,0,0,0,0,6120,2292,8154,0,0,0,360,0,0,0,0,0,3902,0,0,0,0,6388,0,764,0,0,0,0,0,0,0,2050,0,0,1650,151,0,0,188,519,503,186,1482,0,0,268,0,0,725,0,219,0,0,0,0,6956,0,0,0,4262,0,0,353,373,0,394,0,7641,881,375,75,0,0,274,3036,317,0,0
Armenia,0,5783,0,594,1354,0,0,0,0,0,0,750,0,0,0,109,0,0,125,0,0,0,100,1955,1365,0,0,0,0,0,0,0,162,0,0,0,0,0,0,1009,2292,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2208,0,0,0,165,0,0,0,0,1158,1068,359,0,0,0,0,0,938,0,0,0,0,0,0,0,0,0,0,0,0,362,0,0,0,0,0,0,1124,386,77,0,0,98,0,110,0,0
Australia,0,2445,2212,222,552,0,0,608,624,183,405,941,0,0,0,81,3069,0,86,0,0,0,138,0,713,0,0,145,0,0,0,0,202,269,0,0,2115,0,0,330,0,0,0,0,0,0,0,1108,0,267,0,83,2828,219,659,0,0,0,0,0,0,1849,1807,0,0,1438,71,0,0,121,166,548,161,255,0,0,63,0,0,432,0,221,0,0,994,0,5271,0,0,0,0,94,0,143,0,0,243,0,0,634,184,37,1367,0,66,0,137,0,0
Austria,0,0,0,76,163,0,0,932,0,0,184,246,0,0,0,76,0,0,66,0,0,0,129,201,702,0,0,72,0,0,0,0,45,36,110,0,0,0,0,0,0,185,0,523,0,0,0,2573,0,0,0,89,3094,214,0,0,0,1121,0,0,0,0,442,2112,0,0,79,0,0,0,0,210,20,447,0,0,0,0,0,472,698,63,0,0,0,0,0,0,0,953,0,69,0,250,0,0,0,0,0,1418,117,23,668,0,99,2304,65,0,0
Azerbaijan,0,15179,0,682,560,0,0,0,0,0,0,207,0,0,0,137,0,0,220,0,0,0,0,0,728,1948,0,1128,0,0,0,317,181,322,376,0,0,0,0,0,1194,262,0,0,5939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4197,1586,728,0,7806,207,0,0,0,0,603,486,503,0,0,0,1391,0,737,0,0,0,0,206,0,0,0,0,552,0,0,0,0,0,0,0,0,13998,981,526,105,0,0,67,1312,215,0,0
"Bahamas, The",0,0,0,0,0,0,0,0,0,813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1560,0,0,0,1762,352,0,0,302,0,0,0,0
Bahrain,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,35,0,0,60,0,0,0,19,0,0,0,0,35,0,0,0,0,9,0,36,0,0,0,0,0,274,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1187,0,0,0,0,45,0,0,247,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,0,186,0,0
Bangladesh,0,0,0,0,0,0,0,0,0,727,0,0,0,0,0,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4342,0,693,0,0,0,0,0,0,1146,2513,0,0,0,0,0,0,0,0,0,0,647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612,0,0,325,0,0,0,0,0,0,0,0,0,0,0,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409,0,0,0,2715,543,0,0,227,0,0,0,0
Barbados,0,0,0,0,0,0,0,0,2410,2553,0,0,0,0,0,478,0,0,342,0,0,0,0,0,0,0,0,358,0,0,4747,0,206,0,0,0,0,0,0,2104,1167,0,0,0,0,0,0,0,0,0,0,271,0,1302,0,0,0,0,0,0,0,0,0,0,346,0,394,0,0,191,0,0,0,0,0,0,0,0,0,0,0,373,0,0,0,0,0,0,0,0,0,0,0,0,657,0,365,1259,0,0,1777,355,0,0,381,0,0,391,0
Belarus,0,0,0,1585,0,0,0,0,0,0,0,0,0,0,3587,155,0,0,88,0,0,0,0,2156,1479,0,0,0,0,0,0,0,189,0,0,0,0,6801,0,0,0,312,0,0,3187,0,0,0,0,0,0,0,15832,0,0,0,0,0,0,0,0,3387,1545,0,0,0,308,0,0,0,0,0,475,778,0,0,0,0,0,1784,0,0,0,0,0,0,0,0,0,2006,0,0,0,708,0,0,0,0,0,0,1058,212,1051,0,191,2219,0,0,0
Belgium,0,0,0,131,0,0,0,736,0,0,141,223,0,0,0,129,0,0,55,0,0,0,175,0,925,0,0,78,0,0,0,0,18,284,64,0,0,3720,0,0,0,0,0,0,0,0,0,1618,0,0,0,70,4251,0,0,0,0,840,0,0,0,0,341,0,0,0,111,0,0,0,0,0,191,221,0,0,0,0,0,1596,0,0,0,0,398,0,0,0,0,0,0,60,0,78,0,0,0,0,0,795,56,11,467,0,86,2496,0,0,0
Belize,0,0,0,0,0,0,0,0,0,412,0,0,0,0,0,250,0,0,304,0,5570,0,0,0,0,0,0,518,0,0,3252,0,404,0,0,0,0,0,0,0,2334,0,0,0,0,0,0,0,0,0,0,0,0,0,4338,0,0,0,0,0,0,0,0,0,371,0,0,198,0,332,247,0,0,0,0,0,442,0,423,0,0,357,0,0,0,324,0,0,0,0,0,0,0,0,0,0,695,0,0,0,992,198,0,0,533,0,245,731,1068
Benin,0,0,0,0,0,0,0,0,0,1706,0,0,0,0,0,0,0,0,0,0,37278,14570,0,0,0,0,7469,790,0,0,5741,0,0,0,0,0,0,0,5639,0,2113,0,0,0,0,0,0,0,0,0,49218,0,0,0,1834,0,0,0,0,0,0,22330,0,3775,882,0,105,0,0,0,0,0,0,0,15558,0,87,0,0,0,0,0,0,0,0,0,0,6392,0,0,0,0,0,0,0,0,878,1222,0,2837,3060,612,0,0,140,0,0,364,0
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,0,0,1284,257,0,0,273,0,0,0,0
