FID,GCAM_region,Country,PY_ID,Province,AEZ,Crop1,Crop2,Crop3,Crop4,Crop5,Crop6,Crop7,Crop8,Crop9,Crop10,Crop11,Crop12,Crop13,Crop14,Crop15,Crop16,Crop17,Crop18,Crop19,Crop20,Crop21,Crop22,Crop23,Crop24,Crop26,Total water (km^3/year)
2842,1,United States,4946,Washington,7,515558767.6,40010139.11,0,5430696.02,0,0,0,0,0,53212957.53,0,0,2682875.811,0,1800160.924,0,0,0,0,352396.6387,0,0,0,563844302.2,0,1.182892296
2843,1,United States,5407,Oregon,7,13702948.72,0,0,0,920028.4969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014622977
2899,1,United States,4944,Montana,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2900,1,United States,4947,Idaho,7,71315.62975,2845474.036,0,413404.3861,0,0,0,0,0,4565243.712,0,0,1601591.373,0,15105.74972,0,0,0,0,0,0,0,0,8579.761362,0,0.009520715
2901,1,United States,4944,Montana,7,7213939.54,24428621.43,0,6625799.95,0,0,0,0,0,426582.9312,0,0,20943480.53,0,0,0,0,0,0,0,0,0,0,0,0,0.059638424
2902,1,United States,4944,Montana,7,0,0,0,35766.88875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58E-05
2903,1,United States,5526,South Dakota,7,4457.050992,133129.9189,0,0,0,6761.514688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000144348
3386,1,United States,4945,North Dakota,7,291433.6644,3879921.28,0,34861.3163,0,0,0,0,0,191179.352,0,0,173615.869,0,0,0,0,0,0,0,0,0,0,0,0,0.004571011
3387,1,United States,5526,South Dakota,7,1830039.566,25734095.93,0,17005.1805,0,6761.514688,75298.20984,4548810.32,205595.8777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032417607
4663,1,United States,6158,Colorado,7,0,91946.0022,0,449941.1136,0,0,0,0,0,224842.1614,0,0,341704.8661,0,0,0,0,0,0,3887.151518,0,0,0,25164.285,0,0.001137486
4739,1,United States,6158,Colorado,7,340.5924126,49037.86784,0,265033.8066,0,0,0,0,0,131475.5012,0,0,198967.3904,0,0,0,0,0,0,0,0,0,0,8843.276803,0,0.000653698
5238,1,United States,6021,California,7,12395547.22,8306096.955,0,2288172.524,0,0,189212.6888,0,0,2359670.115,0,0,391211.2136,0,0,0,0,9068245.579,0,22728702,0,0,0,150446453.2,0,0.208173311
7180,1,United States,4944,Montana,7,168659991.1,35977808.5,0,210965821.9,0,0,0,0,0,116019.2729,0,0,30432278.63,0,4262478.602,0,0,0,0,0,0,0,0,1632824.534,0,0.452047223
7181,1,United States,4945,North Dakota,7,7337555.141,6271583.216,0,512925.6165,0,4971.498704,0,0,0,2311936.349,0,0,19308356.02,0,212836.6194,0,0,0,0,0,0,0,0,0,0,0.035960164
7182,1,United States,4947,Idaho,7,957300468.1,1845712.888,0,326884421,0,0,0,0,0,177714619,0,0,126287342.1,0,2172434.123,0,0,0,0,0,0,0,0,6052151.173,0,1.598257148
7183,1,United States,5407,Oregon,7,14721525.12,13617246.94,0,1646651.301,12135059.41,0,0,0,0,4924071.09,0,0,1975880.67,0,0,0,0,0,0,179352.7445,0,0,0,419504.6351,0,0.049619292
7184,1,United States,5526,South Dakota,7,1486011.451,11056409.97,0,0,0,6761.514688,16460.52254,520058.0157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013085701
7185,1,United States,5685,Wyoming,7,18513520.44,94413218.59,0,59359233.53,0,5939.074912,265486.7022,0,206744.1654,415355.0543,0,0,24721443.47,0,0,0,0,0,0,0,0,0,0,0,0,0.197900941
7186,1,United States,5928,Nebraska,7,116228173.5,2050038411,0,327302.0995,0,0,1196081.578,414285722.6,3589535.01,12635702.61,0,0,14652654.02,0,0,0,0,0,0,66608.64721,0,0,0,0,0,2.613020191
7187,1,United States,6021,California,7,95019054.06,19957424.86,0,3089087.584,31486.05852,5982.846216,60946375.97,0,0,1240882.489,0,0,18284808.89,0,0,0,0,57848476.49,0,94399661.17,1358422.367,0,0,153232251.8,0,0.505413915
7188,1,United States,6022,Nevada,7,4763716.252,17468280.19,0,1049809.092,0,0,0,0,0,2478051.81,0,0,0,0,0,0,0,1262789.289,0,327443.1025,0,0,0,426687.796,0,0.027776778
7189,1,United States,6023,Utah,7,0,56644148.38,0,534837.108,0,0,0,0,0,0,0,0,182386.7745,0,0,0,0,0,0,22828.77968,0,0,0,7100057.744,0,0.064484259
7190,1,United States,6052,Utah,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7191,1,United States,6158,Colorado,7,264364353.9,1395969545,0,81739651.45,0,0,15517637.06,2209074.106,7662474.487,53931717.08,0,0,49609044.05,0,0,0,0,0,0,894044.8492,0,0,0,0,0,1.871897542
7192,1,United States,6268,Kansas,7,1126080596,3384223775,0,0,0,0,268548049.5,425228362.2,30318835.59,4690318.883,0,0,0,0,0,0,0,0,0,373741.8648,34874829.73,0,0,0,0,5.274338509
7193,1,United States,6641,Arizona,7,61389681.43,93237336.15,0,18635947.18,0,0,10554904.24,0,0,3208226.973,0,0,0,0,0,0,0,21347824.39,0,1528829.169,67593968.03,0,0,64875049,0,0.342371767
7194,1,United States,6642,New Mexico,7,109180963.9,347523781,0,0,482734.0798,0,47060470.71,10248.53256,599892.8411,8681675.969,0,0,0,0,0,40273170.48,2348250.257,0,0,1331514.105,71094947.82,0,0,108766107.7,0,0.737353757
7195,1,United States,6643,Oklahoma,7,210709011.9,178297876.9,0,0,0,0,54018501.3,4131892.561,0,0,0,0,0,0,0,9783019.607,0,0,0,349971.4035,56145549.96,0,0,0,0,0.513435824
7196,1,United States,6720,Texas,7,1365287538,1969339113,0,129768.9817,0,0,838197439.8,65681483.25,8397899.032,11934786.54,0,101978197,0,0,0,174028139.3,0,66347161.08,0,4759030.549,1704445840,0,0,94697389.44,0,6.405223786
2333,1,United States,4944,Montana,8,4778058.588,145445.4692,0,5434805.734,0,0,0,0,0,0,0,0,142255.4649,0,0,0,0,0,0,0,0,0,0,16443.59103,0,0.010517009
2335,1,United States,4944,Montana,8,0,0,0,0,0,0,0,0,0,0,0,0,4310.771664,0,0,0,0,0,0,0,0,0,0,28776.2843,0,3.31E-05
2337,1,United States,4944,Montana,8,0,42102.63581,0,0,0,0,0,0,0,0,0,0,4310.771664,0,0,0,0,0,0,0,0,0,0,32887.18205,0,7.93E-05
2422,1,United States,4946,Washington,8,20286.88008,0,0,0,0,0,0,0,0,1822385.456,0,0,0,0,0,0,0,0,0,0,0,0,0,17598753.3,0,0.019441426
3251,1,United States,4944,Montana,8,103626871,19357878.37,0,67186852.46,0,0,0,0,0,3568058.005,0,0,26865191.37,0,1294295.743,0,0,0,0,0,0,0,0,0,0,0.221899147
3252,1,United States,5685,Wyoming,8,48378.28916,405037.7547,0,3456548.585,0,6759.259686,0,0,2983.481756,4297.772589,0,0,1087938.859,0,0,0,0,0,0,0,0,0,0,0,0,0.005011944
3453,1,United States,5407,Oregon,8,372.4186347,0,0,0,18668.85468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1425.020202,0,2.05E-05
3535,1,United States,4944,Montana,8,36857777.2,3725069.777,0,19781989.93,0,0,0,0,0,2346548.913,0,0,11518381.89,0,0,0,0,0,0,0,0,0,0,258986.5587,0,0.074488754
3536,1,United States,4946,Washington,8,0,13486198.68,0,1338061.564,0,0,0,0,0,13967536.98,0,0,494248.5981,0,0,0,0,0,0,1756789.232,0,0,0,121812635,0,0.15285547
3537,1,United States,4947,Idaho,8,0,6233141.38,0,0,0,0,0,0,0,10316635.01,0,0,7528044.249,0,0,0,0,0,0,0,0,0,0,0,0,0.024077821
3538,1,United States,5407,Oregon,8,130034477.1,12499798.65,0,5783055.328,13441575.37,0,0,0,0,7382176.133,0,0,2900565.192,0,0,0,0,0,0,328178.5857,0,0,0,2293337.76,0,0.174663164
3833,1,United States,5685,Wyoming,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3834,1,United States,5928,Nebraska,8,0,69822563.81,0,4160.020624,0,0,9820.910675,56909283.12,0,317783.7416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127063612
3835,1,United States,6158,Colorado,8,0,0,0,0,0,8455.629359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.46E-06
4728,1,United States,5407,Oregon,8,6632136.653,406472.0544,0,18696686.76,1474839.52,0,0,0,0,3774695.149,0,0,718887.6992,0,0,0,0,0,0,739182.0115,0,0,0,4193330.482,0,0.03663623
4729,1,United States,6021,California,8,6844344.492,4340141.528,1565800.627,487066.4377,0,0,89996.17775,0,0,2023259.096,0,0,0,0,0,0,0,629394.9843,0,51195111.16,0,0,0,56968821.11,0,0.124143936
4730,1,United States,6022,Nevada,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4731,1,United States,4944,Montana,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4732,1,United States,4947,Idaho,8,95040836.28,785090.3265,0,96772125.43,0,0,0,0,0,26068304.94,0,0,8252307.108,0,969165.1796,0,0,0,0,0,0,0,0,0,0,0.227887829
4733,1,United States,5685,Wyoming,8,0,0,0,0,0,6759.259686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76E-06
4734,1,United States,6023,Utah,8,79711287.53,24004426.85,0,17741607.41,0,0,0,0,0,11311.64401,0,0,0,0,0,0,0,0,0,3418.758291,0,0,0,7151852.397,0,0.128623905
4735,1,United States,6052,Utah,8,41075.35444,101642.7012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137786.2952,0,0.000280504
4736,1,United States,6126,Utah,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4744,1,United States,4910,Minnesota,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4745,1,United States,4944,Montana,8,0,0,0,570914.1105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000570914
