FID,GCAM_region,Country,PY_ID,Province,AEZ,Crop1,Crop2,Crop3,Crop4,Crop5,Crop6,Crop7,Crop8,Crop9,Crop10,Crop11,Crop12,Crop13,Crop14,Crop15,Crop16,Crop17,Crop18,Crop19,Crop20,Crop21,Crop22,Crop23,Crop24,Crop26,Total water (km^3/year)
2842,1,United States,4946,Washington,7,140583469.6,286271530.7,0,2372561.279,0,0,0,0,0,267235100.6,0,0,7541056.334,0,516156.325,0,0,0,0,905.9039556,0,0,0,802330773.1,124066508,1.630918062
2843,1,United States,5407,Oregon,7,66981493.08,24510716.34,0,3410310.321,1469264.652,0,0,0,0,26561968.94,0,0,4199445.175,0,0,0,0,0,0,13079671.13,0,0,0,27570691.05,4836801.691,0.172620362
2899,1,United States,4944,Montana,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2900,1,United States,4947,Idaho,7,408332.7657,0,0,653517.7659,0,0,0,0,0,18118310.98,0,0,5579737.686,0,1201.052604,0,0,0,0,0,0,0,0,104456.7211,163301.1544,0.025028858
2901,1,United States,4944,Montana,7,467309.6428,23151307.9,0,2087796.684,0,0,0,0,0,603332.9235,0,0,9566775.055,0,0,0,0,0,0,0,0,0,0,226426.7515,380659.8536,0.036483609
2902,1,United States,4944,Montana,7,228993.4714,10482.5627,0,92794.37307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76144.73636,233467.3638,0.000641883
2903,1,United States,5526,South Dakota,7,6453.670798,81426.92635,0,0,0,0,128.9137734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60915.78909,250102.8111,0.000399028
3386,1,United States,4945,North Dakota,7,127763.2471,1583789.971,0,15472.61981,0,0,0,20227.9934,15014.03091,54622.67199,0,0,12255.23781,0,2872.726772,0,0,0,0,0,0,0,0,412086.4781,14095904.71,0.01634001
3387,1,United States,5526,South Dakota,7,1084966.055,13705353.26,0,0,0,0,46323.77127,1867350.693,318952.7115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3594031.556,17465262.08,0.03808224
4663,1,United States,6158,Colorado,7,0,86123.56406,0,703405.1058,0,0,0,0,0,605344.2808,0,0,317975.3615,0,0,0,0,0,0,4727.17155,0,0,0,71724.12855,524614.9041,0.002313915
4739,1,United States,6158,Colorado,7,48759.81695,45932.5675,0,414334.5144,0,0,0,0,0,353972.5032,0,0,185150.2105,0,0,0,0,0,0,0,0,0,0,23452.86105,65261.49959,0.001136864
5238,1,United States,6021,California,7,15532681.73,26810483.04,0,4481811.791,0,0,422065.5482,0,0,12631175.32,0,0,1450198.342,0,0,0,0,12499473.64,0,55198276.28,103207964.5,0,0,214080054.7,17381787.46,0.463695972
7180,1,United States,4944,Montana,7,133062727.8,46949689.89,0,158869216.9,0,0,0,0,0,4854155.303,0,0,13901164.31,0,6207091.66,0,0,0,0,0,0,0,0,2323452.353,7386349.684,0.373553848
7181,1,United States,4945,North Dakota,7,864916.8168,1282965.569,0,63118.31898,0,0,0,7045.404111,6031.371946,660553.2426,0,0,1744280.231,0,44384.40425,0,0,0,0,0,0,0,0,4576298.655,52106529.27,0.061356123
7182,1,United States,4947,Idaho,7,938018280.1,0,0,542392407.8,0,0,0,0,0,705304894.3,0,0,439968804.6,0,175745.4108,0,0,0,0,0,0,0,0,30474780.74,29912450.14,2.686247363
7183,1,United States,5407,Oregon,7,9797732.617,39737829.39,0,2894658.176,19379414.78,0,0,0,0,30421585.72,0,0,13548141.46,0,0,0,0,0,0,219903.8352,0,0,0,5522984.729,14568993.07,0.136091244
7184,1,United States,5526,South Dakota,7,189609.524,812484.6059,0,0,0,0,15266.95079,17233.90435,10477.87534,0,0,0,0,0,0,0,0,0,0,825.9122403,0,0,0,1294460.518,4425921.31,0.006766281
7185,1,United States,5685,Wyoming,7,21543117.17,182395841.3,0,77923810.01,0,0,198635.2302,0,953191.4522,265913.7634,0,0,65189288.96,0,0,0,0,0,0,0,0,0,0,5101697.336,13174952.04,0.366746447
