Country_name,ID,AEZ,,Crop1,Crop2,Crop3,Crop4,Crop5,Crop6,Crop7,Crop8,Crop9,Crop10,Crop11,Crop12,Crop13,Crop14,Crop15,Crop16,Crop17,Crop18,Crop19,Crop20,Crop21,Crop22,Crop23,Crop24,Crop25,Crop26
Afghanistan,778,14,Afghanistan14,42649,3676,4535,1180,0,0,0,0,122,388,0,0,0,0,0,0,1097,0,0,102,1006,0,0,2870,3775,2849
Afghanistan,796,14,Afghanistan14,42649,3676,4535,1180,0,0,0,0,122,388,0,0,0,0,0,0,1097,0,0,102,1006,0,0,2870,3775,2849
Afghanistan,817,14,Afghanistan14,42649,3676,4535,1180,0,0,0,0,122,388,0,0,0,0,0,0,1097,0,0,102,1006,0,0,2870,3775,2849
Afghanistan,818,8,Afghanistan8,559540,125870,78173,61683,164,4,58,100,7167,13500,0,1979,290,0,25,0,19907,233,92,3987,112840,0,0,78759,114930,103690
Afghanistan,819,14,Afghanistan14,42649,3676,4535,1180,0,0,0,0,122,388,0,0,0,0,0,0,1097,0,0,102,1006,0,0,2870,3775,2849
Afghanistan,832,14,Afghanistan14,42649,3676,4535,1180,0,0,0,0,122,388,0,0,0,0,0,0,1097,0,0,102,1006,0,0,2870,3775,2849
Afghanistan,833,14,Afghanistan14,42649,3676,4535,1180,0,0,0,0,122,388,0,0,0,0,0,0,1097,0,0,102,1006,0,0,2870,3775,2849
Afghanistan,834,8,Afghanistan8,559540,125870,78173,61683,164,4,58,100,7167,13500,0,1979,290,0,25,0,19907,233,92,3987,112840,0,0,78759,114930,103690
Afghanistan,835,9,Afghanistan9,10510,553,738,618,0,0,0,0,186,337,0,0,0,0,0,0,182,0,0,0,1305,0,0,1741,2302,2331
Afghanistan,847,14,Afghanistan14,42649,3676,4535,1180,0,0,0,0,122,388,0,0,0,0,0,0,1097,0,0,102,1006,0,0,2870,3775,2849
Afghanistan,848,10,Afghanistan10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Afghanistan,849,11,Afghanistan11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Afghanistan,863,14,Afghanistan14,42649,3676,4535,1180,0,0,0,0,122,388,0,0,0,0,0,0,1097,0,0,102,1006,0,0,2870,3775,2849
Afghanistan,864,14,Afghanistan14,42649,3676,4535,1180,0,0,0,0,122,388,0,0,0,0,0,0,1097,0,0,102,1006,0,0,2870,3775,2849
Afghanistan,874,13,Afghanistan13,62920,6934,7554,2175,4,0,0,1,183,598,0,0,0,0,0,0,1777,2,0,152,2394,0,0,4466,5754,4381
Afghanistan,891,8,Afghanistan8,559540,125870,78173,61683,164,4,58,100,7167,13500,0,1979,290,0,25,0,19907,233,92,3987,112840,0,0,78759,114930,103690
Afghanistan,892,9,Afghanistan9,10510,553,738,618,0,0,0,0,186,337,0,0,0,0,0,0,182,0,0,0,1305,0,0,1741,2302,2331
