supplysector attributes,,,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,
320,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
region,AgSupplySector,market,input-unit,,,,,,,,,,,,,,,,,
USA,UnmanagedLand,USA,thous km2,,,,,,,,,,,,,,,,,
Canada,UnmanagedLand,Canada,thous km2,,,,,,,,,,,,,,,,,
Western Europe,UnmanagedLand,Western Europe,thous km2,,,,,,,,,,,,,,,,,
Japan,UnmanagedLand,Japan,thous km2,,,,,,,,,,,,,,,,,
Australia_NZ,UnmanagedLand,Australia_NZ,thous km2,,,,,,,,,,,,,,,,,
Former Soviet Union,UnmanagedLand,Former Soviet Union,thous km2,,,,,,,,,,,,,,,,,
China,UnmanagedLand,China,thous km2,,,,,,,,,,,,,,,,,
Middle East,UnmanagedLand,Middle East,thous km2,,,,,,,,,,,,,,,,,
Africa,UnmanagedLand,Africa,thous km2,,,,,,,,,,,,,,,,,
Latin America,UnmanagedLand,Latin America,thous km2,,,,,,,,,,,,,,,,,
Southeast Asia,UnmanagedLand,Southeast Asia,thous km2,,,,,,,,,,,,,,,,,
Eastern Europe,UnmanagedLand,Eastern Europe,thous km2,,,,,,,,,,,,,,,,,
Korea,UnmanagedLand,Korea,thous km2,,,,,,,,,,,,,,,,,
India,UnmanagedLand,India,thous km2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Drivers,,,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,
12000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
region,AgSupplySector,AgSupplySubsector,UnmanagedLandTechnology,period,generic-ghg,generic-ghg,generic-ghg,generic-ghg,generic-ghg,generic-ghg,generic-ghg,generic-ghg,input driver = driven by amount of unmanaged land,,,,,,,
ALL,UnmanagedLand,Savannah BurningAEZ1,Savannah BurningAEZ1,ALL,CH4,N2O,NOx,CO,NMVOC,NH3,BC,OC,,,,,,,,
