GCAM_Region,Protected_Soil(pgC),unProtected_Soil(pgC),Protected_Veg(pgC),unProtected_Veg(pgC),Protected_Area(Km2),unProtected_Area(Km2)
1,19.289346,101.160104,8.941213,54.863675,1219906.717601,7747838.170617
2,12.248806,158.715407,4.292780,57.218596,661695.274206,7947812.333267
3,8.505034,66.936976,4.387446,34.045422,431686.108408,3696401.571003
4,0.668772,4.395729,0.486491,3.246473,45039.908220,282825.853333
5,7.621701,55.292875,3.863163,26.316184,857079.650579,6976765.609707
6,36.425052,328.313552,11.880575,121.823396,1762373.459816,19410744.079348
7,15.434475,86.861716,4.474740,58.552585,1550387.487815,9941931.205100
8,2.868636,24.376542,0.904826,6.886052,738168.121011,4403603.869596
9,24.251895,194.472561,16.839310,129.815260,2840585.834082,26713235.164568
10,39.770526,172.406946,60.337829,164.206504,3771589.955256,16210699.872070
11,10.195245,66.817739,9.988871,65.474076,687625.695081,5089623.366060
12,0.983996,13.743758,0.765701,12.842223,68400.329249,1081185.065239
13,0.033560,0.869383,0.030440,0.905690,2901.863411,82392.359253
14,1.353255,28.716367,1.129209,31.536890,143752.084234,2855457.723192
