AEZ_ID,Type,Nfert(kg)
0,1,36329931.525195
0,2,389013889.634255
107,1,155741.347267
107,2,1484143.603037
108,1,1008265.847412
108,2,4364447.746733
109,2,69440.113831
110,2,47059.864746
113,1,12237.181605
113,2,488353.215989
114,1,11505.067318
114,2,249021.904953
209,1,261234.000000
209,2,1347765.814453
210,1,76216.916992
210,2,1598362.271484
211,1,178486.961914
211,2,3455293.230042
307,2,378418.805801
308,2,152399.779068
309,1,4717.662109
309,2,3942628.689651
310,1,71703.136475
310,2,6213780.006817
410,1,29284.970703
410,2,146540.447266
501,1,2900.355754
501,2,13922.748909
502,1,5199.781197
502,2,34075.970486
503,1,4173.151947
503,2,57156.949846
504,1,35560.324919
504,2,336392.390767
505,1,8729.302460
505,2,587259.150452
508,1,331.986869
508,2,16389.737445
509,1,26114.863002
509,2,55383.319292
510,1,2474.656063
510,2,149584.169092
511,2,21879.210762
607,1,15766.018939
607,2,9919232.624267
608,1,5046.742076
608,2,28052541.951925
609,1,92380.756119
609,2,55180121.309857
610,1,1024904.583721
610,2,99833799.098549
611,2,93946516.166718
612,1,394106.093569
612,2,129380814.026151
613,1,41822.337421
613,2,424139.288251
614,1,13360.790923
614,2,65707.586833
615,1,3114.526169
615,2,5663.670921
708,1,67825.541016
708,2,4238120.328125
709,1,82997.247925
709,2,1300769.253906
714,1,75604.446289
714,2,848253.280762
715,1,43840.023438
715,2,1368324.494141
801,1,519170.316641
801,2,8053838.827541
802,1,592779.331506
802,2,18202077.269821
803,1,1651200.230759
803,2,14394784.739792
804,1,647751.760696
804,2,7879499.654226
805,1,54750.889572
805,2,235714.788193
806,1,24802.310178
806,2,823703.375215
807,1,9615277.807490
807,2,196152907.340057
808,1,16654679.279218
808,2,285607422.608081
809,1,9844318.586441
809,2,227900554.902977
810,1,2786560.000397
810,2,84390211.569759
811,1,1823431.096811
811,2,29773863.451616
812,1,4043724.236113
812,2,44902629.854880
817,1,15578.729534
817,2,6745.369415
910,1,3684202.335938
910,2,91189547.078125
911,1,1724682.072266
911,2,9157198.968750
915,1,184908.235352
915,2,7237741.857910
916,2,4413573.447266
1008,1,117550.918091
1008,2,4106370.869354
1009,1,374056.952118
1009,2,5976948.727173
1014,1,1109.955078
1014,2,75125.274048
1015,1,96446.039429
1015,2,385528.751831
1104,1,11142176.181641
1104,2,164389061.238281
1105,1,15803951.296875
1105,2,625047005.596191
1210,1,826858.562500
1210,2,34437763.453125
1211,1,2507536.472656
1211,2,117239497.324219
1310,1,10995027.992188
1310,2,203553884.230469
1406,1,492078.559662
1406,2,2723107.969742
1503,1,1171573.662476
1503,2,1271673.812256
1504,1,2061548.132324
1504,2,6600234.296387
1505,1,299613.854492
1505,2,2983945.690430
1611,1,137097.085938
1611,2,343335.382812
1616,1,13113.266113
1616,2,2628.665039
1701,1,11097.088122
1701,2,13563.185918
1702,1,8015.207031
1703,1,39317.387878
1703,2,410611.103945
1704,1,114254.422472
1704,2,661706.834389
1705,1,455051.700340
1705,2,696932.168431
1706,1,97265.414972
1706,2,559603.640240
1707,1,490.078766
1707,2,515849.231379
1708,1,39138.420441
1708,2,1424717.305988
1709,1,290081.083056
1709,2,1676242.130151
1710,1,134964.367310
1710,2,576978.870125
1711,1,30772.826710
1711,2,282217.365536
1712,1,34310.460083
1712,2,4291.482544
1713,1,18535.828068
1713,2,124138.505398
1714,1,2493.018860
1714,2,138414.063904
1715,1,4662.230896
1715,2,62202.546448
1716,2,30061.800568
1810,1,323133.520508
1810,2,18278860.962891
1811,2,9879863.838379
1812,2,194776.176880
1907,1,117276.523522
1907,2,3412355.100415
1908,1,577827.077897
1908,2,957154.914909
1909,1,21186.858620
1909,2,34952.866158
2001,1,21969.651367
2001,2,80813.073887
2002,1,41772.611610
2002,2,6201778.882549
2003,1,3093415.350918
2003,2,68658555.932083
2004,1,7626708.654868
2004,2,110872530.085199
2005,1,21281496.696163
2005,2,406467939.080341
2006,1,24117450.321039
2006,2,345995508.705806
2010,1,38304.072266
2010,2,1165641.177002
2011,1,7401.659668
2011,2,94801.963867
2012,1,14430535.656616
2012,2,390530736.738441
2106,1,615470.078125
2106,2,205194.562500
2209,1,127574.717899
2209,2,4773397.035351
2210,1,28379.987885
2210,2,269937.757821
2301,1,325358.666504
2301,2,12853.704102
2302,1,420189.512207
2302,2,2551520.087646
2303,1,434957.607422
2303,2,5732552.324097
2304,1,1239.849731
2304,2,233076.732910
2405,1,31786.375000
2405,2,1348680.111982
2504,1,324575.414062
2504,2,788626.214325
2505,1,1397179.787720
2505,2,20274818.921026
2506,1,78056.331238
2506,2,117643.401207
2602,1,36839.242432
2602,2,437003.379150
2603,2,2557416.068115
2604,1,637822.141235
2604,2,5690648.929688
2605,1,609069.252831
2605,2,10377418.220874
2606,1,84637.412965
2606,2,1060364.468924
2707,1,15729693.636719
2707,2,343928221.003906
2708,1,4861302.781525
2708,2,264661505.078308
2709,1,15703664.845222
2709,2,329308458.362016
2710,1,3357517.624047
2710,2,302552244.077290
2711,1,47430.913559
2711,2,532775.970274
2713,1,4465978.128906
2713,2,118586759.746094
2714,1,555871.883621
2714,2,66634362.152517
2715,1,18178685.894346
2715,2,420921796.044511
2716,1,495819.832398
2716,2,12396159.340383
2803,1,234.001003
2803,2,14279.154179
2804,1,40759.969651
2804,2,196362.632474
2805,1,2704.741215
2805,2,144486.976695
2806,1,62.345254
2806,2,5891.752561
2901,1,294474.361571
2901,2,2082231.664181
2902,1,56435.325562
2902,2,4278680.367004
2903,1,284940.244024
2903,2,2801419.367199
2904,1,201.903538
2904,2,1070313.016247
3001,1,10366.654539
3001,2,360719.690011
3007,1,33971.822203
3007,2,7916141.807714
3008,1,29131.323242
3008,2,9407073.474976
3009,1,507078.264648
3009,2,14458552.426025
3010,1,357919.619141
3010,2,63045093.176056
3011,2,20885480.712891
3012,1,193666.235016
3012,2,20923390.511206
3013,1,532393.822783
3013,2,6721126.687092
3014,1,431587.315353
3014,2,5115345.011317
3015,1,835213.567654
3015,2,1828522.325156
3016,1,1562263.436887
3016,2,1318463.625679
3017,1,451184.935333
3017,2,268067.222757
3018,1,117055.389801
3018,2,42933.842875
3104,2,3239200.067383
3105,1,284058.164062
3105,2,15519380.453125
3106,1,28467431.546875
3106,2,488341852.343750
3107,1,10252871.024614
3107,2,444898479.636325
3108,1,26988455.940982
3108,2,2203437475.743548
3109,1,45124873.857483
3109,2,3200486843.539551
3110,1,26452031.245728
3110,2,1748163406.373108
3111,1,152042468.537109
3111,2,3286410015.965332
3112,1,161730102.400391
3112,2,5959240526.310303
3113,1,5483576.795302
3113,2,82665273.704255
3114,1,3543643.368914
3114,2,41270618.129474
3115,1,7481808.616321
3115,2,86047663.452163
3116,1,5606450.394447
3116,2,39250237.888182
3117,1,426615.341797
3117,2,1454981.454102
3202,1,1.609614
3202,2,0.200185
3203,1,33.410757
3203,2,6.432745
3204,1,25266.053955
3204,2,1402068.565750
3205,1,1517225.271496
3205,2,34651322.560238
3206,1,13615385.086032
3206,2,183388738.108227
3211,1,196520.445312
3211,2,3092935.712891
3212,1,1562678.704102
3212,2,10510030.765625
3305,1,17661.877800
3305,2,208361.783479
3306,1,89860.351986
3306,2,1632365.888862
3404,1,1304488.437500
3404,2,20495641.267578
3405,1,9390288.796875
3405,2,19447551.274780
3406,1,5669789.830490
3406,2,17049982.889812
3504,1,1088640.723724
3504,2,4552855.286499
3505,1,4238466.735352
3505,2,18573488.196533
3506,1,2376133.945557
3506,2,7456760.485741
3610,1,716270.863281
3610,2,3732112.317139
3611,1,4771056.062500
3611,2,75472208.441986
3612,1,115749.265625
3612,2,2810945.298340
3704,1,987834.176697
3704,2,11529240.603271
3705,1,3184445.341125
3705,2,40209422.069214
3706,1,403866.578857
3706,2,3785866.472015
3810,1,20592998.513672
3810,2,212265826.058594
3910,1,10469544.144531
3910,2,162735871.743164
4001,2,50.754301
4105,1,2864249.424805
4105,2,14189645.115234
4106,1,4438376.316406
4106,2,20702976.657349
4201,1,315359.867188
4201,2,1140998.121094
4202,1,140367.177734
4202,2,4590495.040283
4203,1,218513.399902
4203,2,10459373.574005
4204,2,11001620.596558
4205,1,784154.468750
4205,2,10555779.675781
4206,1,1929412.476695
4206,2,21850394.990634
4208,1,272467.142578
4208,2,1346744.681641
4209,2,2913883.267578
4210,1,81169.935547
4210,2,4645716.166016
4211,1,1291444.637695
4211,2,5196888.443359
4212,1,888356.387695
4212,2,1435227.876953
4301,1,5962525.802246
4301,2,474863725.719727
4302,2,22347647.839844
4307,1,418576.630371
4307,2,140847015.238294
4404,1,4346406.809570
4404,2,25400509.159668
4405,1,1869563.859375
4405,2,6571724.500000
4601,1,7861.461998
4601,2,1472807.379189
4602,1,47536.011719
4602,2,3817496.812500
4710,1,2898255.491211
4710,2,14904771.909973
4716,1,133598.912109
4716,2,2252070.235352
4801,1,696614.700713
4801,2,400398.399526
4802,1,1952313.469974
4802,2,7372676.354378
4803,1,1219123.676521
4803,2,5179794.721824
4804,1,845394.613235
4804,2,7143040.608465
4805,1,2365385.124689
4805,2,9066364.401507
4806,1,192811.936986
4806,2,272877.462236
4808,2,648052.824219
4809,1,97172.949219
4809,2,2905622.169434
4810,1,39272.279297
4810,2,3957177.063599
4811,1,841881.428223
4811,2,4063252.446899
4812,1,801370.104004
4812,2,299172.968750
4909,1,27957.217773
4909,2,54130965.742188
4910,1,52261.359375
4910,2,5949530.871460
4915,1,1287162.280289
4915,2,87761851.804781
5006,1,63243.984211
5006,2,246408.312022
5110,1,101776277.093750
5110,2,502354664.433594
5111,1,145049372.593018
5111,2,1425930283.892578
5112,1,16013719.613770
5112,2,233798433.455078
5115,1,9468117.140625
5115,2,8140288.263672
5116,1,3610589.664062
5116,2,5301768.750000
5205,1,5492.241205
5205,2,14412.168932
5206,1,9392.667478
5206,2,59018.588792
5303,1,11402.021973
5303,2,549307.208817
5409,1,94348.484375
5409,2,5041586.155762
5410,1,514654.708984
5410,2,15301420.374268
5411,1,162991.019531
5411,2,2698447.033203
5412,1,363953.930420
5412,2,4979836.693954
5414,1,140134.009277
5414,2,288327.708496
5415,1,278255.824951
5415,2,4291727.920166
5416,1,156322.169922
5416,2,4380080.694336
5510,1,610760349.726562
5510,2,1068472696.602051
5511,1,88474442.671875
5511,2,157806287.039062
5516,1,834356.750000
5516,2,3534918.273438
5603,2,124737.677856
5604,1,104863.401855
5604,2,1927675.451538
5605,1,268691.262634
5605,2,3586755.244560
5606,1,25589.887451
5606,2,763854.033813
5709,1,16409476.823730
5709,2,83859846.750000
5710,1,11597298.176758
5710,2,101531505.102219
5711,1,5707403.910156
5711,2,27921114.731934
5805,1,2049879.156250
5805,2,45658736.329102
5806,1,5466999.524292
5806,2,42231177.864712
5812,1,1376286.916016
5812,2,8318803.304688
5903,2,4592.621143
5904,1,217016.065277
5904,2,5612382.999531
5905,1,165042.040771
5905,2,3067679.007919
5906,1,105725.432495
5906,2,606393.665649
6003,1,12852.298615
6003,2,297771.171570
6004,1,163280.395172
6004,2,533640.920975
6104,2,844777.312500
6105,1,617.443787
6105,2,207372.019531
6106,1,189672.896011
6106,2,8359515.565203
6204,1,81231.826172
6204,2,604242.653198
6205,1,42705.669922
6205,2,3243523.374573
6206,1,185799.375488
6206,2,2058073.549683
6304,1,1953928.218750
6304,2,22731361.698242
6305,1,2992218.323730
6305,2,31018328.857422
6306,1,1655194.350845
6306,2,12785220.723267
6412,2,342770.656250
6509,1,547099.671875
6509,2,6695051.812500
6510,1,6598030.890625
6510,2,125451995.558594
6511,1,1453782.169922
6511,2,32326604.257812
6701,1,9204612.924591
6701,2,26835384.247490
6702,1,13652400.146484
6702,2,402724801.315918
6703,1,55153018.018066
6703,2,2338804742.852982
6704,1,33878712.467285
6704,2,1078998669.189575
6705,1,10070285.082031
6705,2,202798928.527649
6706,1,2024732.840820
6706,2,81570156.526855
6707,1,2433748.897217
6707,2,141917890.337051
6708,1,10944424.058594
6708,2,880048402.603516
6709,1,8695796.851562
6709,2,654070852.695312
6710,1,2619314.488861
6710,2,87089433.341927
6711,1,1851305.794922
6711,2,55106129.816406
6712,1,806102.203125
6712,2,20817020.086426
6713,1,244686.613886
6713,2,132456.611178
6714,1,200522.028996
6714,2,453253.176139
6715,1,645543.946045
6715,2,2403810.890717
6716,1,353094.916992
6716,2,924057.289734
6804,1,1268324.836914
6804,2,71322722.724426
6805,1,17653136.172852
6805,2,277250309.834229
6806,1,143697600.944702
6806,2,1033563688.522118
6901,1,87855.700317
6901,2,4050770.706329
6907,1,14651582.804565
6907,2,204970639.520995
6908,1,28919931.535370
6908,2,511090249.535400
6909,1,2368876.908203
6909,2,70771553.375000
7007,1,73560.962795
7007,2,116333404.677471
7008,2,59675908.392578
7009,2,61302137.471130
7010,2,5199994.824219
7111,1,964845.554688
7111,2,110400862.911133
7112,1,1637974.007812
7112,2,240211215.512695
7201,1,77768.995117
7201,2,181473.128906
7202,2,2095073.633789
7203,2,3589730.966797
7207,1,762.162277
7207,2,2472.593719
7208,1,157770.050781
7208,2,6786160.184570
7209,2,23028010.195312
7309,1,439378.962891
7309,2,824334.759766
7310,1,12677108.725220
7310,2,144100546.917297
7311,1,35132758.798584
7311,2,509412958.462158
7312,1,966415.859375
7312,2,7997021.794922
7313,1,68110.857422
7313,2,748205.390625
7314,1,1573622.779297
7314,2,4042047.050293
7315,1,1997383.611816
7315,2,11877332.881592
7409,1,3840539.679688
7409,2,10697386.539062
7410,1,32439039.787109
7410,2,165622982.300781
7411,1,13937516.858398
7411,2,102983020.644043
7412,1,8239572.295898
7412,2,50356196.258789
7415,1,3439724.375000
7415,2,5736018.210938
7503,2,3680189.222656
7507,1,11730.616318
7507,2,1512148.337112
7508,2,3912475.945801
7509,2,5581431.824219
7607,1,208448.196085
7607,2,3915940.540879
7608,1,130341.959167
7608,2,2594491.717143
7613,1,141135.515065
7613,2,20649887.217549
7614,1,158887.438971
7614,2,2395691.103709
7615,1,36584.460343
7615,2,146145.526672
7701,1,877580.200562
7701,2,10527605.663901
7702,1,3070634.703049
7702,2,18712096.260574
7703,1,969919.942871
7703,2,6659168.927359
7704,1,127230.361816
7704,2,4826347.327621
7705,1,168328.122070
7705,2,5343764.192078
7706,1,431166.455078
7706,2,11198633.420044
7807,2,557776.232910
7907,1,51918.565063
7907,2,393434.817871
7908,2,8765607.213867
7913,1,267655.658081
7913,2,8236961.234619
7914,1,398204.348328
7914,2,11954688.678223
8004,1,610298.367188
8004,2,2461173.105469
8005,1,1056073.497314
8005,2,3864843.037415
8006,1,1841900.642395
8006,2,3543520.317139
8010,1,6844.514404
8010,2,116357.169678
8011,1,452772.062012
8011,2,3151351.831299
8012,1,755970.033081
8012,2,893246.783325
8110,1,3113223.574585
8110,2,18190658.484909
8208,2,3641937.703125
8210,1,167833.562500
8210,2,10205473.927734
8309,2,728208.485229
8310,1,312054.554688
8310,2,2153416.342407
8311,1,487946.350830
8311,2,444482.869629
8405,1,20.184850
8405,2,86.806843
8406,2,54638.074463
8502,2,1952675.010864
8507,2,1994062.585846
8508,2,8948156.672363
8509,2,8855853.496948
8610,1,2227755.107422
8610,2,72903511.278198
8709,1,251611.710938
8709,2,17075466.310547
8710,1,233721.292969
8710,2,1472096.445312
8802,1,495.854044
8802,2,9120.798189
8803,1,8859.980576
8803,2,175582.989093
8804,1,15052.604829
8804,2,461601.759002
8805,1,15311.883844
8805,2,380762.729837
8806,1,83670.564656
8806,2,1366358.214452
8810,2,128564.985596
8811,2,99243.048584
8903,1,1540202.260986
8903,2,11471850.034363
8904,1,3081363.910881
8904,2,12120074.389771
8905,1,35163.894531
8905,2,1470461.871307
8909,2,5036198.250244
9006,1,32472019.950684
9006,2,305235090.728424
9101,1,240242.971244
9101,2,1878575.089336
9102,1,364646.444214
9102,2,6506767.709660
9103,1,161295.675827
9103,2,2987173.994102
9104,1,3602.384399
9104,2,424050.699436
9201,1,10508.845703
9201,2,2440772.917488
9202,2,388398.938389
9301,1,119508.306590
9301,2,27773740.219335
9302,1,476313.589844
9302,2,35913337.534546
9303,1,10469383.826904
9303,2,73139595.987915
9304,1,12894965.063965
9304,2,140168135.174622
9305,1,6733586.628787
9305,2,102969196.195913
9306,1,11014678.892578
9306,2,181787933.768555
9307,1,11014577.148707
9307,2,179510644.120038
9308,1,9302533.019707
9308,2,93456611.220213
9309,1,11406684.069992
9309,2,175386595.737350
9310,1,17969500.632812
9310,2,98032700.396515
9311,1,1277310.777344
9311,2,6252166.223145
9312,1,559936.906250
9312,2,8673131.265625
9408,1,6577.494141
9408,2,981444.440430
9409,2,3435466.055176
9410,2,1810520.475098
9507,1,51955.223217
9507,2,273414.213158
9508,1,49688.691423
9508,2,503313.933998
9513,1,41513.741079
9513,2,327055.108878
9514,1,212345.492899
9514,2,1869222.085590
9515,1,39832.120560
9515,2,667516.201038
9601,1,21896.894043
9601,2,658548.778229
9602,2,973256.788330
9603,2,1879665.108887
9604,1,31515.130859
9604,2,6865018.613770
9607,2,5136166.544708
9608,1,368388.239746
9608,2,25411794.162598
9609,1,693461.093750
9609,2,44949239.897217
9610,1,148627.697266
9610,2,38013342.984253
9701,1,183631.992981
9701,2,122667.331802
9702,1,91900.258789
9702,2,458120.703644
9703,1,215486.538422
9703,2,3632823.080276
9704,1,844610.051842
9704,2,5952630.437271
9705,1,74105.564207
9705,2,1705654.375175
9709,2,410309.725307
9710,2,344868.282104
9804,1,2226518.071289
9804,2,41522221.741730
9805,1,4069508.673218
9805,2,74490684.482620
9806,1,120650.733398
9806,2,674776.961182
9811,1,370523.600464
9811,2,10186324.881775
9812,1,344056.435791
9812,2,1978658.304688
9815,1,16956.828003
9815,2,4871.455933
9816,1,12058.517578
9816,2,42194.846191
9901,1,32.389819
9901,2,279.878792
9907,1,2000.741115
9907,2,118242.165294
9908,1,4634.666784
9908,2,62551.288900
9909,1,510.153290
9909,2,923.281481
10003,1,304562.500000
10003,2,1877381.000000
10004,1,2746551.798828
10004,2,20367353.462891
10005,1,363403.330078
10005,2,1854509.128906
10010,1,646170.168945
10010,2,8064932.173828
10011,1,422384.063477
10011,2,12805378.094727
10012,1,547630.929688
10012,2,5130908.832031
10013,1,51888.586258
10013,2,41681.708031
10014,1,148997.262390
10014,2,114392.340576
10015,1,325809.551392
10015,2,442974.595886
10016,1,2900.117432
10016,2,178990.517090
10111,1,11886225.156250
10111,2,278775135.597656
10206,1,33763.126953
10206,2,152614.126343
10210,2,2489663.275391
10211,1,3882528.328430
10211,2,47062324.751282
10212,1,6157943.677979
10212,2,82436046.169060
10215,2,31347.666504
10216,1,755214.621338
10216,2,4246901.704407
10304,1,1890916.894531
10304,2,9120503.096619
10305,1,2428532.929138
10305,2,6194538.726562
10306,1,1987274.899521
10306,2,2624629.919022
10401,1,74418.697238
10401,2,1102611.148944
10402,1,50548.789703
10402,2,2244196.293518
10403,1,28380.634949
10403,2,69380.580841
10501,2,1141122.767578
10502,1,129914.931641
10502,2,19284208.538086
10503,1,594820.964600
10503,2,17242658.780365
10504,1,1191205.493042
10504,2,23211167.877686
10505,1,865920.073883
10505,2,25424765.653656
10506,1,60901.009766
10506,2,5321657.728882
10609,2,4632989.088867
10610,2,119688699.988281
10611,2,12657595.414062
10615,2,10787300.443359
10710,1,540468.530762
10710,2,31771252.160339
10714,1,104234.070312
10714,2,1298425.439697
10715,1,1001071.916397
10715,2,32880614.881073
10716,1,662661.286621
10716,2,15252704.836182
10801,1,11520.700287
10801,2,3877493.613388
10901,1,30557328.309326
10901,2,156408183.791077
10907,1,138113410.094766
10907,2,1022362183.884812
10908,1,502332.122070
10908,2,196856129.419708
10909,1,6249249.484375
10909,2,109376102.923309
10910,1,5657296.808594
10910,2,237036005.872070
