Country,AEZ,crop,bl (1000m3),Area (km2),gn (1000m3),Area (km2)
DZA,1,Rice,0,0,0,0
DZA,7,Rice,0,0.00474499,0.61,0.00474499
DZA,8,Rice,0,0.055725786,11.74,0.055725786
DZA,9,Rice,0,0.740023626,152.09,0.740023626
DZA,10,Rice,0,1.114193635,283.01,1.114193635
AZE,8,Rice,5371.89,10.04062965,1302.64,10.04062965
AZE,9,Rice,14844.82,22.24496202,3396.12,22.24496202
AZE,10,Rice,0,0.227466554,0,0.227466554
AZE,14,Rice,0,0.45932208,0,0.45932208
AZE,15,Rice,0,0.622324095,0,0.622324095
ALB,9,Rice,0,2.95316E-22,0,2.95316E-22
ALB,10,Rice,0,4.30291E-21,0,4.30291E-21
ALB,11,Rice,0,1.30502E-21,0,1.30502E-21
ALB,16,Rice,0,0,0,0
ARM,8,Rice,62.1,0.105682256,10.99,0.105682256
ARM,9,Rice,36.49,0.142816753,13.32,0.142816753
ARM,14,Rice,0,0,0,0
ARM,15,Rice,0,0,0,0
AGO,1,Rice,0,0.418533231,0,0.418533231
AGO,2,Rice,0,0.939718051,0,0.939718051
AGO,3,Rice,0,1.467441434,0,1.467441434
AGO,4,Rice,0,9.828441968,0,9.828441968
AGO,5,Rice,0,29.66005228,479.17,29.66005228
AGO,8,Rice,0,0.483969253,0,0.483969253
AGO,9,Rice,0,2.097030172,0,2.097030172
AGO,10,Rice,0,3.799331787,0,3.799331787
AGO,11,Rice,0,0.557631313,0,0.557631313
ARG,7,Rice,0,0.158807419,0,0.158807419
ARG,8,Rice,0,2.754741327,0,2.754741327
ARG,9,Rice,0,2.621287018,0,2.621287018
ARG,10,Rice,0.09,4.605636512,240.47,4.605636512
ARG,11,Rice,369.54,140.3137239,42115.43,140.3137239
ARG,12,Rice,450517.24,1754.630226,1069284.32,1754.630226
ARG,13,Rice,0,1.395518997,99.99,1.395518997
ARG,14,Rice,0,0.023383832,0,0.023383832
ARG,15,Rice,0,0,0,0
ARG,16,Rice,0,0,0,0
AUS,1,Rice,0,0,0,0
AUS,2,Rice,0,0,0,0
AUS,3,Rice,0,0,0,0
AUS,4,Rice,0,0,0,0
AUS,5,Rice,0,0,0,0
AUS,6,Rice,0,0,0,0
AUS,7,Rice,111644.13,448.1307053,25887.45,448.1307053
AUS,8,Rice,385047.57,270.9263825,78005.25,270.9263825
AUS,9,Rice,657519.39,481.8976427,146753.67,481.8976427
AUS,10,Rice,23287.66,123.2993214,6422.66,123.2993214
AUS,11,Rice,12810.29,53.59718372,4438.89,53.59718372
AUS,12,Rice,0,0.015296619,0,0.015296619
AUS,17,Rice,0,0,0,0
BGD,4,Rice,1290355.86,14922.19653,6263570.37,14922.19653
BGD,5,Rice,5060632.9,85301.12784,36994574.55,85301.12784
BGD,6,Rice,55524.74,3241.728104,1443792.89,3241.728104
BGD,11,Rice,58753.27,735.6194814,310161.3,735.6194814
BGD,12,Rice,11066.01,506.3692963,228819.86,506.3692963
BLZ,5,Rice,335.42,2.800927283,972.44,2.800927283
BLZ,6,Rice,1417.59,44.67441916,16265.42,44.67441916
BIH,10,Rice,0,0,0,0
BIH,11,Rice,0,0,0,0
BIH,12,Rice,0,0,0,0
BOL,1,Rice,0,10.02518717,2979.96,10.02518717
BOL,2,Rice,0,4.454166553,1675.14,4.454166553
BOL,3,Rice,1107.23,147.6039241,59923.6,147.6039241
BOL,4,Rice,607.22,271.7098035,128512.82,271.7098035
BOL,5,Rice,0.07,452.1282043,230638.57,452.1282043
BOL,6,Rice,2.06,113.2577542,50455.19,113.2577542
BOL,7,Rice,0,0.011870763,0,0.011870763
BOL,8,Rice,6384.49,46.98741556,17191.92,46.98741556
BOL,9,Rice,14288.19,138.4360511,60945.1,138.4360511
BOL,10,Rice,2.03,169.9642589,81941.56,169.9642589
BOL,11,Rice,0.02,89.65727879,43548.14,89.65727879
BOL,12,Rice,0,3.190704435,1365.86,3.190704435
BOL,13,Rice,0.26,1.430934308,323.55,1.430934308
BOL,14,Rice,40,7.469266848,2520.96,7.469266848
BOL,15,Rice,14886.14,16.2743716,16282.13,16.2743716
BOL,16,Rice,1004.65,7.192999072,3527.86,7.192999072
MMR,4,Rice,490197.96,21945.91388,15399241.6,21945.91388
MMR,5,Rice,1263830.66,34973.65322,23040107.1,34973.65322
MMR,6,Rice,3063.08,406.4635958,204389.89,406.4635958
MMR,11,Rice,49425.54,2247.320984,1088797.97,2247.320984
