Summary for Type
Type,Area(Km2)
1,351714.265636
2,1251838.578974
11,3844373.608141
12,12763346.847404
21,421803.418079
22,5388868.236433
31,115228.987011
32,1001077.077105
41,255612.617941
42,3293826.565356
51,362541.044159
52,4431247.544409
61,651798.690000
62,5146680.394889
71,248333.168099
72,1946322.332885
81,1569563.515705
82,13089396.259942
91,2067222.586500
92,16978058.300316
101,854365.301999
102,13329008.916495
111,456253.118847
112,5492797.566771
121,1103237.757942
122,10768830.604828
131,1486578.991842
132,5275342.964411
141,1344495.006465
142,13903877.042332
151,196534.783568
152,540379.096426


Summary for AEZ
AEZ_ID, Area(Km2)
0,2203473.873172
107,230991.906080
108,330776.384174
109,5125.175789
110,2539.767609
113,61410.782986
114,26411.477686
209,6839.248854
210,11530.819298
211,8640.447518
301,147190.360519
307,1854395.693596
308,72697.727196
309,114449.061257
310,78751.803014
410,2288.065773
501,40560.722543
502,36238.122191
503,60158.509621
504,349317.097411
505,365233.373142
508,27132.126167
509,196092.069839
510,153689.458290
511,10171.348465
607,913871.784977
608,288532.497278
609,297551.715725
610,217986.770333
611,174643.131252
612,473200.542111
613,259786.512157
614,97075.500043
615,17900.984575
616,2351.615795
708,9453.974442
709,4569.522678
714,3772.670845
715,4673.547604
801,791289.889291
802,754089.850612
803,385602.768823
804,85424.524135
805,12532.695038
806,11571.740104
807,4100483.655250
808,490275.178619
809,335939.156847
810,183203.812169
811,242713.940540
812,209407.736349
817,8176.044270
910,44643.946413
911,3209.364070
915,25046.492458
916,7189.913532
1008,17989.908459
1009,53568.662511
1014,2323.988922
1015,6989.307701
1104,29332.604259
1105,113961.319614
1210,7968.201782
1211,24963.137984
1310,189774.833378
1406,16901.583703
1503,43163.108971
1504,60137.950996
1505,15328.022552
1611,14210.531319
1612,10992.052917
1616,8213.202438
1701,11636.737152
1702,5836.489098
1703,64271.243118
1704,70269.001717
1705,305768.049385
1706,185807.446999
1707,87052.569638
1708,79565.831807
1709,131869.315216
1710,54604.526192
1711,22701.373154
1712,2995.960236
1713,39362.943604
1714,8814.197937
1715,4788.058939
1716,2768.528902
1810,34923.165977
1811,12935.091242
1812,880.522670
1907,402949.225121
1908,172072.500626
1909,8806.755432
2001,9399.754181
2002,96202.040567
2003,504422.649776
2004,893460.220121
2005,2785120.460371
2006,3492085.216294
2010,7366.303787
2011,2013.964775
2012,573761.080581
2106,8938.704993
2209,82980.545996
2210,26494.116569
2301,5978.410767
2302,47071.213402
2303,163120.975582
2304,17645.302231
2405,24296.327322
2504,36167.957596
2505,139735.286023
2506,7416.329384
2602,15142.009277
2603,34397.254646
2604,59665.101843
2605,164444.730412
2606,198917.932645
2707,151737.390697
2708,86155.096105
2709,600361.013450
2710,366668.822359
2711,5963.449091
2713,1368676.909369
2714,2928094.305152
2715,3146769.644365
2716,61840.847237
2803,30938.086075
2804,199828.620255
2805,343624.327293
2806,55549.622635
2901,641602.637016
2902,156642.586681
2903,270245.613796
2904,50961.774696
2907,174707.837196
3001,22046.753897
3007,175419.978282
3008,19700.654958
3009,30090.322649
3010,62870.810845
3011,20500.171370
3012,42968.365552
3013,112171.442809
3014,66849.208720
3015,62006.714517
3016,65832.285405
3017,22519.008236
3018,9484.039679
3104,1524.902256
3105,9958.618896
3106,114575.947999
3107,1938880.618272
3108,918072.890416
3109,678451.899897
3110,479974.499980
3111,842841.941592
3112,1533590.088266
3113,1331566.112717
3114,799565.392743
3115,584922.597228
3116,175511.142130
3117,6422.261208
3202,6082.617770
3203,2506.665672
3204,10224.273426
3205,143215.484280
3206,955678.238888
