All residential techs,,,,,,,,
INPUT_TABLE,,,,,,,,
Variable ID,,,,,,,,
1110,,,,,,,,

supplysector,subsector,technology,Year,minicam-energy-input,efficiency,input-cost,logitexp,sharewt
residential lighting service,electricity,solidstate,2020,elect_td_bld,0.1700,543.1,-4,0.1
residential lighting service,electricity,solidstate,2035,elect_td_bld,0.1973,305.8,-4,1
residential lighting service,electricity,solidstate,2050,elect_td_bld,0.2291,283.8,-4,1
residential lighting service,electricity,solidstate,2065,elect_td_bld,0.2660,263.3,-4,1
residential lighting service,electricity,solidstate,2080,elect_td_bld,0.3088,244.3,-4,1
residential lighting service,electricity,solidstate,2095,elect_td_bld,0.3585,226.7,-4,1

All commercial techs,,,,,,,,
INPUT_TABLE,,,,,,,,
Variable ID,,,,,,,,
1110,,,,,,,,

supplysector,subsector,technology,Year,minicam-energy-input,efficiency,input-cost,logitexp,sharewt
commercial lighting service,electricity,solidstate,2020,elect_td_bld,0.1700,84.1,-8,0.1
commercial lighting service,electricity,solidstate,2035,elect_td_bld,0.1973,41.3,-8,1
commercial lighting service,electricity,solidstate,2050,elect_td_bld,0.2291,38.3,-8,1
commercial lighting service,electricity,solidstate,2065,elect_td_bld,0.2660,35.5,-8,1
commercial lighting service,electricity,solidstate,2080,elect_td_bld,0.3088,33.0,-8,1
commercial lighting service,electricity,solidstate,2095,elect_td_bld,0.3585,30.6,-8,1
