# File: ceds_sector_map.csv,,,,,,,,,
# Title: CEDS-GCAM sector map,,,,,,,,,
# Units: NA,,,,,,,,,
# Description: Maps CEDS sectors to GCAM sectors,,,,,,,,,
CEDS_sector,,CEDS_agg_sector,CEDS_fuel,,,,,,
11A_Volcanoes,process,,,,,,,11A_Volcanoes,
11B_Forest-fires,process,forest,,,,,,11B_Forest-fires,forest
11C_Other-natural,process,,,,,,,11C_Other-natural,
1A1a_Electricity-autoproducer,biomass,elec_gen,,,,,,1A1a_Electricity-autoproducer,elec_gen
1A1a_Electricity-autoproducer,brown_coal,elec_gen,,,,,,1A1a_Electricity-public,elec_gen
1A1a_Electricity-autoproducer,coal_coke,elec_gen,,,,,,1A1a_Heat-production,elec_heat
1A1a_Electricity-autoproducer,diesel_oil,elec_gen,,,,,,1A1bc_Other-transformation,industry_energy
1A1a_Electricity-autoproducer,hard_coal,elec_gen,,,,,,1A2a_Ind-Comb-Iron-steel,industry_energy
1A1a_Electricity-autoproducer,heavy_oil,elec_gen,,,,,,1A2b_Ind-Comb-Non-ferrous-metals,industry_energy
1A1a_Electricity-autoproducer,light_oil,elec_gen,,,,,,1A2c_Ind-Comb-Chemicals,industry_energy
1A1a_Electricity-autoproducer,natural_gas,elec_gen,,,,,,1A2d_Ind-Comb-Pulp-paper,industry_energy
1A1a_Electricity-public,biomass,elec_gen,,,,,,1A2e_Ind-Comb-Food-tobacco,industry_energy
1A1a_Electricity-public,brown_coal,elec_gen,,,,,,1A2f_Ind-Comb-Non-metalic-minerals,industry_energy
1A1a_Electricity-public,coal_coke,elec_gen,,,,,,1A2g_Ind-Comb-Construction,industry_energy
1A1a_Electricity-public,diesel_oil,elec_gen,,,,,,1A2g_Ind-Comb-machinery,industry_energy
1A1a_Electricity-public,hard_coal,elec_gen,,,,,,1A2g_Ind-Comb-mining-quarying,industry_energy
1A1a_Electricity-public,heavy_oil,elec_gen,,,,,,1A2g_Ind-Comb-other,industry_energy
1A1a_Electricity-public,light_oil,elec_gen,,,,,,1A2g_Ind-Comb-textile-leather,industry_energy
1A1a_Electricity-public,natural_gas,elec_gen,,,,,,1A2g_Ind-Comb-transpequip,industry_energy
1A1a_Heat-production,biomass,elec_heat,,,,,,1A2g_Ind-Comb-wood-products,industry_energy
1A1a_Heat-production,brown_coal,elec_heat,,,,,,1A3aii_Domestic-aviation,trn_domestic air
1A1a_Heat-production,coal_coke,elec_heat,,,,,,1A3ai_International-aviation,trn_intl_air
1A1a_Heat-production,diesel_oil,elec_heat,,,,,,1A3b_Road,trn_road
1A1a_Heat-production,hard_coal,elec_heat,,,,,,1A3c_Rail,trn_rail
1A1a_Heat-production,heavy_oil,elec_heat,,,,,,1A3dii_Domestic-navigation,trn_domestic ship
1A1a_Heat-production,light_oil,elec_heat,,,,,,1A3di_International-shipping,trn_intl_ship
1A1a_Heat-production,natural_gas,elec_heat,,,,,,1A3di_Oil_Tanker_Loading,trn_intl_ship
1A1bc_Other-transformation,process,,,,,,,1A3eii_Other-transp,
1A2a_Ind-Comb-Iron-steel,biomass,industry_energy,,,,,,1A4a_Commercial-institutional,bld_comm
1A2a_Ind-Comb-Iron-steel,brown_coal,industry_energy,,,,,,1A4b_Residential,bld_resid
1A2a_Ind-Comb-Iron-steel,coal_coke,industry_energy,,,,,,1A4c_Agriculture-forestry-fishing,industry_energy
1A2a_Ind-Comb-Iron-steel,diesel_oil,industry_energy,,,,,,1A5_Other-unspecified,
1A2a_Ind-Comb-Iron-steel,hard_coal,industry_energy,,,,,,1B1_Fugitive-solid-fuels,coal
1A2a_Ind-Comb-Iron-steel,heavy_oil,industry_energy,,,,,,1B2d_Fugitive-other-energy,
1A2a_Ind-Comb-Iron-steel,light_oil,industry_energy,,,,,,1B2_Fugitive-petr-and-gas,oil_gas
1A2a_Ind-Comb-Iron-steel,natural_gas,industry_energy,,,,,,2A1_Cement-production,cement
1A2b_Ind-Comb-Non-ferrous-metals,biomass,industry_energy,,,,,,2A2_Lime-production,industry_processes
1A2b_Ind-Comb-Non-ferrous-metals,brown_coal,industry_energy,,,,,,2A6_Other-minerals,industry_processes
1A2b_Ind-Comb-Non-ferrous-metals,coal_coke,industry_energy,,,,,,2B_Chemical-industry,industry_processes
1A2b_Ind-Comb-Non-ferrous-metals,diesel_oil,industry_energy,,,,,,2C_Metal-production,industry_processes
1A2b_Ind-Comb-Non-ferrous-metals,hard_coal,industry_energy,,,,,,2D3_Chemical-products-manufacture-processing,solvents
1A2b_Ind-Comb-Non-ferrous-metals,heavy_oil,industry_energy,,,,,,2D3_Other-product-use,solvents
1A2b_Ind-Comb-Non-ferrous-metals,light_oil,industry_energy,,,,,,2D_Degreasing-Cleaning,solvents
1A2b_Ind-Comb-Non-ferrous-metals,natural_gas,industry_energy,,,,,,2D_Paint-application,solvents
1A2c_Ind-Comb-Chemicals,biomass,industry_energy,,,,,,2H_Pulp-and-paper-food-beverage-wood,industry_processes
1A2c_Ind-Comb-Chemicals,brown_coal,industry_energy,,,,,,2L_Other-process-emissions,industry_processes
1A2c_Ind-Comb-Chemicals,coal_coke,industry_energy,,,,,,3B_Manure-management,Animals
1A2c_Ind-Comb-Chemicals,diesel_oil,industry_energy,,,,,,3D_Rice-Cultivation,rice
1A2c_Ind-Comb-Chemicals,hard_coal,industry_energy,,,,,,3D_Soil-emissions,soil
1A2c_Ind-Comb-Chemicals,heavy_oil,industry_energy,,,,,,3E_Enteric-fermentation,Animals
1A2c_Ind-Comb-Chemicals,light_oil,industry_energy,,,,,,3F_Agricultural-residue-burning-on-fields,ag_waste_burning
1A2c_Ind-Comb-Chemicals,natural_gas,industry_energy,,,,,,3I_Agriculture-other,
1A2d_Ind-Comb-Pulp-paper,biomass,industry_energy,,,,,,5A_Solid-waste-disposal,landfills
1A2d_Ind-Comb-Pulp-paper,brown_coal,industry_energy,,,,,,5C_Waste-incineration,landfills
1A2d_Ind-Comb-Pulp-paper,coal_coke,industry_energy,,,,,,5D_Wastewater-handling,wastewater
1A2d_Ind-Comb-Pulp-paper,diesel_oil,industry_energy,,,,,,5E_Other-waste-handling,landfills
1A2d_Ind-Comb-Pulp-paper,hard_coal,industry_energy,,,,,,6A_Other-in-total,unmatched
1A2d_Ind-Comb-Pulp-paper,heavy_oil,industry_energy,,,,,,6B_Other-not-in-total,
1A2d_Ind-Comb-Pulp-paper,light_oil,industry_energy,,,,,,7A_Fossil-fuel-fires,oil_gas
1A2d_Ind-Comb-Pulp-paper,natural_gas,industry_energy,,,,,,,
1A2e_Ind-Comb-Food-tobacco,biomass,industry_energy,,,,,,,
1A2e_Ind-Comb-Food-tobacco,brown_coal,industry_energy,,,,,,,
1A2e_Ind-Comb-Food-tobacco,coal_coke,industry_energy,,,,,,,
1A2e_Ind-Comb-Food-tobacco,diesel_oil,industry_energy,,,,,,,
1A2e_Ind-Comb-Food-tobacco,hard_coal,industry_energy,,,,,,,
1A2e_Ind-Comb-Food-tobacco,heavy_oil,industry_energy,,,,,,,
1A2e_Ind-Comb-Food-tobacco,light_oil,industry_energy,,,,,,,
1A2e_Ind-Comb-Food-tobacco,natural_gas,industry_energy,,,,,,,
1A2f_Ind-Comb-Non-metalic-minerals,biomass,industry_energy,,,,,,,
1A2f_Ind-Comb-Non-metalic-minerals,brown_coal,industry_energy,,,,,,,
1A2f_Ind-Comb-Non-metalic-minerals,coal_coke,industry_energy,,,,,,,
1A2f_Ind-Comb-Non-metalic-minerals,diesel_oil,industry_energy,,,,,,,
1A2f_Ind-Comb-Non-metalic-minerals,hard_coal,industry_energy,,,,,,,
1A2f_Ind-Comb-Non-metalic-minerals,heavy_oil,industry_energy,,,,,,,
1A2f_Ind-Comb-Non-metalic-minerals,light_oil,industry_energy,,,,,,,
1A2f_Ind-Comb-Non-metalic-minerals,natural_gas,industry_energy,,,,,,,
1A2g_Ind-Comb-Construction,biomass,industry_energy,,,,,,,
1A2g_Ind-Comb-Construction,brown_coal,industry_energy,,,,,,,
1A2g_Ind-Comb-Construction,coal_coke,industry_energy,,,,,,,
1A2g_Ind-Comb-Construction,diesel_oil,industry_energy,,,,,,,
1A2g_Ind-Comb-Construction,hard_coal,industry_energy,,,,,,,
1A2g_Ind-Comb-Construction,heavy_oil,industry_energy,,,,,,,
1A2g_Ind-Comb-Construction,light_oil,industry_energy,,,,,,,
1A2g_Ind-Comb-Construction,natural_gas,industry_energy,,,,,,,
1A2g_Ind-Comb-machinery,biomass,industry_energy,,,,,,,
1A2g_Ind-Comb-machinery,brown_coal,industry_energy,,,,,,,
1A2g_Ind-Comb-machinery,coal_coke,industry_energy,,,,,,,
1A2g_Ind-Comb-machinery,diesel_oil,industry_energy,,,,,,,
1A2g_Ind-Comb-machinery,hard_coal,industry_energy,,,,,,,
1A2g_Ind-Comb-machinery,heavy_oil,industry_energy,,,,,,,
1A2g_Ind-Comb-machinery,light_oil,industry_energy,,,,,,,
1A2g_Ind-Comb-machinery,natural_gas,industry_energy,,,,,,,
1A2g_Ind-Comb-mining-quarying,biomass,industry_energy,,,,,,,
1A2g_Ind-Comb-mining-quarying,brown_coal,industry_energy,,,,,,,
1A2g_Ind-Comb-mining-quarying,coal_coke,industry_energy,,,,,,,
1A2g_Ind-Comb-mining-quarying,diesel_oil,industry_energy,,,,,,,
