# File: gains_iso_sector_emissions.csv
# Title: Sectorwise emission factors from GAINS dataset by ISO
# Units: kt/EJ
# Comments: These emissions factors are used to divide CEDS emissions into different transportation  categories
# Source:GAINS dataset
# Column types: ccinnn
# ----------
Non.co2,iso,year,Freight,Motorcycle,Passenger
BC,abw,1990,0.067553741,0.041578132,0.001430964
BC,afg,1990,0.075479963,0.054152732,0.03064586
BC,ago,1990,0.067707261,0.057971326,0.001223621
BC,alb,1990,0.033535542,0.012236811,0.014582046
BC,are,1990,0.065900833,0.018812511,0.001389141
BC,arg,1990,0.066163879,0.042084984,0.006508742
BC,arm,1990,0.030750331,0.024241671,0.007523279
BC,asm,1990,0.030480018,0.002251341,0.006103774
BC,atg,1990,0.067553741,0.041578132,0.001430964
BC,aus,1990,0.030480018,0.002251341,0.006103774
BC,aut,1990,0.025211797,0.011727813,0.011184261
BC,aze,1990,0.030750331,0.024241671,0.007523279
BC,bdi,1990,0.075442409,0.063149459,0.001309674
BC,bel,1990,0.025211797,0.011727813,0.011184261
BC,ben,1990,0.067707261,0.057971326,0.001223621
BC,bfa,1990,0.067707261,0.057971326,0.001223621
BC,bgd,1990,0.075479963,0.054152732,0.03064586
BC,bgr,1990,0.033535542,0.012236811,0.014582046
BC,bhr,1990,0.065900833,0.018812511,0.001389141
BC,bhs,1990,0.067553741,0.041578132,0.001430964
BC,bih,1990,0.033535542,0.012236811,0.014582046
BC,blr,1990,0.019640884,0.01994577,0.005774531
BC,blz,1990,0.067553741,0.041578132,0.001430964
BC,bmu,1990,0.067553741,0.041578132,0.001430964
BC,bol,1990,0.066163879,0.042084984,0.006508742
BC,bra,1990,0.064637825,0.020736398,0.013168101
BC,brb,1990,0.067553741,0.041578132,0.001430964
BC,brn,1990,0.064475239,0.009870401,0.02982752
BC,btn,1990,0.075479963,0.054152732,0.03064586
BC,bwa,1990,0.067707261,0.057971326,0.001223621
BC,caf,1990,0.067707261,0.057971326,0.001223621
BC,can,1990,0.027495024,0.003269425,0.004510877
BC,che,1990,0.025211797,0.011727813,0.011184261
BC,chl,1990,0.066163879,0.042084984,0.006508742
BC,chn,1990,0.042498186,0.013810712,0.007787911
BC,civ,1990,0.067707261,0.057971326,0.001223621
BC,cmr,1990,0.067707261,0.057971326,0.001223621
BC,cod,1990,0.067707261,0.057971326,0.001223621
BC,cog,1990,0.067707261,0.057971326,0.001223621
BC,cok,1990,0.030480018,0.002251341,0.006103774
BC,col,1990,0.066163879,0.042084984,0.006508742
BC,com,1990,0.075442409,0.063149459,0.001309674
BC,cpv,1990,0.067707261,0.057971326,0.001223621
BC,cri,1990,0.067553741,0.041578132,0.001430964
BC,cub,1990,0.067553741,0.041578132,0.001430964
BC,cuw,1990,0.067553741,0.041578132,0.001430964
BC,cym,1990,0.067553741,0.041578132,0.001430964
BC,cyp,1990,0.033535542,0.012236811,0.014582046
BC,cze,1990,0.033535542,0.012236811,0.014582046
BC,deu,1990,0.025211797,0.011727813,0.011184261
BC,dji,1990,0.075442409,0.063149459,0.001309674
BC,dma,1990,0.067553741,0.041578132,0.001430964
BC,dnk,1990,0.025211797,0.011727813,0.011184261
BC,dom,1990,0.067553741,0.041578132,0.001430964
BC,dza,1990,0.075455768,0.055486628,0.001358223
BC,ecu,1990,0.066163879,0.042084984,0.006508742
BC,egy,1990,0.075455768,0.055486628,0.001358223
BC,eri,1990,0.075442409,0.063149459,0.001309674
BC,esh,1990,0.075455768,0.055486628,0.001358223
BC,esp,1990,0.025211797,0.011727813,0.011184261
BC,est,1990,0.033535542,0.012236811,0.014582046
BC,eth,1990,0.075442409,0.063149459,0.001309674
BC,fin,1990,0.025211797,0.011727813,0.011184261
BC,fji,1990,0.030480018,0.002251341,0.006103774
BC,flk,1990,0.066163879,0.042084984,0.006508742
BC,fra,1990,0.025211797,0.011727813,0.011184261
BC,fro,1990,0.025211797,0.011727813,0.011184261
BC,fsm,1990,0.030480018,0.002251341,0.006103774
