36,,,,,,,,,,,,,,,,,,,,,,
Hist_to_2008_Annual,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
 ,Foss CO2,Defo CO2,CH4,N2O,"SO2,1","SO2,2","SO2,3",CF4,C2F6,HFC125,HFC134a,HFC143a,HFC227ea,HFC245ca,SF6,NOx,NMVOCs,CO,BC,OC,,
 ,(Pg C),(Pg C),(Tg),(Tg N),(Tg S),(Tg S),(Tg S),(kton),(kton),(kton),(kton),(kton),(kton),(kton),(kton),(Mt N),(Mt),(Mt),(Mt),(Mt),blank line,
1990,6.15,1.45,312.2436266,6.134052909,32.53008918,16.2152805,15.20308265,11.997683,2.0735678,0.18594167,1.0101542,0.88920979,0,0,7.772662322,34.76423987,166.2503538,1045.747123,7405.177715,33195.04604,,
1991,6.24,1.65,314.5787819,6.027936715,30.66528723,16.56526187,15.39946073,11.997905,2.3729101,0.19092079,2.1776448,0.90261206,0.004710024,0,8.143820543,34.05798125,174.6872556,1021.791172,7495.088115,33705.07721,,
1992,6.18,1.69,321.9517928,6.354227086,28.39510148,16.41868342,15.72648633,11.998111,2.3731469,0.28889991,4.2079892,1.6286536,0.004710028,0,8.146355176,36.14417806,182.6468576,1174.203779,7585.158051,34212.12621,,
1993,6.17,1.56,306.4878539,5.905312006,26.94716311,16.84697075,15.64683961,11.998354,2.3733837,0.3768163,8.4161579,2.3685965,0.18499007,0,8.886367317,34.71270069,159.6833476,934.8376133,7675.387524,34716.19302,,
1994,6.28,1.52,311.0534432,6.018185775,25.46680593,17.01515535,15.86127194,11.998587,2.3736205,1.8251048,21.399077,3.8347584,0.1819901,0,7.045438793,34.8193501,169.0259706,977.620746,7765.776534,35217.27766,,
1995,6.42,1.5,309.2883838,6.118040582,23.48038912,17.86216857,15.84370215,10.501674,2.3738573,2.9802177,29.726101,6.0409628,0.099994794,0,8.522582663,35.28733501,157.4351743,930.1040543,7856.325081,35715.38011,,
1996,6.55,1.48,309.405612,6.216000677,22.68179849,18.16650374,16.08129447,11.999071,2.3740941,3.4188812,40.584859,6.1499876,0.43697783,0,8.525232603,35.41694838,155.3429045,916.9780098,7831.132575,35639.89112,,
1997,6.66,1.46,340.5237374,6.621938328,22.44909494,17.62796345,16.29980246,11.999322,2.3743309,5.354049,50.643567,6.2587493,0.40797848,0,6.315450159,36.29135245,215.9517079,1232.705791,7805.90185,35563.67864,,
1998,6.64,1.45,315.330189,6.431857113,21.75075282,17.46715825,16.19892237,11.999575,2.3745677,7.2031812,59.652126,6.3676829,0.92795208,0,6.686147436,36.94172282,167.0161442,1044.935423,7780.632906,35486.74269,,
1999,6.58,1.41,307.0370957,6.086869535,20.35599139,17.00435261,16.03554418,10.502692,2.3748045,8.1531677,67.043997,6.4775249,1.35393,0,8.900653788,35.06501461,152.6935046,878.188349,7755.325742,35409.08327,,
2000,6.75,1.43,306.5595085,6.038559807,19.55512264,17.5661431,16.37559834,12.0001,2.3749,8.5381,75.0393,6.234,1.9509,28.68112,7.797202632,34.98132448,148.4220392,826.8782349,7729.98036,35330.70036,,
2001,6.91,1.24,312.0868294,6.129975798,19.2187055,17.98404247,16.29316742,11.925,2.4345,9.0301,84.0409,7.4947,1.6449,31.54928,8.023592105,34.9512431,152.8746022,857.7293622,7845.582324,35605.11733,,
2002,6.98,1.07,321.5222221,7.505797897,18.40694691,18.55044109,15.85485164,11.8481,2.4915,9.8852,94.7161,8.7389,2.508,34.41744,8.2497,35.57523405,167.8804808,924.1843932,7961.184288,35879.53429,,
2003,7.4,1.04,323.209047,7.441176389,18.41810392,19.99029631,15.56873767,11.7693,2.5463,12.0788,101.4157,9.9776,3.341,37.2856,8.475667105,35.93829745,158.3399477,862.2987803,8076.786252,36153.95125,,
2004,7.78,1.02,335.1410941,7.599588834,18.10312287,22.02398623,15.77511518,11.6885,2.599,12.5073,113.9297,11.2136,4.269,40.1536,8.701493421,37.13635494,162.9481049,891.6340178,8192.388216,36428.36822,,
2005,8.09,1,344.3606489,7.738554605,18.03224953,23.80571993,15.98986035,11.6059,2.6494,13.7591,120.9334,12.4483,4.8901,43.0216,8.927038158,38.1765176,165.7587692,933.7838151,8307.99018,36702.78518,,
2006,8.35,1,366.4876349,8.115002364,17.77906097,25.81074087,16.25131476,11.411,2.5813,14.4509,121.0746,12.7893,5.1614,49.968,9.110346053,40.33918303,186.3263289,1079.290248,8423.592144,36977.20215,,
2007,8.54,0.95,373.7337125,8.466194586,18.26985677,26.65178039,16.95173345,11.2139,2.5131,15.1335,129.6223,13.1314,5.4292,56.91424,9.293935526,43.37854879,181.4418987,1170.403866,8539.194108,37251.61911,,
2008,8.75,0.94,377.8487179,8.083834635,17.29112275,29.65573642,16.72981884,11.012133,2.4452667,15.798,133.99193,13.4753,5.6901667,63.8606928,8.850026316,41.21442833,168.5070723,957.077906,8654.796072,37526.03607,,
2010,8.8,0.66,341.75,9.14,16.46,29.41,12.15,17.81,2.47,8.34,246.77,0,0,28.34,6.99,39.62,224.03,1159.76,8886,38074.87,,
2015,9.89,0.66,358.41,9.66,14.4,31.96,12.98,19.21,2.69,9.04,264.68,0,0,29.57,7.74,39.73,227.83,1189.17,9267.31,38476.95,,
2020,10.98,0.89,372.56,10.18,12.51,33.17,13.78,13.01,1.46,17.71,368.84,0,0,99.79,5.27,39.78,233.32,1228.1,9542.25,39412.29,,
