supplysector,subsector,stub.technology,CEDS_agg_sector,CEDS_agg_fuel,,,,
trn_pass_road_bus,Heavy Bus,NG,trn_road,gas,,,,
trn_pass_road_bus,Light Bus,Liquids,trn_road,refined liquids,,,,
trn_pass_road_bus,Light Bus,NG,trn_road,gas,,,,
trn_pass_road_LDV,Three-Wheeler,Liquids,trn_road,refined liquids,,,,
trn_pass_road_LDV,Three-Wheeler,NG,trn_road,gas,,,,
trn_pass_road_LDV_2W,Moped,Liquids,trn_road,refined liquids,,,,
trn_pass_road_LDV_2W,Motorcycle (>250cc),Liquids,trn_road,refined liquids,,,,
trn_pass_road_LDV_2W,Motorcycle (50-250cc),Liquids,trn_road,refined liquids,,,,
trn_pass_road_LDV_2W,Scooter,Liquids,trn_road,refined liquids,,,,
trn_pass_road_LDV_4W,Compact Car,Liquids,trn_road,refined liquids,,,,
trn_pass_road_LDV_4W,Compact Car,NG,trn_road,gas,,,,
trn_pass_road_LDV_4W,Large Car,Liquids,trn_road,refined liquids,,,,
trn_pass_road_LDV_4W,Large Car,NG,trn_road,gas,,,,
trn_pass_road_LDV_4W,Large Car and SUV,Liquids,trn_road,refined liquids,,,,
trn_pass_road_LDV_4W,Large Car and SUV,NG,trn_road,gas,,,,
trn_pass_road_LDV_4W,Light Truck and SUV,Liquids,trn_road,refined liquids,,,,
trn_pass_road_LDV_4W,Light Truck and SUV,NG,trn_road,gas,,,,
trn_pass_road_LDV_4W,Midsize Car,Liquids,trn_road,refined liquids,,,,
trn_pass_road_LDV_4W,Midsize Car,NG,trn_road,gas,,,,
trn_pass_road_LDV_4W,Mini Car,Liquids,trn_road,refined liquids,,,,
trn_pass_road_LDV_4W,Mini Car,NG,trn_road,gas,,,,
trn_pass_road_LDV_4W,Multipurpose Vehicle,Liquids,trn_road,refined liquids,,,,
trn_pass_road_LDV_4W,Multipurpose Vehicle,NG,trn_road,gas,,,,
trn_pass_road_LDV_4W,Subcompact Car,Liquids,trn_road,refined liquids,,,,
trn_pass_road_LDV_4W,Subcompact Car,NG,trn_road,gas,,,,
trn_pass_road_LDV_4W,Van,Liquids,trn_road,refined liquids,,,,
trn_pass_road_LDV_4W,Van,NG,trn_road,gas,,,,
