# File: GCAM_sector_tech_Revised.csv
# Title: Mapping between GCAM agriculture technologies to EPA aggregate sectors, aggregte fuels, EDGAR aggregate sector, RCP aggregate sector, BCOC aggregate sectore, EPA MACC sector, and IIASA sector
# Units: None
# Comments: The fuel column should not be taken literally for all sectors. For agriculture, transportation, and others it is used simply for matching purposes and does not represent a fuel.
# Source: internal
# Column types: ccccccccccccccc
# ----------
sector,fuel,technology,supplysector,subsector,stub.technology,EPA_agg_sector,EPA_agg_fuel,EPA_agg_fuel_ghg,EDGAR_agg_sector,RCP_agg_sector,BCOC_agg_sector,BCOC_agg_fuel,EPA_MACC_Sector,IIASA_sector
Beef,Mixed,FeedCrops,Beef,Mixed,FeedCrops,Beef,all,all,Animals,,Beef,all,Livestock,
Beef,Mixed,FodderHerb_Residue,Beef,Mixed,FodderHerb_Residue,Beef,all,all,Animals,,Beef,all,Livestock,
Beef,Mixed,Pasture_FodderGrass,Beef,Mixed,Pasture_FodderGrass,Beef,all,all,Animals,,Beef,all,Livestock,
Beef,Mixed,Scavenging_Other,Beef,Mixed,Scavenging_Other,Beef,all,all,Animals,,Beef,all,Livestock,
Beef,Pastoral,FeedCrops,Beef,Pastoral,FeedCrops,Beef,all,all,Animals,,Beef,all,Livestock,
Beef,Pastoral,FodderHerb_Residue,Beef,Pastoral,FodderHerb_Residue,Beef,all,all,Animals,,Beef,all,Livestock,
Beef,Pastoral,Pasture_FodderGrass,Beef,Pastoral,Pasture_FodderGrass,Beef,all,all,Animals,,Beef,all,Livestock,
Beef,Pastoral,Scavenging_Other,Beef,Pastoral,Scavenging_Other,Beef,all,all,Animals,,Beef,all,Livestock,
biomass,,,biomass,,,,,,,,,,Cropland Management,
cement,biomass,biomass,process heat cement,biomass,biomass,cement,all,all,industry_energy,ind,cement,all,,
cement,coal,coal,process heat cement,coal,coal,cement,all,all,industry_energy,ind,cement,all,,
cement,gas,gas,process heat cement,gas,gas,cement,all,all,industry_energy,ind,cement,all,,
cement,refined liquids,refined liquids,process heat cement,refined liquids,refined liquids,cement,all,all,industry_energy,ind,cement,all,,
comm cooling,electricity,electricity,comm cooling,electricity,electricity,,,,,,,,Refrigeration and Air Conditioning,
comm cooling,gas,gas,comm cooling,gas,gas,bld_comm,gas,gas,bld,dom,bld_comm,gas,Refrigeration and Air Conditioning,bld_gas
comm heating,biomass,biomass,comm heating,biomass,biomass,bld_comm,biomass,biomass,bld,dom,bld_comm,biomass,,bld_bio
comm heating,coal,coal,comm heating,coal,coal,bld_comm,coal,coal,bld,dom,bld_comm,coal,,bld_coal
comm heating,gas,gas,comm heating,gas,gas,bld_comm,gas,gas,bld,dom,bld_comm,gas,,bld_gas
comm heating,refined liquids,refined liquids,comm heating,refined liquids,refined liquids,bld_comm,refined liquids,refined liquids,bld,dom,bld_comm,refined liquids,,bld_oil
comm others,biomass,biomass,comm others,biomass,biomass,bld_comm,biomass,biomass,bld,dom,bld_comm,biomass,,bld_bio
comm others,coal,coal,comm others,coal,coal,bld_comm,coal,coal,bld,dom,bld_comm,coal,,bld_coal
comm others,gas,gas,comm others,gas,gas,bld_comm,gas,gas,bld,dom,bld_comm,gas,,bld_gas
comm others,refined liquids,refined liquids,comm others,refined liquids,refined liquids,bld_comm,refined liquids,refined liquids,bld,dom,bld_comm,refined liquids,,bld_oil
Corn,,,Corn,,,,,,,,,,Cropland Management,
Dairy,Mixed,FeedCrops,Dairy,Mixed,FeedCrops,Dairy,all,all,Animals,,Dairy,all,Livestock,
Dairy,Mixed,FodderHerb_Residue,Dairy,Mixed,FodderHerb_Residue,Dairy,all,all,Animals,,Dairy,all,Livestock,
Dairy,Mixed,Pasture_FodderGrass,Dairy,Mixed,Pasture_FodderGrass,Dairy,all,all,Animals,,Dairy,all,Livestock,
Dairy,Mixed,Scavenging_Other,Dairy,Mixed,Scavenging_Other,Dairy,all,all,Animals,,Dairy,all,Livestock,
Dairy,Pastoral,FeedCrops,Dairy,Pastoral,FeedCrops,Dairy,all,all,Animals,,Dairy,all,Livestock,
Dairy,Pastoral,FodderHerb_Residue,Dairy,Pastoral,FodderHerb_Residue,Dairy,all,all,Animals,,Dairy,all,Livestock,
Dairy,Pastoral,Pasture_FodderGrass,Dairy,Pastoral,Pasture_FodderGrass,Dairy,all,all,Animals,,Dairy,all,Livestock,
Dairy,Pastoral,Scavenging_Other,Dairy,Pastoral,Scavenging_Other,Dairy,all,all,Animals,,Dairy,all,Livestock,
electricity distribution,electricity,electricity,elect_td_bld,elect_td_bld,elect_td_bld,elect_td,all,all,,,,,,
electricity distribution,electricity,electricity,elect_td_ind,elect_td_ind,elect_td_ind,elect_td,all,all,,,,,,
electricity distribution,electricity,electricity,elect_td_trn,elect_td_trn,elect_td_trn,elect_td,all,all,,,,,,
electricity generation,biomass,biomass (conv),electricity,biomass,biomass (conv),elec_heat,biomass,biomass,elec_heat,ene,electricity generation,biomass (conv),,elec_bio
electricity generation,coal,coal (conv pul),electricity,coal,coal (conv pul),elec_heat,coal,coal,elec_heat,ene,electricity generation,coal (conv pul),,elec_coal
electricity generation,gas,gas (CC),electricity,gas,gas (CC),elec_heat,gas,gas,elec_heat,ene,electricity generation,gas (CC),,elec_gas
electricity generation,gas,gas (steam/CT),electricity,gas,gas (steam/CT),elec_heat,gas,gas,elec_heat,ene,electricity generation,gas (steam/CT),,elec_gas
electricity generation,refined liquids,refined liquids (steam/CT),electricity,refined liquids,refined liquids (steam/CT),elec_heat,refined liquids,refined liquids,elec_heat,ene,electricity generation,refined liquids (steam/CT),,elec_oil
electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,,,,,,,,Electric Power Systems,
FiberCrop,,,FiberCrop,,,,,,,,,,Cropland Management,
FodderGrass,,,FodderGrass,,,,,,,,,,Cropland Management,
FodderHerb,,,FodderHerb,,,,,,,,,,Cropland Management,
Fruits,,,Fruits,,,,,,,,,,Cropland Management,
heat,biomass,biomass,district heat,biomass,biomass,elec_heat,biomass,biomass,elec_heat,ene,heat,biomass,,
heat,coal,coal,district heat,coal,coal,elec_heat,coal,coal,elec_heat,ene,heat,coal,,
heat,gas,gas,district heat,gas,gas,elec_heat,gas,gas,elec_heat,ene,heat,gas,,
heat,refined liquids,refined liquids,district heat,refined liquids,refined liquids,elec_heat,refined liquids,refined liquids,elec_heat,ene,heat,refined liquids,,
industrial processes,adipic acid,adipic acid,industrial processes,adipic acid,adipic acid,chemicals,adipic acid,adipic acid,chemicals,,,,Nitric and Adipic Acid Production,adipic_acid
industrial processes,Al_Mg,Al_Mg,industrial processes,Al_Mg,Al_Mg,metals,all,all,metals,,,,Aluminum and Magnesium Production,
industrial processes,foams,foams,industrial processes,foams,foams,foams,all,all,foams,,,,Foams,
industrial processes,HCFC_22_Prod,HCFC_22_Prod,industrial processes,HCFC_22_Prod,HCFC_22_Prod,industry_processes,HCFC22,HCFC22,industry_processes,,,,HCFC-22 Production,
industrial processes,nitric acid,nitric acid,industrial processes,nitric acid,nitric acid,chemicals,nitric acid,nitric acid,chemicals,,,,Nitric and Adipic Acid Production,
industrial processes,other industrial processes,other industrial processes,industrial processes,other industrial processes,other industrial processes,industry_processes,other,other,industry_processes,,,,,
industrial processes,semiconductors,semiconductors,industrial processes,semiconductors,semiconductors,semiconductors,all,all,semiconductors,,,,Semiconductor Manufacturing,
industrial processes,solvents,solvents,industrial processes,solvents,solvents,solvents,all,all,solvents,,,,Solvent Use,
industry_energy,biomass,biomass,other industrial energy use,biomass,biomass,industry_energy,biomass,biomass,industry_energy,ind,industry_energy,biomass,,ind_bio
industry_energy,coal,coal,other industrial energy use,coal,coal,industry_energy,coal,coal,industry_energy,ind,industry_energy,coal,,ind_coal
industry_energy,gas,gas,other industrial energy use,gas,gas,industry_energy,gas,gas,industry_energy,ind,industry_energy,gas,,ind_gas
