# File: Trn_subsector.csv
# Title: Map of intermediate sectors in IEA
# Description: Map of intermediate IEA-GCAM sector to split out mode and size class for purposes of matching UCD_techs
# Units: NA
# Column types: ccc
# ----------
fuel,mode,size.class
Air Domestic_All,Air Domestic,All
Air International_All,Air International,All
Bus_All,Bus,All
Bus_Heavy Bus,Bus,Heavy Bus
Bus_Light Bus,Bus,Light Bus
HSR_All,HSR,All
LDV_2W_Moped,LDV_2W,Moped
LDV_2W_Motorcycle (>250cc),LDV_2W,Motorcycle (>250cc)
LDV_2W_Motorcycle (50-250cc),LDV_2W,Motorcycle (50-250cc)
LDV_2W_Scooter,LDV_2W,Scooter
LDV_3W_Three-Wheeler,LDV_3W,Three-Wheeler
LDV_4W_Compact Car,LDV_4W,Compact Car
LDV_4W_Large Car,LDV_4W,Large Car
LDV_4W_Large Car and SUV,LDV_4W,Large Car and SUV
LDV_4W_Light Truck and SUV,LDV_4W,Light Truck and SUV
LDV_4W_Midsize Car,LDV_4W,Midsize Car
LDV_4W_Mini Car,LDV_4W,Mini Car
LDV_4W_Multipurpose Vehicle,LDV_4W,Multipurpose Vehicle
LDV_4W_Subcompact Car,LDV_4W,Subcompact Car
LDV_4W_Van,LDV_4W,Van
Rail_All,Rail,All
Ship Domestic_All,Ship Domestic,All
Ship International_All,Ship International,All
Truck_3W Rural,Truck,3W Rural
Truck_Truck,Truck,Truck
Truck_Truck (>12t),Truck,Truck (>12t)
Truck_Truck (>14t),Truck,Truck (>14t)
Truck_Truck (>15t),Truck,Truck (>15t)
Truck_Truck (>32t),Truck,Truck (>32t)
Truck_Truck (0-1t),Truck,Truck (0-1t)
Truck_Truck (0-2.7t),Truck,Truck (0-2.7t)
Truck_Truck (0-2t),Truck,Truck (0-2t)
Truck_Truck (0-3.5t),Truck,Truck (0-3.5t)
Truck_Truck (0-4.5t),Truck,Truck (0-4.5t)
Truck_Truck (0-6t),Truck,Truck (0-6t)
Truck_Truck (16-32t),Truck,Truck (16-32t)
Truck_Truck (1-6t),Truck,Truck (1-6t)
Truck_Truck (2.7-4.5t),Truck,Truck (2.7-4.5t)
Truck_Truck (2-5t),Truck,Truck (2-5t)
Truck_Truck (3.5-16t),Truck,Truck (3.5-16t)
Truck_Truck (4.5-12t),Truck,Truck (4.5-12t)
Truck_Truck (4.5-15t),Truck,Truck (4.5-15t)
Truck_Truck (5-9t),Truck,Truck (5-9t)
Truck_Truck (6-14t),Truck,Truck (6-14t)
Truck_Truck (6-15t),Truck,Truck (6-15t)
Truck_Truck (6-30t),Truck,Truck (6-30t)
Truck_Truck (9-16t),Truck,Truck (9-16t)
