# File: CEDS_sector_tech_proc.csv
# Title: Mapping between GCAM  technologies to CEDS aggregate sectors, aggregte fuels, EDGAR aggregate sector, RCP aggregate sector, BCOC aggregate sectore, EPA MACC sector, and IIASA sector. This file is used to map process sectors from CEDS to GCAM for the old transportation size classes.
# Units: None
# Source: internal
# Column types: ccccccccccccccccc
sector,fuel,technology,supplysector,subsector,stub.technology,CEDS_agg_sector,CEDS_agg_fuel,EPA_agg_sector,EPA_agg_fuel,EPA_agg_fuel_ghg,EDGAR_agg_sector,RCP_agg_sector,BCOC_agg_sector,BCOC_agg_fuel,EPA_MACC_Sector,IIASA_sector
Beef,Mixed,FeedCrops,Beef,Mixed,FeedCrops,Animals,process,Beef,all,all,Animals,,Beef,all,Livestock,
Beef,Mixed,FodderHerb_Residue,Beef,Mixed,FodderHerb_Residue,Animals,process,Beef,all,all,Animals,,Beef,all,Livestock,
Beef,Mixed,Pasture_FodderGrass,Beef,Mixed,Pasture_FodderGrass,Animals,process,Beef,all,all,Animals,,Beef,all,Livestock,
Beef,Mixed,Scavenging_Other,Beef,Mixed,Scavenging_Other,Animals,process,Beef,all,all,Animals,,Beef,all,Livestock,
Beef,Pastoral,FeedCrops,Beef,Pastoral,FeedCrops,Animals,process,Beef,all,all,Animals,,Beef,all,Livestock,
Beef,Pastoral,FodderHerb_Residue,Beef,Pastoral,FodderHerb_Residue,Animals,process,Beef,all,all,Animals,,Beef,all,Livestock,
Beef,Pastoral,Pasture_FodderGrass,Beef,Pastoral,Pasture_FodderGrass,Animals,process,Beef,all,all,Animals,,Beef,all,Livestock,
Beef,Pastoral,Scavenging_Other,Beef,Pastoral,Scavenging_Other,Animals,process,Beef,all,all,Animals,,Beef,all,Livestock,
biomass,,,biomass,,,,,,,,,,,,Cropland Management,
cement,biomass,biomass,process heat cement,biomass,biomass,cement,process,cement,all,all,industry_energy,ind,cement,all,,
cement,coal,coal,process heat cement,coal,coal,cement,process,cement,all,all,industry_energy,ind,cement,all,,
cement,gas,gas,process heat cement,gas,gas,cement,process,cement,all,all,industry_energy,ind,cement,all,,
cement,refined liquids,refined liquids,process heat cement,refined liquids,refined liquids,cement,process,cement,all,all,industry_energy,ind,cement,all,,
comm cooling,electricity,electricity,comm cooling,electricity,electricity,,,,,,,,,,Refrigeration and Air Conditioning,
comm cooling,gas,gas,comm cooling,gas,gas,bld_comm,gas,bld_comm,gas,gas,bld,dom,bld_comm,gas,Refrigeration and Air Conditioning,bld_gas
comm heating,biomass,biomass,comm heating,biomass,biomass,bld_comm,biomass,bld_comm,biomass,biomass,bld,dom,bld_comm,biomass,,bld_bio
comm heating,coal,coal,comm heating,coal,coal,bld_comm,coal,bld_comm,coal,coal,bld,dom,bld_comm,coal,,bld_coal
comm heating,gas,gas,comm heating,gas,gas,bld_comm,gas,bld_comm,gas,gas,bld,dom,bld_comm,gas,,bld_gas
comm heating,refined liquids,refined liquids,comm heating,refined liquids,refined liquids,bld_comm,refined liquids,bld_comm,refined liquids,refined liquids,bld,dom,bld_comm,refined liquids,,bld_oil
comm others,biomass,biomass,comm others,biomass,biomass,bld_comm,biomass,bld_comm,biomass,biomass,bld,dom,bld_comm,biomass,,bld_bio
comm others,coal,coal,comm others,coal,coal,bld_comm,coal,bld_comm,coal,coal,bld,dom,bld_comm,coal,,bld_coal
comm others,gas,gas,comm others,gas,gas,bld_comm,gas,bld_comm,gas,gas,bld,dom,bld_comm,gas,,bld_gas
comm others,refined liquids,refined liquids,comm others,refined liquids,refined liquids,bld_comm,refined liquids,bld_comm,refined liquids,refined liquids,bld,dom,bld_comm,refined liquids,,bld_oil
Corn,,,Corn,,,,,,,,,,,,Cropland Management,
Dairy,Mixed,FeedCrops,Dairy,Mixed,FeedCrops,Animals,process,Dairy,all,all,Animals,,Dairy,all,Livestock,
Dairy,Mixed,FodderHerb_Residue,Dairy,Mixed,FodderHerb_Residue,Animals,process,Dairy,all,all,Animals,,Dairy,all,Livestock,
Dairy,Mixed,Pasture_FodderGrass,Dairy,Mixed,Pasture_FodderGrass,Animals,process,Dairy,all,all,Animals,,Dairy,all,Livestock,
Dairy,Mixed,Scavenging_Other,Dairy,Mixed,Scavenging_Other,Animals,process,Dairy,all,all,Animals,,Dairy,all,Livestock,
Dairy,Pastoral,FeedCrops,Dairy,Pastoral,FeedCrops,Animals,process,Dairy,all,all,Animals,,Dairy,all,Livestock,
Dairy,Pastoral,FodderHerb_Residue,Dairy,Pastoral,FodderHerb_Residue,Animals,process,Dairy,all,all,Animals,,Dairy,all,Livestock,
Dairy,Pastoral,Pasture_FodderGrass,Dairy,Pastoral,Pasture_FodderGrass,Animals,process,Dairy,all,all,Animals,,Dairy,all,Livestock,
Dairy,Pastoral,Scavenging_Other,Dairy,Pastoral,Scavenging_Other,Animals,process,Dairy,all,all,Animals,,Dairy,all,Livestock,
electricity distribution,electricity,electricity,elect_td_bld,elect_td_bld,elect_td_bld,,,elect_td,all,all,,,,,,
electricity distribution,electricity,electricity,elect_td_ind,elect_td_ind,elect_td_ind,,,elect_td,all,all,,,,,,
electricity distribution,electricity,electricity,elect_td_trn,elect_td_trn,elect_td_trn,,,elect_td,all,all,,,,,,
electricity generation,biomass,biomass (conv),electricity,biomass,biomass (conv),elec_gen,biomass,elec_heat,biomass,biomass,elec_heat,ene,electricity generation,biomass (conv),,elec_bio
electricity generation,coal,coal (conv pul),electricity,coal,coal (conv pul),elec_gen,coal,elec_heat,coal,coal,elec_heat,ene,electricity generation,coal (conv pul),,elec_coal
electricity generation,gas,gas (CC),electricity,gas,gas (CC),elec_gen,gas,elec_heat,gas,gas,elec_heat,ene,electricity generation,gas (CC),,elec_gas
electricity generation,gas,gas (steam/CT),electricity,gas,gas (steam/CT),elec_gen,gas,elec_heat,gas,gas,elec_heat,ene,electricity generation,gas (steam/CT),,elec_gas
electricity generation,refined liquids,refined liquids (steam/CT),electricity,refined liquids,refined liquids (steam/CT),elec_gen,refined liquids,elec_heat,refined liquids,refined liquids,elec_heat,ene,electricity generation,refined liquids (steam/CT),,elec_oil
electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,,,,,,,,,,Electric Power Systems,
FiberCrop,,,FiberCrop,,,,,,,,,,,,Cropland Management,
FodderGrass,,,FodderGrass,,,,,,,,,,,,Cropland Management,
FodderHerb,,,FodderHerb,,,,,,,,,,,,Cropland Management,
Freight,Rail_All,coal,trn_freight,Freight Rail,Coal,trn_rail,coal,trn_rail,all,coal,trn_rail,tra,trn_rail,coal,,trn_coal
Freight,Rail_All,refined liquids,trn_freight,Freight Rail,Liquids,trn_rail,refined liquids,trn_rail,all,refined liquids,trn_rail,tra,trn_rail,refined liquids,,trn_oil
Freight,Rail_All,refined liquids,trn_freight,Freight Rail,Adv-Liquid,trn_rail,refined liquids,trn_rail,all,refined liquids,trn_rail,tra,trn_rail,refined liquids,,trn_oil
Freight,Ship Domestic_All,refined liquids,trn_freight,Domestic Ship,Liquids,trn_domestic ship,refined liquids,trn_ship,all,refined liquids,trn_domestic ship,tra,trn_ship,refined liquids,,trn_oil
Freight,Ship International_All,refined liquids,trn_shipping_intl,International Ship,Liquids,trn_intl_ship,refined liquids,trn_ship,all,refined liquids,trn_intl_ship,tra,trn_ship,refined liquids,,trn_oil
Freight,Truck_3W Rural,gas,trn_freight_road,3W Rural,NG,trn_road,gas,trn_road,gas,gas,trn_road,tra,trn_road,gas,,trn_gas
Freight,Truck_3W Rural,refined liquids,trn_freight_road,3W Rural,Liquids,trn_road,refined liquids,trn_road,refined liquids,refined liquids,trn_road,tra,trn_road,refined liquids,,trn_oil
Freight,Truck_Truck,gas,trn_freight_road,Truck,NG,trn_road,gas,trn_road,gas,gas,trn_road,tra,trn_road,gas,,trn_gas
