# ../aglu-data/level1//L107.an_FeedIO_R_C_Sys_Fd_Y.csv
# Written by LA107.an_IMAGE_R_C_Sys_Fd_Y.R
# Mon Mar 12 09:47:34 2018
# " Animal production input-output coefficients by GCAM region / commodity / system / feed type / year "
# " Unitless "
"GCAM_region_ID","GCAM_commodity","system","feed","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010"
1,"Beef","Mixed","FeedCrops",29.669471669,29.660704658,29.651937647,29.643170636,29.634403625,29.625636614,29.616869603,29.608102592,29.599335581,29.59056857,29.082542569,28.574516568,28.066490567,27.558464566,27.050438565,26.542412564,26.034386563,25.526360562,25.018334561,24.51030856,24.3553055293333,24.2003024986667,24.045299468,23.8902964373333,23.7352934066667,23.580290376,23.4252873453333,23.2702843146667,23.115281284,22.9602782533333,22.8052752226667,22.650272192,22.4952691613333,22.3402661306667,22.1852631,22.1315291864,22.0777952728,22.0240613592,21.9703274456,21.916593532
2,"Beef","Mixed","FeedCrops",52.342996594,52.286016198,52.229035802,52.172055406,52.11507501,52.058094614,52.001114218,51.944133822,51.887153426,51.83017303,51.679329854,51.528486678,51.377643502,51.226800326,51.07595715,50.925113974,50.774270798,50.623427622,50.472584446,50.32174127,50.2228148013333,50.1238883326667,50.024961864,49.9260353953333,49.8271089266667,49.728182458,49.6292559893333,49.5303295206667,49.431403052,49.3324765833333,49.2335501146667,49.134623646,49.0356971773333,48.9367707086667,48.83784424,48.4891616168,48.1404789936,47.7917963704,47.4431137472,47.094431124
3,"Beef","Mixed","FeedCrops",30.79512865,29.93671151,29.07829437,28.21987723,27.36146009,26.50304295,25.64462581,24.78620867,23.92779153,23.06937439,22.600429402,22.131484414,21.662539426,21.193594438,20.72464945,20.255704462,19.786759474,19.317814486,18.848869498,18.37992451,18.242366968,18.104809426,17.967251884,17.829694342,17.6921368,17.554579258,17.417021716,17.279464174,17.141906632,17.00434909,16.866791548,16.729234006,16.591676464,16.454118922,16.31656138,16.2865505152,16.2565396504,16.2265287856,16.1965179208,16.166507056
4,"Beef","Mixed","FeedCrops",32.582297452,32.576107574,32.569917696,32.563727818,32.55753794,32.551348062,32.545158184,32.538968306,32.532778428,32.52658855,32.680970478,32.835352406,32.989734334,33.144116262,33.29849819,33.452880118,33.607262046,33.761643974,33.916025902,34.07040783,34.2565939106667,34.4427799913333,34.628966072,34.8151521526667,35.0013382333333,35.187524314,35.3737103946667,35.5598964753333,35.746082556,35.9322686366667,36.1184547173333,36.304640798,36.4908268786667,36.6770129593333,36.86319904,36.6371542824,36.4111095248,36.1850647672,35.9590200096,35.732975252
5,"Beef","Mixed","FeedCrops",76.90337836,76.2893719,75.67536544,75.06135898,74.44735252,73.83334606,73.2193396,72.60533314,71.99132668,71.37732022,71.178488967,70.979657714,70.780826461,70.581995208,70.383163955,70.184332702,69.985501449,69.786670196,69.587838943,69.38900769,69.2952391346667,69.2014705793333,69.107702024,69.0139334686667,68.9201649133333,68.826396358,68.7326278026667,68.6388592473333,68.545090692,68.4513221366667,68.3575535813333,68.263785026,68.1700164706667,68.0762479153333,67.98247936,67.0635732772,66.1446671944,65.2257611116,64.3068550288,63.387948946
6,"Beef","Mixed","FeedCrops",42.795630012,41.596939914,40.398249816,39.199559718,38.00086962,36.802179522,35.603489424,34.404799326,33.206109228,32.00741913,31.991588434,31.975757738,31.959927042,31.944096346,31.92826565,31.912434954,31.896604258,31.880773562,31.864942866,31.84911217,31.6319945933333,31.4148770166667,31.19775944,30.9806418633333,30.7635242866667,30.54640671,30.3292891333333,30.1121715566667,29.89505398,29.6779364033333,29.4608188266667,29.24370125,29.0265836733333,28.8094660966667,28.59234852,28.4920539888,28.3917594576,28.2914649264,28.1911703952,28.090875864
7,"Beef","Mixed","FeedCrops",58.069257327,58.191193674,58.313130021,58.435066368,58.557002715,58.678939062,58.800875409,58.922811756,59.044748103,59.16668445,58.545303145,57.92392184,57.302540535,56.68115923,56.059777925,55.43839662,54.817015315,54.19563401,53.574252705,52.9528714,52.6400939726667,52.3273165453333,52.014539118,51.7017616906667,51.3889842633333,51.076206836,50.7634294086667,50.4506519813333,50.137874554,49.8250971266667,49.5123196993333,49.199542272,48.8867648446667,48.5739874173333,48.26120999,48.309902248,48.358594506,48.407286764,48.455979022,48.50467128
8,"Beef","Mixed","FeedCrops",28.38238582,28.5183884,28.65439098,28.79039356,28.92639614,29.06239872,29.1984013,29.33440388,29.47040646,29.60640904,30.050344322,30.494279604,30.938214886,31.382150168,31.82608545,32.270020732,32.713956014,33.157891296,33.601826578,34.04576186,33.7369853053333,33.4282087506667,33.119432196,32.8106556413333,32.5018790866667,32.193102532,31.8843259773333,31.5755494226667,31.266772868,30.9579963133333,30.6492197586667,30.340443204,30.0316666493333,29.7228900946667,29.41411354,29.2434431828,29.0727728256,28.9021024684,28.7314321112,28.560761754
9,"Beef","Mixed","FeedCrops",52.70176148,52.73639589,52.7710303,52.80566471,52.84029912,52.87493353,52.90956794,52.94420235,52.97883676,53.01347117,53.820757718,54.628044266,55.435330814,56.242617362,57.04990391,57.857190458,58.664477006,59.471763554,60.279050102,61.08633665,59.544746192,58.003155734,56.461565276,54.919974818,53.37838436,51.836793902,50.295203444,48.753612986,47.212022528,45.67043207,44.128841612,42.587251154,41.045660696,39.504070238,37.96247978,38.4819033372,39.0013268944,39.5207504516,40.0401740088,40.559597566
10,"Beef","Mixed","FeedCrops",19.9888074558231,20.0873272042181,20.2085005926883,20.394736306016,20.4668847488682,20.632059497317,20.8244035236051,20.9801285102019,21.1027088593224,21.2427985812833,21.2450548867064,21.203131426267,21.1460153527074,21.0888798676634,21.0092710570517,20.912732045568,20.8039366701963,20.6656227367264,20.5734378894535,20.4762239928341,20.1464534310863,19.8288989300742,19.5985975236891,19.4311852630296,19.2998656821512,19.3671198721796,19.5086000521472,19.6593888819283,19.3990616349756,19.057729959452,18.522224470799,17.9794424914996,17.3617847595854,16.9816528397721,16.6823901699756,16.5890849729279,16.5316516731621,16.5126083859045,16.5292046388979,16.5382472932855
