# File: UCD_size_class_revisions.csv
#Description: Revised size classes and modes to be used for UCD datasets as an alternative to GCAM's old mapping.
# Title: Freight truck and 4-wheel LDV size class revisions
#Source: Documented in JIRA issue https://jira.pnnl.gov/jira/browse/JGCRI-358?src=confmacro. 
# Units: Unitless
# Column types: ccccc
# ----------
UCD_region,mode,size.class,rev.mode,rev_size.class
Africa,LDV_4W,Mini Car,LDV_4W,Mini Car
Africa,LDV_4W,Subcompact Car,LDV_4W,Car
Africa,LDV_4W,Compact Car,LDV_4W,Car
Africa,LDV_4W,Multipurpose Vehicle,LDV_4W,Large Car and Truck
Australia_NZ,LDV_4W,Compact Car,LDV_4W,Car
Australia_NZ,LDV_4W,Midsize Car,LDV_4W,Car
Australia_NZ,LDV_4W,Large Car,LDV_4W,Large Car and Truck
Australia_NZ,LDV_4W,Light Truck and SUV,LDV_4W,Large Car and Truck
Brazil,LDV_4W,Mini Car,LDV_4W,Mini Car
Brazil,LDV_4W,Subcompact Car,LDV_4W,Car
Brazil,LDV_4W,Compact Car,LDV_4W,Car
Brazil,LDV_4W,Large Car and SUV,LDV_4W,Large Car and Truck
Canada,LDV_4W,Midsize Car,LDV_4W,Car
Canada,LDV_4W,Van,LDV_4W,Large Car and Truck
Canada,LDV_4W,Light Truck and SUV,LDV_4W,Large Car and Truck
China,LDV_4W,Mini Car,LDV_4W,Mini Car
China,LDV_4W,Subcompact Car,LDV_4W,Car
China,LDV_4W,Compact Car,LDV_4W,Car
China,LDV_4W,Large Car and SUV,LDV_4W,Large Car and Truck
Eastern Europe,LDV_4W,Subcompact Car,LDV_4W,Car
Eastern Europe,LDV_4W,Compact Car,LDV_4W,Car
Eastern Europe,LDV_4W,Van,LDV_4W,Car
Eastern Europe,LDV_4W,Large Car and SUV,LDV_4W,Car
Former Soviet Union,LDV_4W,Subcompact Car,LDV_4W,Car
Former Soviet Union,LDV_4W,Compact Car,LDV_4W,Car
Former Soviet Union,LDV_4W,Midsize Car,LDV_4W,Car
Former Soviet Union,LDV_4W,Large Car and SUV,LDV_4W,Large Car and Truck
India,LDV_4W,Mini Car,LDV_4W,Mini Car
India,LDV_4W,Subcompact Car,LDV_4W,Car
India,LDV_4W,Compact Car,LDV_4W,Car
India,LDV_4W,Multipurpose Vehicle,LDV_4W,Large Car and Truck
Japan,LDV_4W,Mini Car,LDV_4W,Mini Car
Japan,LDV_4W,Subcompact Car,LDV_4W,Car
Japan,LDV_4W,Compact Car,LDV_4W,Car
Japan,LDV_4W,Large Car and SUV,LDV_4W,Large Car and Truck
Korea,LDV_4W,Subcompact Car,LDV_4W,Car
Korea,LDV_4W,Compact Car,LDV_4W,Car
Korea,LDV_4W,Large Car,LDV_4W,Car
Korea,LDV_4W,Light Truck and SUV,LDV_4W,Large Car and Truck
Latin America,LDV_4W,Mini Car,LDV_4W,Mini Car
Latin America,LDV_4W,Subcompact Car,LDV_4W,Car
Latin America,LDV_4W,Compact Car,LDV_4W,Car
Latin America,LDV_4W,Large Car and SUV,LDV_4W,Large Car and Truck
Middle East,LDV_4W,Mini Car,LDV_4W,Mini Car
Middle East,LDV_4W,Subcompact Car,LDV_4W,Car
Middle East,LDV_4W,Compact Car,LDV_4W,Car
Middle East,LDV_4W,Large Car and SUV,LDV_4W,Large Car and Truck
Southeast Asia,LDV_4W,Mini Car,LDV_4W,Mini Car
Southeast Asia,LDV_4W,Subcompact Car,LDV_4W,Car
Southeast Asia,LDV_4W,Compact Car,LDV_4W,Car
Southeast Asia,LDV_4W,Multipurpose Vehicle,LDV_4W,Large Car and Truck
USA,LDV_4W,Compact Car,LDV_4W,Car
USA,LDV_4W,Midsize Car,LDV_4W,Car
USA,LDV_4W,Large Car,LDV_4W,Large Car and Truck
USA,LDV_4W,Light Truck and SUV,LDV_4W,Large Car and Truck
Western Europe,LDV_4W,Subcompact Car,LDV_4W,Car
Western Europe,LDV_4W,Compact Car,LDV_4W,Car
Western Europe,LDV_4W,Van,LDV_4W,Large Car and Truck
Western Europe,LDV_4W,Large Car and SUV,LDV_4W,Large Car and Truck
Africa,Truck,Truck (0-2t),Truck,Light truck
Africa,Truck,Truck (2-5t),Truck,Light truck
Africa,Truck,Truck (5-9t),Truck,Medium truck
Africa,Truck,Truck (9-16t),Truck,Heavy truck
Australia_NZ,Truck,Truck (0-1t),Truck,Light truck
Australia_NZ,Truck,Truck (1-6t),Truck,Light truck
Australia_NZ,Truck,Truck (6-30t),Truck,Heavy truck
Canada,Truck,Truck (0-4.5t),Truck,Light truck
Canada,Truck,Truck (4.5-15t),Truck,Medium truck
Canada,Truck,Truck (>15t),Truck,Heavy truck
China,Truck,3W Rural,Truck,Light truck
China,Truck,Truck (0-6t),Truck,Light truck
China,Truck,Truck (6-14t),Truck,Medium truck
China,Truck,Truck (>14t),Truck,Heavy truck
Eastern Europe,Truck,Truck (0-3.5t),Truck,Light truck
Eastern Europe,Truck,Truck (3.5-16t),Truck,Medium truck
Eastern Europe,Truck,Truck (16-32t),Truck,Heavy truck
Eastern Europe,Truck,Truck (>32t),Truck,Heavy truck
Former Soviet Union,Truck,Truck (0-3.5t),Truck,Light truck
Former Soviet Union,Truck,Truck (3.5-16t),Truck,Medium truck
Former Soviet Union,Truck,Truck (16-32t),Truck,Heavy truck
Former Soviet Union,Truck,Truck (>32t),Truck,Heavy truck
India,Truck,Truck (0-2t),Truck,Light truck
India,Truck,Truck (2-5t),Truck,Light truck
India,Truck,Truck (5-9t),Truck,Medium truck
India,Truck,Truck (9-16t),Truck,Heavy truck
Japan,Truck,Truck (0-1t),Truck,Light truck
Japan,Truck,Truck (1-6t),Truck,Light truck
Korea,Truck,Truck,Truck,Medium truck
Latin America,Truck,Truck (0-1t),Truck,Light truck
Latin America,Truck,Truck (6-15t),Truck,Medium truck
Latin America,Truck,Truck (>15t),Truck,Heavy truck
Middle East,Truck,Truck (0-2t),Truck,Light truck
Middle East,Truck,Truck (2-5t),Truck,Light truck
Middle East,Truck,Truck (5-9t),Truck,Medium truck
Middle East,Truck,Truck (9-16t),Truck,Heavy truck
Southeast Asia,Truck,Truck (0-2t),Truck,Light truck
Southeast Asia,Truck,Truck (2-5t),Truck,Light truck
Southeast Asia,Truck,Truck (5-9t),Truck,Medium truck
Southeast Asia,Truck,Truck (9-16t),Truck,Heavy truck
USA,Truck,Truck (0-2.7t),Truck,Light truck
USA,Truck,Truck (2.7-4.5t),Truck,Medium truck
USA,Truck,Truck (4.5-12t),Truck,Medium truck
USA,Truck,Truck (>12t),Truck,Heavy truck
Western Europe,Truck,Truck (0-3.5t),Truck,Light truck
Western Europe,Truck,Truck (3.5-16t),Truck,Medium truck
Western Europe,Truck,Truck (16-32t),Truck,Heavy truck
Western Europe,Truck,Truck (>32t),Truck,Heavy truck
Brazil,Truck,Truck (0-1t),Truck,Light truck
Brazil,Truck,Truck (6-15t),Truck,Medium truck
Brazil,Truck,Truck (>15t),Truck,Heavy truck
Africa,LDV_2W,Motorcycle (50-250cc),LDV_2W_3W,2W and 3W
Africa,LDV_3W,Three-Wheeler,LDV_2W_3W,2W and 3W
Australia_NZ,LDV_2W,Motorcycle (>250cc),LDV_2W_3W,2W and 3W
Canada,LDV_2W,Motorcycle (>250cc),LDV_2W_3W,2W and 3W
China,LDV_2W,Motorcycle (50-250cc),LDV_2W_3W,2W and 3W
China,LDV_3W,Three-Wheeler,LDV_2W_3W,2W and 3W
Eastern Europe,LDV_2W,Moped,LDV_2W_3W,2W and 3W
Eastern Europe,LDV_2W,Motorcycle (50-250cc),LDV_2W_3W,2W and 3W
Eastern Europe,LDV_2W,Motorcycle (>250cc),LDV_2W_3W,2W and 3W
Former Soviet Union,LDV_2W,Moped,LDV_2W_3W,2W and 3W
Former Soviet Union,LDV_2W,Motorcycle (50-250cc),LDV_2W_3W,2W and 3W
Former Soviet Union,LDV_2W,Motorcycle (>250cc),LDV_2W_3W,2W and 3W
India,LDV_2W,Moped,LDV_2W_3W,2W and 3W
India,LDV_2W,Scooter,LDV_2W_3W,2W and 3W
India,LDV_2W,Motorcycle (50-250cc),LDV_2W_3W,2W and 3W
India,LDV_3W,Three-Wheeler,LDV_2W_3W,2W and 3W
Japan,LDV_2W,Moped,LDV_2W_3W,2W and 3W
Japan,LDV_2W,Motorcycle (50-250cc),LDV_2W_3W,2W and 3W
Japan,LDV_2W,Motorcycle (>250cc),LDV_2W_3W,2W and 3W
Korea,LDV_2W,Motorcycle (50-250cc),LDV_2W_3W,2W and 3W
Latin America,LDV_2W,Moped,LDV_2W_3W,2W and 3W
Latin America,LDV_2W,Motorcycle (50-250cc),LDV_2W_3W,2W and 3W
Latin America,LDV_2W,Motorcycle (>250cc),LDV_2W_3W,2W and 3W
Middle East,LDV_2W,Motorcycle (50-250cc),LDV_2W_3W,2W and 3W
Southeast Asia,LDV_2W,Moped,LDV_2W_3W,2W and 3W
Southeast Asia,LDV_2W,Scooter,LDV_2W_3W,2W and 3W
Southeast Asia,LDV_2W,Motorcycle (50-250cc),LDV_2W_3W,2W and 3W
Southeast Asia,LDV_3W,Three-Wheeler,LDV_2W_3W,2W and 3W
USA,LDV_2W,Motorcycle (>250cc),LDV_2W_3W,2W and 3W
Western Europe,LDV_2W,Moped,LDV_2W_3W,2W and 3W
