# This table lists the various elements to be deleted from the existing electricity generation sectors from the USA,
# Source: Tables_ElecD_Data.xlsx,
region,supplysector
USA,off peak electricity
USA,intermediate electricity
USA,subpeak electricity
USA,peak electricity
USA,electricity
