# Assumed technology charactoristics including costs and efficiencies,,,,,,,,,,,,
# Source: Tables_RefLiq_Data.xlsx,,,,,,,,,,,,
supplysector,subsector,technology,year,share_weight,coefficient,input_cost,lifetime,shutdown_rate,minicam_energy_input,market,tech_index,input_index
oil refined liquids,oil refining,oil refining,1975,1,1.054886942,0.840785352,-1,0,regional oil,USA,4,9
oil refined liquids,oil refining,oil refining,1990,1,1.054886942,0.840785352,-1,0,regional oil,USA,4,9
oil refined liquids,oil refining,oil refining,2005,1,1.054886942,0.840785352,45,0.05,regional oil,USA,4,9
oil refined liquids,oil refining,oil refining,2020,1,1.054886942,0.840785352,45,0.03,regional oil,USA,4,9
oil refined liquids,oil refining,oil refining,2035,1,1.047002921,0.840785352,45,0.03,regional oil,USA,4,9
oil refined liquids,oil refining,oil refining,2050,1,1.039177823,0.840785352,45,0.03,regional oil,USA,4,9
oil refined liquids,oil refining,oil refining,2065,1,1.031411209,0.840785352,45,0.03,regional oil,USA,4,9
oil refined liquids,oil refining,oil refining,2080,1,1.023702641,0.840785352,45,0.03,regional oil,USA,4,9
oil refined liquids,oil refining,oil refining,2095,1,1.016051685,0.840785352,45,0.03,regional oil,USA,4,9
gas refined liquids,gas to liquids,gas to liquids,1975,0,1.653911069,1.8,-1,0,regional natural gas,USA,6,13
gas refined liquids,gas to liquids,gas to liquids,1990,0,1.653911069,1.8,-1,0,regional natural gas,USA,6,13
gas refined liquids,gas to liquids,gas to liquids,2005,0,1.653911069,1.8,45,0.05,regional natural gas,USA,6,13
gas refined liquids,gas to liquids,gas to liquids,2020,1,1.653911069,1.8,45,0.03,regional natural gas,USA,6,13
gas refined liquids,gas to liquids,gas to liquids,2035,1,1.629275313,1.773188183,45,0.03,regional natural gas,USA,6,13
gas refined liquids,gas to liquids,gas to liquids,2050,1,1.605006518,1.746775741,45,0.03,regional natural gas,USA,6,13
gas refined liquids,gas to liquids,gas to liquids,2065,1,1.581099218,1.720756724,45,0.03,regional natural gas,USA,6,13
gas refined liquids,gas to liquids,gas to liquids,2080,1,1.557548028,1.695125272,45,0.03,regional natural gas,USA,6,13
gas refined liquids,gas to liquids,gas to liquids,2095,1,1.534347644,1.669875612,45,0.03,regional natural gas,USA,6,13
coal refined liquids,coal to liquids,coal to liquids,1975,0,2.111613876,2.7,-1,0,regional coal,USA,5,12
coal refined liquids,coal to liquids,coal to liquids,1990,0,2.111613876,2.7,-1,0,regional coal,USA,5,12
coal refined liquids,coal to liquids,coal to liquids,2005,0,2.111613876,2.7,45,0.05,regional coal,USA,5,12
coal refined liquids,coal to liquids,coal to liquids,2020,1,2.111613876,2.7,45,0.03,regional coal,USA,5,12
coal refined liquids,coal to liquids,coal to liquids,2035,1,2.08016043,2.659782275,45,0.03,regional coal,USA,5,12
coal refined liquids,coal to liquids,coal to liquids,2050,1,2.049175496,2.620163612,45,0.03,regional coal,USA,5,12
coal refined liquids,coal to liquids,coal to liquids,2065,1,2.018652098,2.581135086,45,0.03,regional coal,USA,5,12
coal refined liquids,coal to liquids,coal to liquids,2080,1,1.988583359,2.542687908,45,0.03,regional coal,USA,5,12
coal refined liquids,coal to liquids,coal to liquids,2095,1,1.958962508,2.504813418,45,0.03,regional coal,USA,5,12
biomass refined liquids,biomass liquids,biomass liquids-ethanol,1975,0,2.057471264,2.37,-1,0,regional biomass,USA,11,16
biomass refined liquids,biomass liquids,biomass liquids-ethanol,1990,0,2.057471264,2.37,-1,0,regional biomass,USA,11,16
biomass refined liquids,biomass liquids,biomass liquids-ethanol,2005,0,2.057471264,2.37,45,0.05,regional biomass,USA,11,16
biomass refined liquids,biomass liquids,biomass liquids-ethanol,2020,1,2.057471264,2.37,45,0.03,regional biomass,USA,11,16
biomass refined liquids,biomass liquids,biomass liquids-ethanol,2035,1,1.99660382,2.34,45,0.03,regional biomass,USA,11,16
biomass refined liquids,biomass liquids,biomass liquids-ethanol,2050,1,1.937537055,2.30,45,0.03,regional biomass,USA,11,16
biomass refined liquids,biomass liquids,biomass liquids-ethanol,2065,1,1.880217698,2.27,45,0.03,regional biomass,USA,11,16
biomass refined liquids,biomass liquids,biomass liquids-ethanol,2080,1,1.824594055,2.23,45,0.03,regional biomass,USA,11,16
biomass refined liquids,biomass liquids,biomass liquids-ethanol,2095,1,1.770615961,2.20,45,0.03,regional biomass,USA,11,16
biomass refined liquids,biomass liquids,biomass liquids-FT,1975,0,1.960784314,2.76,-1,0,regional biomass,USA,12,17
biomass refined liquids,biomass liquids,biomass liquids-FT,1990,0,1.960784314,2.76,-1,0,regional biomass,USA,12,17
biomass refined liquids,biomass liquids,biomass liquids-FT,2005,0,1.960784314,2.76,45,0.05,regional biomass,USA,12,17
biomass refined liquids,biomass liquids,biomass liquids-FT,2020,1,1.960784314,2.76,45,0.03,regional biomass,USA,12,17
biomass refined liquids,biomass liquids,biomass liquids-FT,2035,1,1.902777219,2.71,45,0.03,regional biomass,USA,12,17
biomass refined liquids,biomass liquids,biomass liquids-FT,2050,1,1.846486184,2.67,45,0.03,regional biomass,USA,12,17
biomass refined liquids,biomass liquids,biomass liquids-FT,2065,1,1.791860442,2.63,45,0.03,regional biomass,USA,12,17
biomass refined liquids,biomass liquids,biomass liquids-FT,2080,1,1.738850727,2.59,45,0.03,regional biomass,USA,12,17
biomass refined liquids,biomass liquids,biomass liquids-FT,2095,1,1.68740923,2.56,45,0.03,regional biomass,USA,12,17
biomass refined liquids,biomass liquids,biomass liquids-ethanol (conv),1975,0,1,2.38,-1,0,regional corn for ethanol,USA,13,1
biomass refined liquids,biomass liquids,biomass liquids-ethanol (conv),1990,0,1,2.38,-1,0,regional corn for ethanol,USA,13,1
biomass refined liquids,biomass liquids,biomass liquids-ethanol (conv),2005,0,1,2.38,45,0.05,regional corn for ethanol,USA,13,1
biomass refined liquids,biomass liquids,biomass liquids-ethanol (conv),2020,1,1,2.38,45,0.03,regional corn for ethanol,USA,13,1
biomass refined liquids,biomass liquids,biomass liquids-ethanol (conv),2035,1,1,2.38,45,0.03,regional corn for ethanol,USA,13,1
biomass refined liquids,biomass liquids,biomass liquids-ethanol (conv),2050,1,1,2.38,45,0.03,regional corn for ethanol,USA,13,1
biomass refined liquids,biomass liquids,biomass liquids-ethanol (conv),2065,1,1,2.38,45,0.03,regional corn for ethanol,USA,13,1
biomass refined liquids,biomass liquids,biomass liquids-ethanol (conv),2080,1,1,2.38,45,0.03,regional corn for ethanol,USA,13,1
biomass refined liquids,biomass liquids,biomass liquids-ethanol (conv),2095,1,1,2.38,45,0.03,regional corn for ethanol,USA,13,1
biomass refined liquids,biomass liquids,biomass liquids-biodiesel (conv),1975,0,1.030927835,0.78,-1,0,regional biomassOil,USA,14,7
biomass refined liquids,biomass liquids,biomass liquids-biodiesel (conv),1990,0,1.030927835,0.78,-1,0,regional biomassOil,USA,14,7
biomass refined liquids,biomass liquids,biomass liquids-biodiesel (conv),2005,0,1.030927835,0.78,45,0.05,regional biomassOil,USA,14,7
biomass refined liquids,biomass liquids,biomass liquids-biodiesel (conv),2020,1,1.030927835,0.78,45,0.03,regional biomassOil,USA,14,7
biomass refined liquids,biomass liquids,biomass liquids-biodiesel (conv),2035,1,1.030927835,0.78,45,0.03,regional biomassOil,USA,14,7
biomass refined liquids,biomass liquids,biomass liquids-biodiesel (conv),2050,1,1.030927835,0.78,45,0.03,regional biomassOil,USA,14,7
biomass refined liquids,biomass liquids,biomass liquids-biodiesel (conv),2065,1,1.030927835,0.78,45,0.03,regional biomassOil,USA,14,7
biomass refined liquids,biomass liquids,biomass liquids-biodiesel (conv),2080,1,1.030927835,0.78,45,0.03,regional biomassOil,USA,14,7
biomass refined liquids,biomass liquids,biomass liquids-biodiesel (conv),2095,1,1.030927835,0.78,45,0.03,regional biomassOil,USA,14,7
biomass refined liquids,biomass liquids,biomass liquids-ethanol CCS Level 1,2020,0.333,2.057471264,2.889325257,45,0.03,regional biomass,USA,7,7
biomass refined liquids,biomass liquids,biomass liquids-ethanol CCS Level 1,2035,1,1.99660382,2.846287446,45,0.03,regional biomass,USA,7,7
biomass refined liquids,biomass liquids,biomass liquids-ethanol CCS Level 1,2050,1,1.937537055,2.803890704,45,0.03,regional biomass,USA,7,7
biomass refined liquids,biomass liquids,biomass liquids-ethanol CCS Level 1,2065,1,1.880217698,2.76212548,45,0.03,regional biomass,USA,7,7
biomass refined liquids,biomass liquids,biomass liquids-ethanol CCS Level 1,2080,1,1.824594055,2.720982368,45,0.03,regional biomass,USA,7,7
biomass refined liquids,biomass liquids,biomass liquids-ethanol CCS Level 1,2095,1,1.770615961,2.680452101,45,0.03,regional biomass,USA,7,7
biomass refined liquids,biomass liquids,biomass liquids-FT CCS Level 1,2020,0.333,1.960784314,3.462935528,45,0.03,regional biomass,USA,8,8
biomass refined liquids,biomass liquids,biomass liquids-FT CCS Level 1,2035,1,1.902777219,3.411353532,45,0.03,regional biomass,USA,8,8
biomass refined liquids,biomass liquids,biomass liquids-FT CCS Level 1,2050,1,1.846486184,3.360539874,45,0.03,regional biomass,USA,8,8
biomass refined liquids,biomass liquids,biomass liquids-FT CCS Level 1,2065,1,1.791860442,3.310483108,45,0.03,regional biomass,USA,8,8
biomass refined liquids,biomass liquids,biomass liquids-FT CCS Level 1,2080,1,1.738850727,3.26117196,45,0.03,regional biomass,USA,8,8
biomass refined liquids,biomass liquids,biomass liquids-FT CCS Level 1,2095,1,1.68740923,3.212595325,45,0.03,regional biomass,USA,8,8
biomass refined liquids,biomass liquids,biomass liquids-ethanol CCS Level 2,2020,0.333,2.057471264,4.692868612,45,0.03,regional biomass,USA,11,11
biomass refined liquids,biomass liquids,biomass liquids-ethanol CCS Level 2,2035,1,1.99660382,4.622966205,45,0.03,regional biomass,USA,11,11
biomass refined liquids,biomass liquids,biomass liquids-ethanol CCS Level 2,2050,1,1.937537055,4.554105027,45,0.03,regional biomass,USA,11,11
biomass refined liquids,biomass liquids,biomass liquids-ethanol CCS Level 2,2065,1,1.880217698,4.486269566,45,0.03,regional biomass,USA,11,11
biomass refined liquids,biomass liquids,biomass liquids-ethanol CCS Level 2,2080,1,1.824594055,4.419444546,45,0.03,regional biomass,USA,11,11
biomass refined liquids,biomass liquids,biomass liquids-ethanol CCS Level 2,2095,1,1.770615961,4.353614915,45,0.03,regional biomass,USA,11,11
biomass refined liquids,biomass liquids,biomass liquids-FT CCS Level 2,2020,0.333,1.960784314,3.927798885,45,0.03,regional biomass,USA,12,12
biomass refined liquids,biomass liquids,biomass liquids-FT CCS Level 2,2035,1,1.902777219,3.869292539,45,0.03,regional biomass,USA,12,12
biomass refined liquids,biomass liquids,biomass liquids-FT CCS Level 2,2050,1,1.846486184,3.811657671,45,0.03,regional biomass,USA,12,12
biomass refined liquids,biomass liquids,biomass liquids-FT CCS Level 2,2065,1,1.791860442,3.754881301,45,0.03,regional biomass,USA,12,12
biomass refined liquids,biomass liquids,biomass liquids-FT CCS Level 2,2080,1,1.738850727,3.698950641,45,0.03,regional biomass,USA,12,12
biomass refined liquids,biomass liquids,biomass liquids-FT CCS Level 2,2095,1,1.68740923,3.643853093,45,0.03,regional biomass,USA,12,12
coal refined liquids,coal to liquids,coal to liquids CCS Level 1,2020,0.333,2.111613876,3.407735528,45,0.03,regional coal,USA,2,2
coal refined liquids,coal to liquids,coal to liquids CCS Level 1,2035,1,2.08016043,3.356975761,45,0.03,regional coal,USA,2,2
coal refined liquids,coal to liquids,coal to liquids CCS Level 1,2050,1,2.049175496,3.306972085,45,0.03,regional coal,USA,2,2
coal refined liquids,coal to liquids,coal to liquids CCS Level 1,2065,1,2.018652098,3.257713235,45,0.03,regional coal,USA,2,2
coal refined liquids,coal to liquids,coal to liquids CCS Level 1,2080,1,1.988583359,3.209188119,45,0.03,regional coal,USA,2,2
coal refined liquids,coal to liquids,coal to liquids CCS Level 1,2095,1,1.958962508,3.161385806,45,0.03,regional coal,USA,2,2
coal refined liquids,coal to liquids,coal to liquids CCS Level 2,2020,0.333,2.111613876,3.872598885,45,0.03,regional coal,USA,4,4
coal refined liquids,coal to liquids,coal to liquids CCS Level 2,2035,1,2.08016043,3.814914768,45,0.03,regional coal,USA,4,4
coal refined liquids,coal to liquids,coal to liquids CCS Level 2,2050,1,2.049175496,3.758089882,45,0.03,regional coal,USA,4,4
coal refined liquids,coal to liquids,coal to liquids CCS Level 2,2065,1,2.018652098,3.702111428,45,0.03,regional coal,USA,4,4
coal refined liquids,coal to liquids,coal to liquids CCS Level 2,2080,1,1.988583359,3.646966799,45,0.03,regional coal,USA,4,4
coal refined liquids,coal to liquids,coal to liquids CCS Level 2,2095,1,1.958962508,3.592643574,45,0.03,regional coal,USA,4,4
refined liquids,oil,oil,1975,1,1,0,-1,0,oil refined liquids,*,-1,-1
