# This table contains subsector level interpolation rules,,,,,,,
# Source: Tables_Trn_Data.xlsx,,,,,,,
supplysector,subsector,sw_1975,sw_1990,sw_2005,from_year,to_year,interpolation_function
trn_freight,air,1,1,1,2005,2095,fixed
trn_freight,rail,1,1,1,2005,2095,fixed
trn_freight,road,1,1,1,2005,2095,fixed
trn_freight,domestic ship,1,1,1,2005,2095,fixed
trn_passenger,air,1,1,1,2005,2095,fixed
trn_passenger,high speed rail,1,1,1,2020,2095,linear
trn_passenger,rail,1,1,1,2005,2095,fixed
trn_shipping_intl,international ship,1,1,1,2005,2095,fixed
trn_pass_road,LDV,1,1,1,2005,2095,fixed
trn_pass_road,bus,1,1,1,2005,2095,fixed
trn_passenger,road,1,1,1,2005,2095,fixed
