# Assumed technology charactoristics including costs and efficiencies,,,,,,,,,,,,,,
# Source: Tables_ElecS_Data.xlsx,,,,,,,,,,,,,,
supplysector,subsector,technology,period,share_weight,capital_cost,lifetime,fixed_om,variable_om,fcr,capacity_factor,capacity_factor_OM,efficiency,minicam_energy_input,market
base load generation,hydro,hydro_base,1975,0,-1,-1,-1,-1,-1,-1,-1,1,renewable,USA
intermediate generation,hydro,hydro_int,1975,0,-1,-1,-1,-1,-1,-1,-1,1,renewable,USA
subpeak generation,hydro,hydro_subpeak,1975,0,-1,-1,-1,-1,-1,-1,-1,1,renewable,USA
peak generation,hydro,hydro_peak,1975,0,-1,-1,-1,-1,-1,-1,-1,1,renewable,USA
base load generation,coal,coal_base_exist,2005,1,496.0461319,75,8.829335903,1.47173094,0.15,0.833333333,0.833333333,1,regional coal,USA
base load generation,coal,coal_base_exist,1990,1,496.0461319,-1,8.829335903,1.47173094,0.15,0.833333333,0.833333333,1,regional coal,USA
base load generation,coal,coal_base_exist,1975,1,496.0461319,-1,8.829335903,1.47173094,0.15,0.833333333,0.833333333,1,regional coal,USA
intermediate generation,coal,coal_int_exist,2005,1,496.0461319,75,14.02,0.98,0.15,0.520833333,0.520833333,1,regional coal,USA
intermediate generation,coal,coal_int_exist,1990,1,496.0461319,-1,14.022,0.984,0.15,0.520833333,0.520833333,1,regional coal,USA
intermediate generation,coal,coal_int_exist,1975,1,496.0461319,-1,14.022,0.984,0.15,0.520833333,0.520833333,1,regional coal,USA
subpeak generation,coal,coal_subpeak_exist,2005,1,496.0461319,30,14.02,0.98,0.15,0.25,0.25,1,regional coal,USA
subpeak generation,coal,coal_subpeak_exist,1990,1,496.0461319,-1,14.022,0.984,0.15,0.25,0.25,1,regional coal,USA
subpeak generation,coal,coal_subpeak_exist,1975,1,496.0461319,-1,14.022,0.984,0.15,0.25,0.25,1,regional coal,USA
peak generation,coal,coal_peak_exist,2005,1,496.0461319,30,14.02,0.98,0.15,0.0625,0.0625,1,regional coal,USA
peak generation,coal,coal_peak_exist,1990,1,496.0461319,-1,14.022,0.984,0.15,0.0625,0.0625,1,regional coal,USA
peak generation,coal,coal_peak_exist,1975,1,496.0461319,-1,14.022,0.984,0.15,0.0625,0.0625,1,regional coal,USA
base load generation,gas,gas_base_exist,2005,1,176,60,12.05,0.21,0.15,0.833333333,0.833333333,1,wholesale gas,USA
base load generation,gas,gas_base_exist,1990,1,176.3,-1,12.054,0.205,0.15,0.833333333,0.833333333,1,wholesale gas,USA
base load generation,gas,gas_base_exist,1975,1,176.3,-1,12.054,0.205,0.15,0.833333333,0.833333333,1,wholesale gas,USA
intermediate generation,gas,gas_int_exist,2005,1,176,60,12.05,0.21,0.15,0.520833333,0.520833333,1,wholesale gas,USA
intermediate generation,gas,gas_int_exist,1990,1,176.3,-1,12.054,0.205,0.15,0.520833333,0.520833333,1,wholesale gas,USA
intermediate generation,gas,gas_int_exist,1975,1,176.3,-1,12.054,0.205,0.15,0.520833333,0.520833333,1,wholesale gas,USA
subpeak generation,gas,gas_subpeak_exist,2005,1,158,60,3.63,1.08,0.15,0.25,0.25,1,wholesale gas,USA
subpeak generation,gas,gas_subpeak_exist,1990,1,158.1101304,-1,3.630252156,1.080441562,0.15,0.25,0.25,1,wholesale gas,USA
subpeak generation,gas,gas_subpeak_exist,1975,1,158.1101304,-1,3.630252156,1.080441562,0.15,0.25,0.25,1,wholesale gas,USA
peak generation,gas,gas_peak_exist,2005,1,158,60,3.63,1.08,0.15,0.0625,0.0625,1,wholesale gas,USA
peak generation,gas,gas_peak_exist,1990,1,158.1101304,-1,3.630252156,1.080441562,0.15,0.0625,0.0625,1,wholesale gas,USA
peak generation,gas,gas_peak_exist,1975,1,158.1101304,-1,3.630252156,1.080441562,0.15,0.0625,0.0625,1,wholesale gas,USA
base load generation,oil,oil_base_exist,2005,1,158,60,3.63,1.08,0.15,0.833333333,0.833333333,1,refined liquids industrial,USA
base load generation,oil,oil_base_exist,1990,1,158.1101304,-1,3.630252156,1.080441562,0.15,0.833333333,0.833333333,1,refined liquids industrial,USA
base load generation,oil,oil_base_exist,1975,1,158.1101304,-1,3.630252156,1.080441562,0.15,0.833333333,0.833333333,1,refined liquids industrial,USA
intermediate generation,oil,oil_int_exist,2005,1,158,60,3.63,1.08,0.15,0.520833333,0.520833333,1,refined liquids industrial,USA
intermediate generation,oil,oil_int_exist,1990,1,158.1101304,-1,3.630252156,1.080441562,0.15,0.520833333,0.520833333,1,refined liquids industrial,USA
intermediate generation,oil,oil_int_exist,1975,1,158.1101304,-1,3.630252156,1.080441562,0.15,0.520833333,0.520833333,1,refined liquids industrial,USA
subpeak generation,oil,oil_subpeak_exist,2005,1,158,60,3.63,1.08,0.15,0.25,0.25,1,refined liquids industrial,USA
subpeak generation,oil,oil_subpeak_exist,1990,1,158.1101304,-1,3.630252156,1.080441562,0.15,0.25,0.25,1,refined liquids industrial,USA
subpeak generation,oil,oil_subpeak_exist,1975,1,158.1101304,-1,3.630252156,1.080441562,0.15,0.25,0.25,1,refined liquids industrial,USA
peak generation,oil,oil_peak_exist,2005,1,158,60,3.63,1.08,0.15,0.0625,0.0625,1,refined liquids industrial,USA
peak generation,oil,oil_peak_exist,1990,1,158.1101304,-1,3.630252156,1.080441562,0.15,0.0625,0.0625,1,refined liquids industrial,USA
peak generation,oil,oil_peak_exist,1975,1,158.1101304,-1,3.630252156,1.080441562,0.15,0.0625,0.0625,1,refined liquids industrial,USA
base load generation,biomass,bio_base_exist,2005,1,511,75,9.09,1.49,0.15,0.833333333,0.833333333,1,regional biomass,USA
base load generation,biomass,bio_base_exist,1990,1,510.9275158,-1,9.09421598,1.49305407,0.15,0.833333333,0.833333333,1,regional biomass,USA
base load generation,biomass,bio_base_exist,1975,1,510.9275158,-1,9.09421598,1.49305407,0.15,0.833333333,0.833333333,1,regional biomass,USA
intermediate generation,biomass,bio_int_exist,2005,1,511,75,27.47,0.25,0.15,0.520833333,0.520833333,1,regional biomass,USA
