# Additional technology charactoristics for technologies with backup requirements,,,,,,,,,,,
# Source: Tables_ElecS_Data.xlsx,,,,,,,,,,,
supplysector,subsector,technology,period,capacity_limit,trial_market_name,electricity_sector,backup_capital_cost,backup_capacity_factor,backup_energy_input,backup_efficiency,backup_market
base load generation,wind,wind_base,1975,0.25,renewable,base load generation,30,0.05,backup_electricity,1,USA
base load generation,wind,wind_base,1990,0.25,renewable,base load generation,30,0.05,backup_electricity,1,USA
base load generation,wind,wind_base,2005,0.25,renewable,base load generation,30,0.05,backup_electricity,1,USA
base load generation,wind,wind_base,2020,0.25,renewable,base load generation,30,0.05,backup_electricity,1,USA
base load generation,wind,wind_base,2035,0.25,renewable,base load generation,30,0.05,backup_electricity,1,USA
base load generation,wind,wind_base,2050,0.25,renewable,base load generation,30,0.05,backup_electricity,1,USA
base load generation,wind,wind_base,2065,0.25,renewable,base load generation,30,0.05,backup_electricity,1,USA
base load generation,wind,wind_base,2080,0.25,renewable,base load generation,30,0.05,backup_electricity,1,USA
base load generation,wind,wind_base,2095,0.25,renewable,base load generation,30,0.05,backup_electricity,1,USA
intermediate generation,solar,pv_int,1975,0.25,renewable,intermediate generation,30,0.05,backup_electricity,1,USA
intermediate generation,solar,pv_int,1990,0.25,renewable,intermediate generation,30,0.05,backup_electricity,1,USA
intermediate generation,solar,pv_int,2005,0.25,renewable,intermediate generation,30,0.05,backup_electricity,1,USA
intermediate generation,solar,pv_int,2020,0.25,renewable,intermediate generation,30,0.05,backup_electricity,1,USA
intermediate generation,solar,pv_int,2035,0.25,renewable,intermediate generation,30,0.05,backup_electricity,1,USA
intermediate generation,solar,pv_int,2050,0.25,renewable,intermediate generation,30,0.05,backup_electricity,1,USA
intermediate generation,solar,pv_int,2065,0.25,renewable,intermediate generation,30,0.05,backup_electricity,1,USA
intermediate generation,solar,pv_int,2080,0.25,renewable,intermediate generation,30,0.05,backup_electricity,1,USA
intermediate generation,solar,pv_int,2095,0.25,renewable,intermediate generation,30,0.05,backup_electricity,1,USA
intermediate generation,solar,csp_int,2005,0.25,renewable,intermediate generation,0,0.05,csp_backup,1,USA
intermediate generation,solar,csp_int,2020,0.25,renewable,intermediate generation,0,0.05,csp_backup,1,USA
intermediate generation,solar,csp_int,2035,0.25,renewable,intermediate generation,0,0.05,csp_backup,1,USA
intermediate generation,solar,csp_int,2050,0.25,renewable,intermediate generation,0,0.05,csp_backup,1,USA
intermediate generation,solar,csp_int,2065,0.25,renewable,intermediate generation,0,0.05,csp_backup,1,USA
intermediate generation,solar,csp_int,2080,0.25,renewable,intermediate generation,0,0.05,csp_backup,1,USA
