# Assumed subsector logit exponents,
# Source: Tables_ElecD_Data.xlsx,
supplysector,subs_logit
off peak electricity,-3
intermediate electricity,-3
subpeak electricity,-3
peak electricity,-3
electricity,-3
base load generation,-3
intermediate generation,-3
subpeak generation,-3
peak generation,-3
