# This table contains sector CO2 coefs,,
# Source: Tables_RefLiq_Data.xlsx,,
supplysector,PrimaryFuelCO2Coef,by_state
oil refined liquids,19.6,TRUE
biomass refined liquids,19.6,TRUE
gas refined liquids,19.6,TRUE
coal refined liquids,19.6,TRUE
refined liquids,19.6,FALSE
refined liquids enduse,19.6,FALSE
refined liquids industrial,19.6,FALSE
