# This table contains subsector level assumptions,,,,,,,,
# Source: Tables_RefLiq_Data.xlsx,,,,,,,,
# * Just the default as there is no competition,,,,,,,,
supplysector,subsector,sw_2020,sw_2035,sw_2050,sw_2065,sw_2080,sw_2095,logit
oil refined liquids,oil refining,1,1,1,1,1,1,-3
biomass refined liquids,biomass liquids,1,1,1,1,1,1,-13
gas refined liquids,gas to liquids,1,1,1,1,1,1,-3
coal refined liquids,coal to liquids,1,1,1,1,1,1,-13
refined liquids,oil,1,1,1,1,1,1,-3
refined liquids,gas,0,0.1,0.1,0.2,0.2,0.2,-3
refined liquids,coal,0.2,0.4,0.4,0.4,0.4,0.4,-3
refined liquids,biomass,1,1,1,1,1,1,-3
refined liquids enduse,refined liquids enduse,1,1,1,1,1,1,-3
refined liquids industrial,refined liquids industrial,1,1,1,1,1,1,-3
