# Assumed technology charactoristics including costs and efficiencies,,,,,,
# Source: Tables_RefLiq_Data.xlsx,,,,,,
supplysector,subsector,technology,year,coefficient,minicam_energy_input,market
oil refined liquids,oil refining,oil refining,1975,0.018,wholesale gas,USA
oil refined liquids,oil refining,oil refining,1990,0.018,wholesale gas,USA
oil refined liquids,oil refining,oil refining,2005,0.018,wholesale gas,USA
oil refined liquids,oil refining,oil refining,2020,0.018,wholesale gas,USA
oil refined liquids,oil refining,oil refining,2035,0.018,wholesale gas,USA
oil refined liquids,oil refining,oil refining,2050,0.018,wholesale gas,USA
oil refined liquids,oil refining,oil refining,2065,0.018,wholesale gas,USA
oil refined liquids,oil refining,oil refining,2080,0.018,wholesale gas,USA
oil refined liquids,oil refining,oil refining,2095,0.018,wholesale gas,USA
oil refined liquids,oil refining,oil refining,1975,0.005,elect_td_ind,USA
oil refined liquids,oil refining,oil refining,1990,0.005,elect_td_ind,USA
oil refined liquids,oil refining,oil refining,2005,0.005,elect_td_ind,USA
oil refined liquids,oil refining,oil refining,2020,0.005,elect_td_ind,USA
oil refined liquids,oil refining,oil refining,2035,0.005,elect_td_ind,USA
oil refined liquids,oil refining,oil refining,2050,0.005,elect_td_ind,USA
oil refined liquids,oil refining,oil refining,2065,0.005,elect_td_ind,USA
oil refined liquids,oil refining,oil refining,2080,0.005,elect_td_ind,USA
oil refined liquids,oil refining,oil refining,2095,0.005,elect_td_ind,USA
biomass refined liquids,biomass liquids,biomass liquids-ethanol (conv),1975,0.026,elect_td_ind,USA
biomass refined liquids,biomass liquids,biomass liquids-ethanol (conv),1990,0.026,elect_td_ind,USA
biomass refined liquids,biomass liquids,biomass liquids-ethanol (conv),2005,0.026,elect_td_ind,USA
biomass refined liquids,biomass liquids,biomass liquids-ethanol (conv),2020,0.026,elect_td_ind,USA
biomass refined liquids,biomass liquids,biomass liquids-ethanol (conv),2035,0.026,elect_td_ind,USA
biomass refined liquids,biomass liquids,biomass liquids-ethanol (conv),2050,0.026,elect_td_ind,USA
biomass refined liquids,biomass liquids,biomass liquids-ethanol (conv),2065,0.026,elect_td_ind,USA
biomass refined liquids,biomass liquids,biomass liquids-ethanol (conv),2080,0.026,elect_td_ind,USA
biomass refined liquids,biomass liquids,biomass liquids-ethanol (conv),2095,0.026,elect_td_ind,USA
biomass refined liquids,biomass liquids,biomass liquids-ethanol (conv),1975,0.318,wholesale gas,USA
biomass refined liquids,biomass liquids,biomass liquids-ethanol (conv),1990,0.318,wholesale gas,USA
biomass refined liquids,biomass liquids,biomass liquids-ethanol (conv),2005,0.318,wholesale gas,USA
biomass refined liquids,biomass liquids,biomass liquids-ethanol (conv),2020,0.318,wholesale gas,USA
biomass refined liquids,biomass liquids,biomass liquids-ethanol (conv),2035,0.318,wholesale gas,USA
biomass refined liquids,biomass liquids,biomass liquids-ethanol (conv),2050,0.318,wholesale gas,USA
biomass refined liquids,biomass liquids,biomass liquids-ethanol (conv),2065,0.318,wholesale gas,USA
biomass refined liquids,biomass liquids,biomass liquids-ethanol (conv),2080,0.318,wholesale gas,USA
biomass refined liquids,biomass liquids,biomass liquids-ethanol (conv),2095,0.318,wholesale gas,USA
biomass refined liquids,biomass liquids,biomass liquids-biodiesel (conv),1975,0.058,wholesale gas,USA
biomass refined liquids,biomass liquids,biomass liquids-biodiesel (conv),1990,0.058,wholesale gas,USA
biomass refined liquids,biomass liquids,biomass liquids-biodiesel (conv),2005,0.058,wholesale gas,USA
biomass refined liquids,biomass liquids,biomass liquids-biodiesel (conv),2020,0.058,wholesale gas,USA
biomass refined liquids,biomass liquids,biomass liquids-biodiesel (conv),2035,0.058,wholesale gas,USA
biomass refined liquids,biomass liquids,biomass liquids-biodiesel (conv),2050,0.058,wholesale gas,USA
biomass refined liquids,biomass liquids,biomass liquids-biodiesel (conv),2065,0.058,wholesale gas,USA
biomass refined liquids,biomass liquids,biomass liquids-biodiesel (conv),2080,0.058,wholesale gas,USA
biomass refined liquids,biomass liquids,biomass liquids-biodiesel (conv),2095,0.058,wholesale gas,USA
