# Assumed shell efficiency trajectories - ADVANCED,,,,,,,,,
# Source: Tables_Bld_Data.xlsx,,,,,,,,,
gcam_consumer,1975,1990,2005,2020,2035,2050,2065,2080,2095
resid,0.234,0.234,0.219,0.199,0.177,0.159,0.145,0.134,0.125
comm,0.234,0.234,0.219,0.201,0.183,0.168,0.153,0.140,0.128
