# Assumed technology charactoristics including costs and efficiencies,,,,,,,
# Source: Tables_RefLiq_Data.xlsx,,,,,,,
supplysector,subsector,technology,year,remove_fraction,intensity_penalty,storage_market,tech_index
biomass refined liquids,biomass liquids,biomass liquids-ethanol CCS Level 1,2020,0.26001955,0.04,carbon-storage,7
biomass refined liquids,biomass liquids,biomass liquids-ethanol CCS Level 1,2035,0.26001955,0.04,carbon-storage,7
biomass refined liquids,biomass liquids,biomass liquids-ethanol CCS Level 1,2050,0.26001955,0.04,carbon-storage,7
biomass refined liquids,biomass liquids,biomass liquids-ethanol CCS Level 1,2065,0.26001955,0.04,carbon-storage,7
biomass refined liquids,biomass liquids,biomass liquids-ethanol CCS Level 1,2080,0.26001955,0.04,carbon-storage,7
biomass refined liquids,biomass liquids,biomass liquids-ethanol CCS Level 1,2095,0.26001955,0.04,carbon-storage,7
biomass refined liquids,biomass liquids,biomass liquids-FT CCS Level 1,2020,0.817884406,0.04,carbon-storage,8
biomass refined liquids,biomass liquids,biomass liquids-FT CCS Level 1,2035,0.817884406,0.04,carbon-storage,8
biomass refined liquids,biomass liquids,biomass liquids-FT CCS Level 1,2050,0.817884406,0.04,carbon-storage,8
biomass refined liquids,biomass liquids,biomass liquids-FT CCS Level 1,2065,0.817884406,0.04,carbon-storage,8
biomass refined liquids,biomass liquids,biomass liquids-FT CCS Level 1,2080,0.817884406,0.04,carbon-storage,8
biomass refined liquids,biomass liquids,biomass liquids-FT CCS Level 1,2095,0.817884406,0.04,carbon-storage,8
biomass refined liquids,biomass liquids,biomass liquids-ethanol CCS Level 2,2020,0.991691105,0.1,carbon-storage,11
biomass refined liquids,biomass liquids,biomass liquids-ethanol CCS Level 2,2035,0.991691105,0.1,carbon-storage,11
biomass refined liquids,biomass liquids,biomass liquids-ethanol CCS Level 2,2050,0.991691105,0.1,carbon-storage,11
biomass refined liquids,biomass liquids,biomass liquids-ethanol CCS Level 2,2065,0.991691105,0.1,carbon-storage,11
biomass refined liquids,biomass liquids,biomass liquids-ethanol CCS Level 2,2080,0.991691105,0.1,carbon-storage,11
biomass refined liquids,biomass liquids,biomass liquids-ethanol CCS Level 2,2095,0.991691105,0.1,carbon-storage,11
biomass refined liquids,biomass liquids,biomass liquids-FT CCS Level 2,2020,0.981461287,0.1,carbon-storage,12
biomass refined liquids,biomass liquids,biomass liquids-FT CCS Level 2,2035,0.981461287,0.1,carbon-storage,12
biomass refined liquids,biomass liquids,biomass liquids-FT CCS Level 2,2050,0.981461287,0.1,carbon-storage,12
biomass refined liquids,biomass liquids,biomass liquids-FT CCS Level 2,2065,0.981461287,0.1,carbon-storage,12
biomass refined liquids,biomass liquids,biomass liquids-FT CCS Level 2,2080,0.981461287,0.1,carbon-storage,12
biomass refined liquids,biomass liquids,biomass liquids-FT CCS Level 2,2095,0.981461287,0.1,carbon-storage,12
coal refined liquids,coal to liquids,coal to liquids CCS Level 1,2020,0.817884406,0.04,carbon-storage,2
coal refined liquids,coal to liquids,coal to liquids CCS Level 1,2035,0.817884406,0.04,carbon-storage,2
coal refined liquids,coal to liquids,coal to liquids CCS Level 1,2050,0.817884406,0.04,carbon-storage,2
coal refined liquids,coal to liquids,coal to liquids CCS Level 1,2065,0.817884406,0.04,carbon-storage,2
coal refined liquids,coal to liquids,coal to liquids CCS Level 1,2080,0.817884406,0.04,carbon-storage,2
coal refined liquids,coal to liquids,coal to liquids CCS Level 1,2095,0.817884406,0.04,carbon-storage,2
coal refined liquids,coal to liquids,coal to liquids CCS Level 2,2020,0.981461287,0.1,carbon-storage,4
coal refined liquids,coal to liquids,coal to liquids CCS Level 2,2035,0.981461287,0.1,carbon-storage,4
coal refined liquids,coal to liquids,coal to liquids CCS Level 2,2050,0.981461287,0.1,carbon-storage,4
coal refined liquids,coal to liquids,coal to liquids CCS Level 2,2065,0.981461287,0.1,carbon-storage,4
coal refined liquids,coal to liquids,coal to liquids CCS Level 2,2080,0.981461287,0.1,carbon-storage,4
coal refined liquids,coal to liquids,coal to liquids CCS Level 2,2095,0.981461287,0.1,carbon-storage,4
