# This table contains final demand parameters,,,,
# Source: Tables_Trn_Data.xlsx,,,,
energy_final_demand,year,perCapitaBased,price_elast,income_elast
trn_freight,2020,0,-1,0.5
trn_freight,2035,0,-1,0.5
trn_freight,2050,0,-1,0.5
trn_freight,2065,0,-1,0.5
trn_freight,2080,0,-1,0.5
trn_freight,2095,0,-1,0.5
trn_passenger,2020,1,-1,0.8
trn_passenger,2035,1,-1,0.8
trn_passenger,2050,1,-1,0.8
trn_passenger,2065,1,-1,0.8
trn_passenger,2080,1,-1,0.8
trn_passenger,2095,1,-1,0.8
trn_shipping_intl,2020,0,-1,0.4
trn_shipping_intl,2035,0,-1,0.4
trn_shipping_intl,2050,0,-1,0.4
trn_shipping_intl,2065,0,-1,0.4
trn_shipping_intl,2080,0,-1,0.4
trn_shipping_intl,2095,0,-1,0.4
