# Additional technology charactoristics for feedstock sequestration,,,,,
# Source: Tables_Ind_Data.xlsx,,,,,
supplysector,subsector,technology,year,remove_fraction,target_gas
industrial feedstocks,biomass,biomass,1990,1,CO2
industrial feedstocks,biomass,biomass,2005,1,CO2
industrial feedstocks,biomass,biomass,2020,1,CO2
industrial feedstocks,biomass,biomass,2035,1,CO2
industrial feedstocks,biomass,biomass,2050,1,CO2
industrial feedstocks,biomass,biomass,2065,1,CO2
industrial feedstocks,biomass,biomass,2080,1,CO2
industrial feedstocks,biomass,biomass,2095,1,CO2
industrial feedstocks,coal,coal,1990,1,CO2
industrial feedstocks,coal,coal,2005,1,CO2
industrial feedstocks,coal,coal,2020,1,CO2
industrial feedstocks,coal,coal,2035,1,CO2
industrial feedstocks,coal,coal,2050,1,CO2
industrial feedstocks,coal,coal,2065,1,CO2
industrial feedstocks,coal,coal,2080,1,CO2
industrial feedstocks,coal,coal,2095,1,CO2
industrial feedstocks,gas,gas,1990,0,CO2
industrial feedstocks,gas,gas,2005,0,CO2
industrial feedstocks,gas,gas,2020,0,CO2
industrial feedstocks,gas,gas,2035,0,CO2
industrial feedstocks,gas,gas,2050,0,CO2
industrial feedstocks,gas,gas,2065,0,CO2
industrial feedstocks,gas,gas,2080,0,CO2
industrial feedstocks,gas,gas,2095,0,CO2
industrial feedstocks,refined liquids,refined liquids,1990,1,CO2
industrial feedstocks,refined liquids,refined liquids,2005,1,CO2
industrial feedstocks,refined liquids,refined liquids,2020,1,CO2
industrial feedstocks,refined liquids,refined liquids,2035,1,CO2
industrial feedstocks,refined liquids,refined liquids,2050,1,CO2
industrial feedstocks,refined liquids,refined liquids,2065,1,CO2
industrial feedstocks,refined liquids,refined liquids,2080,1,CO2
industrial feedstocks,refined liquids,refined liquids,2095,1,CO2
