# Assumed technology charactoristics including costs and efficiencies,,,,,,,,,,
# Source: Tables_Trn_Data.xlsx,,,,,,,,,,
supplysector,subsector,technology,year,share_weight,coefficient,input_cost,loadFactor,minicam_energy_input,market,tech_index
trn_freight,air,air,1975,1,199239.2097,8.215657299,27.62235639,refined liquids enduse,USA,1
trn_freight,air,air,1990,1,199239.2097,8.215657299,27.62235639,refined liquids enduse,USA,1
trn_freight,air,air,2005,1,199239.2097,8.215657299,27.62235639,refined liquids enduse,USA,1
trn_freight,air,air,2020,1,187613.8462,8.215657299,27.62235639,refined liquids enduse,USA,1
trn_freight,air,air,2035,1,176666.8084,8.215657299,27.62235639,refined liquids enduse,USA,1
trn_freight,air,air,2050,1,166358.5168,8.215657299,27.62235639,refined liquids enduse,USA,1
trn_freight,air,air,2065,1,156651.7013,8.215657299,27.62235639,refined liquids enduse,USA,1
trn_freight,air,air,2080,1,147511.2667,8.215657299,27.62235639,refined liquids enduse,USA,1
trn_freight,air,air,2095,1,138904.1652,8.215657299,27.62235639,refined liquids enduse,USA,1
trn_freight,rail,rail ICE,1975,1,8737.892806,0.437136516,40.80851914,refined liquids enduse,USA,2
trn_freight,rail,rail ICE,1990,1,8737.892806,0.437136516,40.80851914,refined liquids enduse,USA,2
trn_freight,rail,rail ICE,2005,1,8737.892806,0.437136516,40.80851914,refined liquids enduse,USA,2
trn_freight,rail,rail ICE,2020,1,8607.737929,0.437136516,40.80851914,refined liquids enduse,USA,2
trn_freight,rail,rail ICE,2035,1,8479.521767,0.437136516,40.80851914,refined liquids enduse,USA,2
trn_freight,rail,rail ICE,2050,1,8353.215444,0.437136516,40.80851914,refined liquids enduse,USA,2
trn_freight,rail,rail ICE,2065,1,8228.790511,0.437136516,40.80851914,refined liquids enduse,USA,2
trn_freight,rail,rail ICE,2080,1,8106.218943,0.437136516,40.80851914,refined liquids enduse,USA,2
trn_freight,rail,rail ICE,2095,1,7985.473135,0.437136516,40.80851914,refined liquids enduse,USA,2
trn_freight,rail,rail electric,1975,0,2950.457311,0.480850167,40.80851914,elect_td_trn,USA,3
trn_freight,rail,rail electric,1990,0,2950.457311,0.480850167,40.80851914,elect_td_trn,USA,3
trn_freight,rail,rail electric,2005,0,2950.457311,0.480850167,40.80851914,elect_td_trn,USA,3
trn_freight,rail,rail electric,2020,0.1,2906.508911,0.480850167,40.80851914,elect_td_trn,USA,3
trn_freight,rail,rail electric,2035,0.25,2863.215142,0.480850167,40.80851914,elect_td_trn,USA,3
trn_freight,rail,rail electric,2050,0.5,2820.566254,0.480850167,40.80851914,elect_td_trn,USA,3
