# This table contains technology level interpolation rules,,,,,
# Source: Tables_Ind_Data.xlsx,,,,,
supplysector,subsector,technology,from_year,to_year,interpolation_function
industrial energy use,biomass,biomass,2005,2095,fixed
industrial energy use,coal,coal,2005,2095,fixed
industrial energy use,electricity,electricity,2005,2095,fixed
industrial energy use,gas,gas,2005,2095,fixed
industrial energy use,refined liquids,refined liquids,2005,2095,fixed
industrial energy use,hydrogen,hydrogen,2020,2095,linear
industrial energy use,biomass,biomass cogen,2005,2095,linear
industrial energy use,coal,coal cogen,2005,2095,linear
industrial energy use,gas,gas cogen,2005,2095,linear
industrial energy use,refined liquids,refined liquids cogen,2005,2095,linear
industrial energy use,hydrogen,hydrogen cogen,2020,2095,linear
industrial feedstocks,biomass,biomass,2005,2095,fixed
industrial feedstocks,coal,coal,2005,2095,fixed
industrial feedstocks,gas,gas,2005,2095,fixed
industrial feedstocks,refined liquids,refined liquids,2005,2095,fixed
