# Additional technology charactoristics for secondary outputs,,,,,,
# Source: Tables_Ind_Data.xlsx,,,,,,
supplysector,subsector,technology,secondary_output,year,output_ratio,market
industrial energy use,biomass,biomass cogen,electricity,1990,0.364,USA
industrial energy use,biomass,biomass cogen,electricity,2005,0.364,USA
industrial energy use,biomass,biomass cogen,electricity,2020,0.364,USA
industrial energy use,biomass,biomass cogen,electricity,2035,0.364,USA
industrial energy use,biomass,biomass cogen,electricity,2050,0.364,USA
industrial energy use,biomass,biomass cogen,electricity,2065,0.364,USA
industrial energy use,biomass,biomass cogen,electricity,2080,0.364,USA
industrial energy use,biomass,biomass cogen,electricity,2095,0.364,USA
industrial energy use,coal,coal cogen,electricity,1990,0.417,USA
industrial energy use,coal,coal cogen,electricity,2005,0.417,USA
industrial energy use,coal,coal cogen,electricity,2020,0.417,USA
industrial energy use,coal,coal cogen,electricity,2035,0.417,USA
industrial energy use,coal,coal cogen,electricity,2050,0.417,USA
industrial energy use,coal,coal cogen,electricity,2065,0.417,USA
industrial energy use,coal,coal cogen,electricity,2080,0.417,USA
industrial energy use,coal,coal cogen,electricity,2095,0.417,USA
industrial energy use,gas,gas cogen,electricity,1990,0.417,USA
industrial energy use,gas,gas cogen,electricity,2005,0.417,USA
industrial energy use,gas,gas cogen,electricity,2020,0.417,USA
industrial energy use,gas,gas cogen,electricity,2035,0.417,USA
industrial energy use,gas,gas cogen,electricity,2050,0.417,USA
industrial energy use,gas,gas cogen,electricity,2065,0.417,USA
industrial energy use,gas,gas cogen,electricity,2080,0.417,USA
industrial energy use,gas,gas cogen,electricity,2095,0.417,USA
industrial energy use,refined liquids,refined liquids cogen,electricity,1990,0.417,USA
industrial energy use,refined liquids,refined liquids cogen,electricity,2005,0.417,USA
industrial energy use,refined liquids,refined liquids cogen,electricity,2020,0.417,USA
industrial energy use,refined liquids,refined liquids cogen,electricity,2035,0.417,USA
industrial energy use,refined liquids,refined liquids cogen,electricity,2050,0.417,USA
industrial energy use,refined liquids,refined liquids cogen,electricity,2065,0.417,USA
industrial energy use,refined liquids,refined liquids cogen,electricity,2080,0.417,USA
industrial energy use,refined liquids,refined liquids cogen,electricity,2095,0.417,USA
industrial energy use,hydrogen,hydrogen cogen,electricity,1990,1,USA
industrial energy use,hydrogen,hydrogen cogen,electricity,2005,1,USA
industrial energy use,hydrogen,hydrogen cogen,electricity,2020,1,USA
industrial energy use,hydrogen,hydrogen cogen,electricity,2035,1,USA
industrial energy use,hydrogen,hydrogen cogen,electricity,2050,1,USA
industrial energy use,hydrogen,hydrogen cogen,electricity,2065,1,USA
industrial energy use,hydrogen,hydrogen cogen,electricity,2080,1,USA
industrial energy use,hydrogen,hydrogen cogen,electricity,2095,1,USA
