# This table lists the various elements to be deleted from the existing USA industry,,
# Source: Tables_Ind_Data.xlsx,,
region,type,sector
USA,supplysector,industrial energy use
USA,supplysector,industrial feedstocks
USA,supplysector,industry
USA,supplysector,cement
USA,supplysector,process heat cement
USA,energy-final-demand,industry
USA,energy-final-demand,cement
