# Assumed technology charactoristics including costs and efficiencies,,,,,,,,,
# Source: Tables_Ind_Data.xlsx,,,,,,,,,
supplysector,subsector,technology,year,share_weight,efficiency,input_cost,minicam_energy_input,market,tech_index
industrial energy use,biomass,biomass,1975,1,1,0,delivered biomass,USA,1
industrial energy use,biomass,biomass,1990,1,0.850913079,3,delivered biomass,USA,1
industrial energy use,biomass,biomass,2005,1,0.79855711,3,delivered biomass,USA,1
industrial energy use,biomass,biomass,2020,1,0.796717238,3,delivered biomass,USA,1
industrial energy use,biomass,biomass,2035,1,0.804365292,3,delivered biomass,USA,1
industrial energy use,biomass,biomass,2050,1,0.809559721,3,delivered biomass,USA,1
industrial energy use,biomass,biomass,2065,1,0.816299014,3,delivered biomass,USA,1
industrial energy use,biomass,biomass,2080,1,0.822876135,3,delivered biomass,USA,1
industrial energy use,biomass,biomass,2095,1,0.8283606,3,delivered biomass,USA,1
industrial energy use,coal,coal,1975,1,1,0,delivered coal,USA,2
industrial energy use,coal,coal,1990,1,0.8425153,3,delivered coal,USA,2
industrial energy use,coal,coal,2005,1,0.864814171,3,delivered coal,USA,2
industrial energy use,coal,coal,2020,1,0.890586541,3,delivered coal,USA,2
industrial energy use,coal,coal,2035,1,0.901416631,3,delivered coal,USA,2
industrial energy use,coal,coal,2050,1,0.90884607,3,delivered coal,USA,2
industrial energy use,coal,coal,2065,1,0.916820208,3,delivered coal,USA,2
industrial energy use,coal,coal,2080,1,0.925914573,3,delivered coal,USA,2
industrial energy use,coal,coal,2095,1,0.936448358,3,delivered coal,USA,2
industrial energy use,electricity,electricity,1975,1,1,0,elect_td_ind,USA,3
industrial energy use,electricity,electricity,1990,1,1,3,elect_td_ind,USA,3
industrial energy use,electricity,electricity,2005,1,1,3,elect_td_ind,USA,3
industrial energy use,electricity,electricity,2020,1,1.015103087,3,elect_td_ind,USA,3
industrial energy use,electricity,electricity,2035,1,1.03043996,3,elect_td_ind,USA,3
industrial energy use,electricity,electricity,2050,1,1.04600391,3,elect_td_ind,USA,3
industrial energy use,electricity,electricity,2065,1,1.06180717,3,elect_td_ind,USA,3
industrial energy use,electricity,electricity,2080,1,1.077845334,3,elect_td_ind,USA,3
industrial energy use,electricity,electricity,2095,1,1.094124833,3,elect_td_ind,USA,3
industrial energy use,gas,gas,1975,1,1,0,wholesale gas,USA,4
industrial energy use,gas,gas,1990,1,0.882645073,3,wholesale gas,USA,4
industrial energy use,gas,gas,2005,1,0.884015514,3,wholesale gas,USA,4
industrial energy use,gas,gas,2020,1,0.897789854,3,wholesale gas,USA,4
industrial energy use,gas,gas,2035,1,0.91263937,3,wholesale gas,USA,4
industrial energy use,gas,gas,2050,1,0.926421705,3,wholesale gas,USA,4
industrial energy use,gas,gas,2065,1,0.940685547,3,wholesale gas,USA,4
industrial energy use,gas,gas,2080,1,0.954852151,3,wholesale gas,USA,4
industrial energy use,gas,gas,2095,1,0.969367784,3,wholesale gas,USA,4
industrial energy use,refined liquids,refined liquids,1975,1,1,0,refined liquids industrial,USA,5
industrial energy use,refined liquids,refined liquids,1990,1,0.97483326,3,refined liquids industrial,USA,5
