# Assumed technology availability,,,
# Source: Tables_RefLiq_Data.xlsx,,,
supplysector,subsector,technology,initial_available_year
biomass refined liquids,biomass liquids,biomass liquids-ethanol CCS Level 1,2020
biomass refined liquids,biomass liquids,biomass liquids-FT CCS Level 1,2020
biomass refined liquids,biomass liquids,biomass liquids-ethanol CCS Level 2,2020
biomass refined liquids,biomass liquids,biomass liquids-FT CCS Level 2,2020
coal refined liquids,coal to liquids,coal to liquids CCS Level 1,2020
coal refined liquids,coal to liquids,coal to liquids CCS Level 2,2020
