# This table contains subsector level interpolation rules,,,,,,,
# Source: Tables_RefLiq_Data.xlsx,,,,,,,
# * Just the default as there is no competition,,,,,,,
supplysector,subsector,sw_1975,sw_1990,sw_2005,from_year,to_year,interpolation_function
oil refined liquids,oil refining,1,1,1,2005,9999,fixed
biomass refined liquids,biomass liquids,1,1,1,2005,9999,fixed
gas refined liquids,gas to liquids,1,1,1,2005,2020,linear
coal refined liquids,coal to liquids,1,1,1,2005,2020,linear
refined liquids,oil,1,1,1,2050,9999,fixed
refined liquids,gas,0,0,0,2005,2020,linear
refined liquids,gas,0,0,0,2050,9999,fixed
refined liquids,coal,0,0,0,2005,2050,linear
refined liquids,coal,0,0,0,2050,9999,fixed
refined liquids,biomass,0,0,0,2005,2020,linear
refined liquids,biomass,0,0,0,2050,9999,fixed
refined liquids enduse,refined liquids enduse,1,1,1,2005,9999,fixed
refined liquids industrial,refined liquids industrial,1,1,1,2005,9999,fixed
