# This table contains sector level assumptions,,,,,,,
# Source: Tables_RefLiq_Data.xlsx,,,,,,,
# * Just the default as there is no competition,,,,,,,
supplysector,output_unit,input_unit,price_unit,logit,by_state,marginal_rev_sector,marginal_rev_market
oil refined liquids,EJ,EJ,1975$/GJ,-3,TRUE,refined liquids,USA
biomass refined liquids,EJ,EJ,1975$/GJ,-3,TRUE,refined liquids,USA
gas refined liquids,EJ,EJ,1975$/GJ,-3,TRUE,refined liquids,USA
coal refined liquids,EJ,EJ,1975$/GJ,-3,TRUE,refined liquids,USA
refined liquids,EJ,EJ,1975$/GJ,-6,FALSE,,
refined liquids enduse,EJ,EJ,1975$/GJ,-3,FALSE,,
refined liquids industrial,EJ,EJ,1975$/GJ,-3,FALSE,,
