# This table contains subsector level assumptions,,,,,,,,
# Source: Tables_Ind_Data.xlsx,,,,,,,,
supplysector,subsector,logit,sw_2020,sw_2035,sw_2050,sw_2065,sw_2080,sw_2095
industrial energy use,biomass,-6,1,1,1,1,1,1
industrial energy use,coal,-6,1,1,1,1,1,1
industrial energy use,electricity,-6,1,1,1,1,1,1
industrial energy use,gas,-6,1,1,1,1,1,1
industrial energy use,refined liquids,-6,1,1,1,1,1,1
industrial energy use,hydrogen,-6,1,1,1,1,1,1
industrial feedstocks,biomass,-6,1,1,1,1,1,1
industrial feedstocks,coal,-6,1,1,1,1,1,1
industrial feedstocks,gas,-6,1,1,1,1,1,1
industrial feedstocks,refined liquids,-6,1,1,1,1,1,1
industry,industry,-6,1,1,1,1,1,1
