# Assumed subsector logit exponents,
# Source: Tables_Bld_Data.xlsx,
supplysector,subs_logit
resid heating,-3
resid cooling,-3
resid hot water,-3
resid lighting,-3
resid appliances,-2
resid other appliances,-3
resid other,-2
comm heating,-3
comm cooling,-3
comm hot water,-3
comm ventilation,-3
comm cooking,-3
comm lighting,-3
comm refrigeration,-3
comm office,-3
comm other,-2
