# Assumed technology charactoristics including costs and efficiencies for advanced electric vehicles scenario,,,,,,,,,,
# Source: Tables_Trn_Data.xlsx,,,,,,,,,,
supplysector,subsector,technology,year,share_weight,coefficient,input_cost,loadFactor,minicam_energy_input,market,tech_index
trn_freight,rail,rail electric,2020,0.1,2841.73058,0.45279315,40.80851914,elect_td_trn,USA,3
trn_freight,rail,rail electric,2035,0.25,2737.010517,0.432839835,40.80851914,elect_td_trn,USA,3
trn_freight,rail,rail electric,2050,0.5,2636.149472,0.432839835,40.80851914,elect_td_trn,USA,3
trn_freight,rail,rail electric,2065,0.5,2539.005239,0.432839835,40.80851914,elect_td_trn,USA,3
trn_freight,rail,rail electric,2080,0.5,2445.440848,0.432839835,40.80851914,elect_td_trn,USA,3
trn_freight,rail,rail electric,2095,0.5,2355.324381,0.432839835,40.80851914,elect_td_trn,USA,3
trn_passenger,high speed rail,high speed rail,2020,0.1,109438.8188,31.00698974,310.3333333,elect_td_trn,USA,7
trn_passenger,high speed rail,high speed rail,2035,0.25,105405.9101,30.54512656,310.3333333,elect_td_trn,USA,7
trn_passenger,high speed rail,high speed rail,2050,0.5,101521.6173,30.09014304,310.3333333,elect_td_trn,USA,7
trn_passenger,high speed rail,high speed rail,2065,0.5,97780.46384,29.64193671,310.3333333,elect_td_trn,USA,7
trn_passenger,high speed rail,high speed rail,2080,0.5,94177.1749,29.20040662,310.3333333,elect_td_trn,USA,7
trn_passenger,high speed rail,high speed rail,2095,0.5,90706.67007,28.76545331,310.3333333,elect_td_trn,USA,7
trn_passenger,rail,rail electric,2020,1,14012.72471,1.759574735,25.31658922,elect_td_trn,USA,9
trn_passenger,rail,rail electric,2035,1,13496.34451,1.759574735,25.31658922,elect_td_trn,USA,9
trn_passenger,rail,rail electric,2050,1,12998.99333,1.759574735,25.31658922,elect_td_trn,USA,9
trn_passenger,rail,rail electric,2065,1,12519.96994,1.759574735,25.31658922,elect_td_trn,USA,9
trn_passenger,rail,rail electric,2080,1,12058.59896,1.759574735,25.31658922,elect_td_trn,USA,9
trn_passenger,rail,rail electric,2095,1,11614.22986,1.759574735,25.31658922,elect_td_trn,USA,9
trn_pass_road,LDV,LDV electric,2020,0.1,1132.239487,0.271256106,1.630976458,elect_td_trn,USA,12
trn_pass_road,LDV,LDV electric,2035,0.25,1066.174701,0.261260099,1.630976458,elect_td_trn,USA,12
trn_pass_road,LDV,LDV electric,2050,0.5,1003.964715,0.261260099,1.630976458,elect_td_trn,USA,12
trn_pass_road,LDV,LDV electric,2065,0.5,945.3846051,0.261260099,1.630976458,elect_td_trn,USA,12
trn_pass_road,LDV,LDV electric,2080,0.5,890.2225728,0.261260099,1.630976458,elect_td_trn,USA,12
trn_pass_road,LDV,LDV electric,2095,0.5,838.2791774,0.261260099,1.630976458,elect_td_trn,USA,12
trn_pass_road,bus,bus electric,2020,0.1,4739.91388,1.098700375,18.86179987,elect_td_trn,USA,16
trn_pass_road,bus,bus electric,2035,0.25,4463.345718,1.019120374,18.86179987,elect_td_trn,USA,16
trn_pass_road,bus,bus electric,2050,0.5,4202.914969,1.019120374,18.86179987,elect_td_trn,USA,16
trn_pass_road,bus,bus electric,2065,0.5,3957.680035,1.019120374,18.86179987,elect_td_trn,USA,16
trn_pass_road,bus,bus electric,2080,0.5,3726.754259,1.019120374,18.86179987,elect_td_trn,USA,16
trn_pass_road,bus,bus electric,2095,0.5,3509.302718,1.019120374,18.86179987,elect_td_trn,USA,16
