# Technology basic inputs,,,,,,,,
# Source: Tables_Res_Data.xlsx,,,,,,,,
supplysector,subsector,technology,period,share_weight,coefficient,non_energy_cost,minicam_energy_input,market
elect_td_bld,elect_td_bld,elect_td_bld,1975,1,1,3.03,electricity_net_ownuse,USA
elect_td_bld,elect_td_bld,elect_td_bld,1990,1,1.109482098,3.03,electricity_net_ownuse,USA
elect_td_bld,elect_td_bld,elect_td_bld,2005,1,1.069786977,2.81,electricity_net_ownuse,USA
elect_td_bld,elect_td_bld,elect_td_bld,2020,1,1.068183419,2.61,electricity_net_ownuse,USA
elect_td_bld,elect_td_bld,elect_td_bld,2035,1,1.066582265,2.42,electricity_net_ownuse,USA
elect_td_bld,elect_td_bld,elect_td_bld,2050,1,1.064983511,2.25,electricity_net_ownuse,USA
elect_td_bld,elect_td_bld,elect_td_bld,2065,1,1.063387154,2.08,electricity_net_ownuse,USA
elect_td_bld,elect_td_bld,elect_td_bld,2080,1,1.061793189,1.93,electricity_net_ownuse,USA
elect_td_bld,elect_td_bld,elect_td_bld,2095,1,1.060201613,1.79,electricity_net_ownuse,USA
elect_td_bld,rooftop_pv,rooftop_pv,1975,1,1,0,distributed_solar,*
elect_td_bld,rooftop_pv,rooftop_pv,1990,1,1,63.14,distributed_solar,*
elect_td_bld,rooftop_pv,rooftop_pv,2005,1,1,63.14,distributed_solar,*
elect_td_bld,rooftop_pv,rooftop_pv,2020,1,1,39.52,distributed_solar,*
elect_td_bld,rooftop_pv,rooftop_pv,2035,1,1,27.72,distributed_solar,*
elect_td_bld,rooftop_pv,rooftop_pv,2050,1,1,21.02,distributed_solar,*
elect_td_bld,rooftop_pv,rooftop_pv,2065,1,1,16.78,distributed_solar,*
elect_td_bld,rooftop_pv,rooftop_pv,2080,1,1,15.43,distributed_solar,*
elect_td_bld,rooftop_pv,rooftop_pv,2095,1,1,14.54,distributed_solar,*
