# This table contains subsector level assumptions,,,,,,,,,,
# Source: Tables_Trn_Data.xlsx,,,,,,,,,,
supplysector,subsector,logit,addTimeValue,speed,sw_2020,sw_2035,sw_2050,sw_2065,sw_2080,sw_2095
trn_freight,air,-6,0,384,1,1,1,1,1,1
trn_freight,rail,-8,0,40,1,1,1,1,1,1
trn_freight,road,-8,0,72,1,1,1,1,1,1
trn_freight,domestic ship,-8,0,16,1,1,1,1,1,1
trn_passenger,air,-6,1,270,1,1,1,1,1,1
trn_passenger,high speed rail,-6,1,180.208,0.001,0.001,0.001,0.001,0.001,0.001
trn_passenger,rail,-8,1,32,1,1,1,1,1,1
trn_shipping_intl,international ship,-8,0,16,1,1,1,1,1,1
trn_pass_road,LDV,-8,1,60,1,1,1,1,1,1
trn_pass_road,bus,-8,1,25,1,1,1,1,1,1
trn_passenger,road,-3,0,1,1,1,1,1,1,1
