state,minicam_energy_input,market
AK,delivered biomass,USA
AL,delivered biomass,USA
AR,delivered biomass,USA
AZ,delivered biomass,USA
CA,delivered biomass,USA
CO,delivered biomass,USA
CT,delivered biomass,USA
DC,delivered biomass,USA
DE,delivered biomass,USA
FL,delivered biomass,USA
GA,delivered biomass,USA
HI,delivered biomass,USA
IA,delivered biomass,USA
ID,delivered biomass,USA
IL,delivered biomass,USA
IN,delivered biomass,USA
KS,delivered biomass,USA
KY,delivered biomass,USA
LA,delivered biomass,USA
MA,delivered biomass,USA
MD,delivered biomass,USA
ME,delivered biomass,USA
MI,delivered biomass,USA
MN,delivered biomass,USA
MO,delivered biomass,USA
MS,delivered biomass,USA
MT,delivered biomass,USA
NC,delivered biomass,USA
ND,delivered biomass,USA
NE,delivered biomass,USA
NH,delivered biomass,USA
NJ,delivered biomass,USA
NM,delivered biomass,USA
NV,delivered biomass,USA
NY,delivered biomass,USA
OH,delivered biomass,USA
OK,delivered biomass,USA
OR,delivered biomass,USA
PA,delivered biomass,USA
RI,delivered biomass,USA
SC,delivered biomass,USA
SD,delivered biomass,USA
TN,delivered biomass,USA
TX,delivered biomass,USA
UT,delivered biomass,USA
VA,delivered biomass,USA
VT,delivered biomass,USA
WA,delivered biomass,USA
WI,delivered biomass,USA
WV,delivered biomass,USA
WY,delivered biomass,USA
AK,delivered coal,USA
AL,delivered coal,USA
AR,delivered coal,USA
AZ,delivered coal,USA
CA,delivered coal,USA
CO,delivered coal,USA
CT,delivered coal,USA
DC,delivered coal,USA
DE,delivered coal,USA
FL,delivered coal,USA
GA,delivered coal,USA
HI,delivered coal,USA
IA,delivered coal,USA
ID,delivered coal,USA
IL,delivered coal,USA
IN,delivered coal,USA
KS,delivered coal,USA
KY,delivered coal,USA
LA,delivered coal,USA
MA,delivered coal,USA
MD,delivered coal,USA
ME,delivered coal,USA
MI,delivered coal,USA
MN,delivered coal,USA
MO,delivered coal,USA
MS,delivered coal,USA
MT,delivered coal,USA
NC,delivered coal,USA
ND,delivered coal,USA
NE,delivered coal,USA
NH,delivered coal,USA
NJ,delivered coal,USA
NM,delivered coal,USA
NV,delivered coal,USA
NY,delivered coal,USA
OH,delivered coal,USA
OK,delivered coal,USA
OR,delivered coal,USA
PA,delivered coal,USA
RI,delivered coal,USA
SC,delivered coal,USA
SD,delivered coal,USA
TN,delivered coal,USA
TX,delivered coal,USA
UT,delivered coal,USA
VA,delivered coal,USA
VT,delivered coal,USA
WA,delivered coal,USA
WI,delivered coal,USA
WV,delivered coal,USA
WY,delivered coal,USA
AK,delivered gas,USA
AL,delivered gas,USA
AR,delivered gas,USA
AZ,delivered gas,USA
CA,delivered gas,USA
CO,delivered gas,USA
CT,delivered gas,USA
DC,delivered gas,USA
DE,delivered gas,USA
FL,delivered gas,USA
GA,delivered gas,USA
HI,delivered gas,USA
IA,delivered gas,USA
ID,delivered gas,USA
