# This table contains subsector level interpolation rules,,,,,,,
# Source: Tables_Ind_Data.xlsx,,,,,,,
supplysector,subsector,sw_1975,sw_1990,sw_2005,from_year,to_year,interpolation_function
industrial energy use,biomass,1,1,1,2005,9999,fixed
industrial energy use,coal,1,1,1,2005,9999,fixed
industrial energy use,electricity,1,1,1,2005,9999,fixed
industrial energy use,gas,1,1,1,2005,9999,fixed
industrial energy use,refined liquids,1,1,1,2005,9999,fixed
industrial energy use,hydrogen,0,0,0,2005,2050,linear
industrial feedstocks,biomass,1,1,1,2005,9999,fixed
industrial feedstocks,coal,1,1,1,2005,9999,fixed
industrial feedstocks,gas,1,1,1,2005,9999,fixed
industrial feedstocks,refined liquids,1,1,1,2005,9999,fixed
industry,industry,1,1,1,2005,9999,fixed
