# File: Pot_veg_carbon_Mg_per_ha.csv
# Title: Potential veg and soil C density for HYDE land cells
# Units: Mg/ha
# Author: lds
# Description: pot veg soil and veg carbon density (Mg/ha) for hyde land cells in country X glu X land type
# Original source: soil c for sage pot veg; veg c for sage pot veg; sage potential veg; country raster; new glu raster; hyde land area
# ----------
iso,glu_code,land_type,c_type,value
afg,52,901,soil_c,95
afg,52,901,veg_c,25
afg,52,902,soil_c,95
afg,52,902,veg_c,25
afg,52,1001,soil_c,123
afg,52,1001,veg_c,7
afg,52,1002,soil_c,123
afg,52,1002,veg_c,7
afg,52,1101,soil_c,69
afg,52,1101,veg_c,55
afg,52,1201,soil_c,69
afg,52,1201,veg_c,27
afg,52,1202,soil_c,69
afg,52,1202,veg_c,27
afg,52,1402,soil_c,38
afg,52,1402,veg_c,1
afg,58,401,soil_c,134
afg,58,401,veg_c,160
afg,58,402,soil_c,134
afg,58,402,veg_c,160
afg,58,802,soil_c,143
afg,58,802,veg_c,103
afg,58,902,soil_c,95
afg,58,902,veg_c,25
afg,58,1001,soil_c,123
afg,58,1001,veg_c,7
afg,58,1002,soil_c,123
afg,58,1002,veg_c,7
afg,58,1101,soil_c,69
afg,58,1101,veg_c,55
afg,58,1102,soil_c,69
afg,58,1102,veg_c,55
afg,58,1201,soil_c,69
afg,58,1201,veg_c,27
afg,58,1202,soil_c,69
afg,58,1202,veg_c,27
afg,58,1301,soil_c,203
afg,58,1301,veg_c,9
afg,58,1302,soil_c,203
afg,58,1302,veg_c,9
afg,58,1401,soil_c,38
afg,58,1401,veg_c,1
afg,58,1402,soil_c,38
afg,58,1402,veg_c,1
afg,58,1501,soil_c,85
afg,58,1502,soil_c,85
afg,89,902,soil_c,95
afg,89,902,veg_c,25
afg,89,1001,soil_c,123
afg,89,1001,veg_c,7
afg,89,1002,soil_c,123
afg,89,1002,veg_c,7
afg,89,1102,soil_c,69
afg,89,1102,veg_c,55
afg,89,1201,soil_c,69
afg,89,1201,veg_c,27
afg,89,1202,soil_c,69
afg,89,1202,veg_c,27
afg,89,1301,soil_c,203
afg,89,1301,veg_c,9
afg,89,1302,soil_c,203
afg,89,1302,veg_c,9
afg,89,1401,soil_c,38
afg,89,1401,veg_c,1
afg,89,1402,soil_c,38
afg,89,1402,veg_c,1
afg,89,1501,soil_c,85
afg,89,1502,soil_c,85
afg,90,902,soil_c,95
afg,90,902,veg_c,25
afg,90,1002,soil_c,123
afg,90,1002,veg_c,7
afg,90,1202,soil_c,69
