# File: LDS_ag_prod_t.csv
# Title: Initialization of production (t) by country/GLU/crop
# Units: tons
# Author: moirai
# Description: Initialization of production (t) by country/GLU/crop
# Original source: many, including HYDE and SAGE
# Source: https://github.com/JGCRI/moirai
# ----------
ctry_iso,glu_code,SAGE_crop,value
afg,52,Barley,27585
afg,52,Maize,25720
afg,52,Millet,4926
afg,52,PaddyRice,52908
afg,52,Wheat,460064
afg,52,BeansDry,961
afg,52,ChickPeas,3274
afg,52,Lentils,201
afg,52,PeasDry,578
afg,52,Pulsesnes,942
afg,52,Potatoes,785150
afg,58,Barley,22796
afg,58,Maize,35699
afg,58,Millet,6837
afg,58,PaddyRice,48804
afg,58,Wheat,456740
afg,58,BeansDry,1333
afg,58,ChickPeas,5774
afg,58,Lentils,353
afg,58,PeasDry,802
afg,58,Pulsesnes,1307
afg,58,Potatoes,1233682
afg,89,Barley,8771
afg,89,Maize,13735
afg,89,Millet,2631
afg,89,PaddyRice,18777
afg,89,Wheat,175728
afg,89,BeansDry,513
afg,89,ChickPeas,2221
afg,89,Lentils,136
afg,89,PeasDry,309
afg,89,Pulsesnes,503
afg,89,Potatoes,474651
afg,90,Barley,10448
afg,90,Maize,8824
afg,90,Millet,1690
afg,90,PaddyRice,20017
afg,90,Wheat,171230
afg,90,BeansDry,330
afg,90,ChickPeas,1020
afg,90,Lentils,60
afg,90,PeasDry,198
afg,90,Pulsesnes,323
afg,90,Potatoes,258831
afg,97,Barley,19772
afg,97,Maize,29569
afg,97,Millet,5650
afg,97,PaddyRice,41873
afg,97,Wheat,388747
afg,97,Alff4FrgSlg,798
afg,97,FrgProdNES,303
afg,97,Apples,135
afg,97,Apricots,16
afg,97,Berriesnes,9
afg,97,Cherries,14
afg,97,CitrusFrtNES,4
afg,97,Dates,55
afg,97,Figs,5
afg,97,FrtFrshNES,84
afg,97,Grapes,152
afg,97,Lmn_Lme,61
afg,97,Oranges,113
afg,97,Peach_Nctrn,20
afg,97,Pears,12
afg,97,Plums,8
afg,97,Quinces,2
afg,97,SourCherries,3
afg,97,StnFrtNESFrh,11
afg,97,TngMndClmnt,44
afg,97,Olives,2
afg,97,SesameSeed,2
afg,97,Soybeans,8
afg,97,SnflwrSeed,3
afg,97,Ans_bdn_fnnl,1
afg,97,Tea,3
afg,97,BeansDry,1112
afg,97,ChickPeas,4692
afg,97,Lentils,286
afg,97,PeasDry,663
afg,97,Pulsesnes,1083
afg,97,Potatoes,1010531
