# File: MIRCA_irrHA_ha.csv
# Title: MIRCA irrigated harvested area
# Units: ha
# Author: lds
# Description: mirca irrigated harvested area (ha) for sage land cells in country X glu
# Original source: MIRCA2000; country raster; new glu raster
# Source: https://github.com/JGCRI/lds
# ----------
iso,glu_code,mirca_crop,value
afg,52,1,103701
afg,52,2,12288
afg,52,3,13020
afg,52,4,4207
afg,52,9,1105
afg,52,10,2364
afg,52,17,2951
afg,52,21,7716
afg,52,24,12129
afg,52,25,16034
afg,52,26,14883
afg,58,1,234934
afg,58,2,73466
afg,58,3,35235
afg,58,4,40745
afg,58,9,4099
afg,58,10,6942
afg,58,17,9228
afg,58,21,28631
afg,58,24,38314
afg,58,25,50648
afg,58,26,50227
afg,89,1,155424
afg,89,2,12441
afg,89,3,13829
afg,89,4,8040
afg,89,9,1524
afg,89,10,3315
afg,89,17,3396
afg,89,21,10645
afg,89,24,17316
afg,89,25,22891
afg,89,26,21554
afg,90,1,54449
afg,90,2,20344
afg,90,3,10601
afg,90,4,9448
afg,90,9,774
afg,90,10,848
afg,90,17,2766
afg,90,21,5408
afg,90,24,7818
afg,90,25,10335
afg,90,26,9657
afg,97,1,302930
afg,97,2,98425
afg,97,3,49371
afg,97,4,50336
afg,97,8,5
afg,97,9,3997
afg,97,10,5304
afg,97,13,160
afg,97,17,13194
afg,97,18,40
afg,97,19,12
afg,97,21,28113
afg,97,24,41076
afg,97,25,54247
afg,97,26,51503
afg,102,1,5190
afg,102,2,22937
afg,102,3,6579
afg,102,4,11852
afg,102,17,1980
ago,182,3,10633
ago,182,12,5982
ago,182,18,2661
ago,182,24,2666
ago,182,26,10428
ago,183,3,15
ago,183,12,9
ago,183,18,4
ago,183,24,4
ago,183,26,37
ago,197,3,740
ago,197,12,418
ago,197,18,187
ago,197,24,192
ago,197,26,883
alb,54,24,5
alb,55,1,11007
alb,55,2,54248
alb,55,9,195
alb,55,10,4424
alb,55,13,100
alb,55,17,2161
alb,55,18,1
alb,55,20,507
alb,55,21,104
alb,55,24,65211
alb,55,26,31734
and,73,2,20
and,73,20,50
and,73,26,80
are,94,1,47
are,94,10,473
are,94,18,1168
are,94,19,154988
are,94,20,42
are,94,24,688
are,94,25,3478
are,94,26,40958
arg,169,2,5
arg,169,7,125
arg,169,10,13
arg,169,17,119
arg,169,20,462
arg,169,24,95
arg,169,25,1852
arg,169,26,96
arg,200,12,22
arg,200,24,185
arg,203,1,14470
arg,203,2,12705
arg,203,3,1344
arg,203,4,1258
arg,203,5,1270
arg,203,6,2662
arg,203,7,3944
arg,203,8,19556
arg,203,9,1561
arg,203,10,6452
arg,203,12,20398
arg,203,16,2579
arg,203,17,80
arg,203,18,6883
arg,203,20,255
arg,203,21,5244
arg,203,24,5503
arg,203,25,8995
arg,203,26,19075
arg,205,1,4749
arg,205,2,10010
arg,205,4,30
arg,205,5,5
arg,205,6,34
arg,205,7,10
arg,205,8,5215
arg,205,9,433
arg,205,10,8785
arg,205,16,151
arg,205,17,125
arg,205,18,1280
arg,205,20,11015
arg,205,21,12500
arg,205,24,40845
arg,205,25,9125
arg,205,26,15197
arg,206,1,28360
arg,206,2,44868
arg,206,3,113055
arg,206,4,155
arg,206,5,203
arg,206,6,1919
arg,206,7,24400
arg,206,8,49213
arg,206,9,9552
arg,206,10,4122
arg,206,12,61557
arg,206,16,8117
arg,206,17,4015
arg,206,18,16960
arg,206,20,1992
arg,206,21,8583
arg,206,24,15575
arg,206,25,20985
arg,206,26,68403
arg,209,1,1876
arg,209,2,8749
arg,209,3,1
arg,209,4,57
arg,209,5,10
arg,209,6,13
arg,209,7,1093
arg,209,8,1555
arg,209,9,1562
arg,209,10,83
arg,209,16,11
arg,209,17,4
arg,209,21,23
arg,209,24,866
arg,209,25,1229
arg,209,26,375
arg,210,1,14361
arg,210,2,23856
arg,210,4,206
arg,210,5,180
arg,210,6,90
arg,210,7,9851
arg,210,8,6889
arg,210,9,6814
arg,210,10,8182
arg,210,16,2
arg,210,17,1401
arg,210,21,126
arg,210,24,1543
arg,210,25,13494
arg,210,26,14980
arg,212,1,2780
arg,212,2,2251
arg,212,4,108
arg,212,5,46
arg,212,7,3849
arg,212,8,443
arg,212,9,164
arg,212,10,11282
arg,212,17,1666
arg,212,18,1612
arg,212,20,175169
arg,212,21,12512
arg,212,24,91734
arg,212,25,23808
arg,212,26,58179
arg,213,1,2315
arg,213,2,1626
arg,213,4,2279
arg,213,5,378
arg,213,7,10393
arg,213,9,3
arg,213,10,1054
arg,213,17,359
arg,213,20,1987
arg,213,24,47118
arg,213,25,10707
arg,213,26,8781
arg,214,17,23
arg,214,20,2
arg,214,24,38
arg,214,25,149
arg,215,1,3
arg,215,10,414
arg,215,17,342
arg,215,20,42
arg,215,24,1068
arg,215,25,17031
arg,215,26,608
arm,72,1,30095
arm,72,2,2
arm,72,3,1450
arm,72,4,27292
arm,72,10,32139
arm,72,18,783
arm,72,20,26834
arm,72,24,26478
arm,72,25,19
arm,72,26,24237
aus,184,1,2
aus,184,2,3
aus,184,12,3133
aus,184,16,1
aus,184,18,211
aus,184,20,4355
aus,184,21,5849
aus,184,24,2104
aus,184,25,5854
aus,189,1,4319
aus,189,2,27165
aus,189,3,515
aus,189,7,10057
aus,189,10,7911
aus,189,12,128777
aus,189,16,9316
aus,189,18,11759
aus,189,20,43258
aus,189,21,134286
aus,189,24,32392
aus,189,25,185235
aus,189,26,34417
aus,191,1,1108
aus,191,10,1629
aus,191,12,1819
aus,191,18,558
aus,191,20,1163
aus,191,21,1080
aus,191,24,5456
aus,191,25,7841
aus,191,26,8697
aus,193,1,3
aus,193,10,3
aus,193,12,165
aus,193,18,266
aus,193,20,346
aus,193,21,144
aus,193,24,452
aus,193,25,4585
aus,202,1,350
aus,202,10,1191
aus,202,12,27
aus,202,18,1240
aus,202,20,9714
aus,202,21,5
aus,202,24,2967
aus,202,25,9831
aus,202,26,1359
aus,208,1,91098
aus,208,2,25280
aus,208,3,129336
aus,208,7,37227
aus,208,10,13788
aus,208,12,74219
aus,208,16,668
aus,208,18,17519
aus,208,20,55468
aus,208,21,285880
aus,208,24,52891
aus,208,25,699616
aus,208,26,108702
aus,211,1,803
aus,211,10,5555
aus,211,24,2610
aus,211,25,26327
aus,211,26,22465
aut,54,1,2
aut,54,2,1
aut,54,4,4
aut,54,10,6850
aut,54,13,10268
aut,54,15,12
aut,54,17,15
aut,54,20,3423
aut,54,24,6851
aut,54,25,4
aut,54,26,13741
aut,57,10,1
aut,57,13,1
aut,57,24,2
aut,57,26,5
aze,45,1,331
aze,45,2,43
aze,45,3,5
aze,45,4,73
aze,45,10,60
aze,45,13,3
aze,45,18,2
aze,45,20,9
aze,45,21,119
aze,45,24,33
aze,45,26,96
aze,72,1,339165
aze,72,2,32231
aze,72,3,3586
aze,72,4,65005
aze,72,5,143
aze,72,7,38
aze,72,10,47218
aze,72,13,2303
aze,72,18,3392
aze,72,20,11697
aze,72,21,98758
aze,72,24,40252
aze,72,26,79171
bdi,87,3,2980
bdi,87,12,342
bdi,87,23,99
bdi,87,26,171
bdi,183,3,13895
bdi,183,12,1078
bdi,183,23,392
bdi,183,26,594
bel,32,2,181
bel,32,10,59
bel,32,13,24
bel,32,24,52
bel,32,26,1204
bel,36,2,899
bel,36,10,651
bel,36,13,148
bel,36,24,301
bel,36,26,6758
ben,142,3,157
ben,142,10,4
ben,142,12,680
ben,142,24,52
ben,142,26,915
ben,149,3,180
ben,149,10,6
ben,149,12,123
ben,149,24,13
ben,149,26,104
ben,160,3,299
ben,160,10,1
ben,160,12,184
ben,160,24,5
ben,160,26,87
bfa,142,1,39
bfa,142,2,261
bfa,142,3,2478
bfa,142,10,18
bfa,142,12,318
bfa,142,24,106
bfa,142,26,1450
bfa,149,1,4
bfa,149,2,26
bfa,149,3,495
bfa,149,10,2
bfa,149,12,181
bfa,149,24,138
bfa,149,26,235
bfa,160,1,69
bfa,160,2,278
bfa,160,3,6497
bfa,160,10,41
bfa,160,12,3401
bfa,160,24,1756
bfa,160,26,2440
bgd,110,1,330734
bgd,110,2,2
bgd,110,3,5386329
bgd,110,10,81601
bgd,110,12,154321
bgd,110,15,49859
bgd,110,17,28184
bgd,110,26,70733
bgd,116,1,5577
bgd,116,3,195354
bgd,116,10,1885
bgd,116,12,4442
bgd,116,15,788
bgd,116,17,449
bgd,116,26,2760
bgr,54,1,46
bgr,54,2,6369
bgr,54,3,129
bgr,54,8,8
bgr,54,9,1366
bgr,54,10,536
bgr,54,13,8
bgr,54,20,296
bgr,54,21,28
bgr,54,24,802
bgr,54,25,224
bgr,54,26,12572
bgr,55,1,3
bgr,55,2,4229
bgr,55,3,2476
bgr,55,8,1
bgr,55,9,1285
bgr,55,10,1468
bgr,55,13,6
bgr,55,20,767
bgr,55,21,1455
bgr,55,24,839
bgr,55,25,237
bgr,55,26,15406
bhr,94,17,3
bhr,94,18,69
bhr,94,19,994
bhr,94,20,13
bhr,94,24,38
bhr,94,25,47
bhr,94,26,213
bih,54,2,53
bih,54,10,328
bih,54,20,1
bih,54,24,7
bih,54,25,8
bih,54,26,152
bih,55,2,403
bih,55,10,896
bih,55,20,1
bih,55,26,1249
blr,17,2,18
blr,17,4,3
blr,17,5,2
blr,17,10,2
blr,17,25,37
blr,17,26,2
blr,25,2,1590
blr,25,4,452
blr,25,5,407
blr,25,10,294
blr,25,17,56
blr,25,25,3099
blr,25,26,195
blr,30,2,2289
blr,30,3,13
blr,30,4,603
blr,30,5,540
blr,30,10,501
blr,30,13,1
blr,30,17,72
blr,30,25,4517
blr,30,26,276
blr,35,2,4726
blr,35,4,1300
blr,35,5,1167
blr,35,10,1145
blr,35,17,157
blr,35,25,9261
blr,35,26,576
blr,39,2,20820
blr,39,3,22
blr,39,4,5177
blr,39,5,4581
blr,39,10,4570
blr,39,17,553
blr,39,25,43074
blr,39,26,2793
blz,111,2,1300
blz,111,3,700
blz,111,12,500
blz,111,18,200
blz,111,24,300
bol,168,2,7329
bol,168,3,1685
bol,168,4,2692
bol,168,10,10326
bol,168,12,1100
bol,168,18,1585
bol,168,24,2018
bol,168,26,10629
bol,200,2,10909
bol,200,3,3254
bol,200,4,3304
bol,200,10,18106
bol,200,12,816
bol,200,17,1
bol,200,18,790
bol,200,24,683
bol,200,26,13393
bol,206,2,7716
bol,206,3,5043
bol,206,4,1992
bol,206,10,11397
bol,206,12,3096
bol,206,18,628
bol,206,24,311
bol,206,26,7967
bra,156,12,1
bra,168,2,222
bra,168,3,1187
bra,168,8,10166
bra,168,11,100
bra,168,12,480
bra,168,17,133
bra,168,18,96
bra,168,20,5
bra,168,21,35
bra,168,22,4
bra,168,23,34
bra,168,24,4183
bra,168,25,677
bra,168,26,2946
bra,172,2,38
bra,172,3,1565
bra,172,8,93
bra,172,11,139
bra,172,12,1346
bra,172,17,117
bra,172,18,129
bra,172,21,53
bra,172,24,1761
bra,172,25,695
bra,172,26,500
bra,174,1,14
bra,174,2,5133
bra,174,3,50540
bra,174,8,2242
bra,174,10,38
bra,174,11,200
bra,174,12,10405
bra,174,16,1
bra,174,17,4077
bra,174,18,268
bra,174,21,351
bra,174,23,129
bra,174,24,16701
bra,174,25,1256
bra,174,26,5521
bra,186,2,2042
bra,186,3,7039
bra,186,10,36
bra,186,11,684
bra,186,12,121635
bra,186,16,4
bra,186,17,5895
bra,186,18,932
bra,186,20,960
bra,186,21,993
bra,186,23,192
bra,186,24,53261
bra,186,25,23908
bra,186,26,20252
bra,187,2,558
bra,187,3,6322
bra,187,8,785
bra,187,11,364
bra,187,12,6730
bra,187,17,2028
bra,187,18,651
bra,187,20,2
bra,187,21,177
bra,187,23,20
bra,187,24,8626
bra,187,25,3503
bra,187,26,2194
bra,192,1,268
bra,192,2,20264
bra,192,3,12414
bra,192,7,1
bra,192,8,13695
bra,192,10,5979
bra,192,11,1165
bra,192,12,26652
bra,192,16,180
bra,192,17,28711
bra,192,18,796
bra,192,20,3026
bra,192,21,5474
bra,192,22,15
bra,192,23,6415
bra,192,24,70009
bra,192,25,44100
bra,192,26,61399
bra,195,1,67
bra,195,2,10742
bra,195,3,522203
bra,195,4,2
bra,195,8,7093
bra,195,10,6381
bra,195,11,3039
bra,195,12,39736
bra,195,16,129
bra,195,17,18139
bra,195,18,2374
bra,195,20,1457
