# File: LDS_value_milUSD.csv
# Title: Initialization of land value (million USD) by country87/use/GLU
# Units: million USD
# Description: Initialization of land value (million USD) by country87/use/GLU
# Source: many, including HYDE and SAGE
reglr_iso,glu_code,use_sector,value
bel,41,ctl,0.040799547
bel,41,gro,0.124577947
bel,41,ocr,0.571208179
bel,41,rmk,0.048910730
bel,41,v_f,0.454784364
bel,41,wht,0.250741124
bel,41,wol,0.001340407
bel,46,c_b,0.008602775
bel,46,ctl,0.080883980
bel,46,frs,0.209795922
bel,46,gro,0.023902280
bel,46,ocr,0.003607664
bel,46,osd,0.005553934
bel,46,rmk,0.096964158
bel,46,v_f,0.027912768
bel,46,wht,0.031302091
bel,46,wol,0.002657320
bgd,110,c_b,88.034019470
bgd,110,ctl,201.268295288
bgd,110,frs,450.306243896
bgd,110,gro,6.451638222
bgd,110,ocr,262.318145752
bgd,110,osd,38.961662292
bgd,110,pdr,1232.721557617
bgd,110,pfb,193.228073120
bgd,110,rmk,11.563793182
bgd,110,v_f,399.645812988
bgd,110,wht,34.751819611
bgd,110,wol,0.001902068
bgd,116,c_b,1.992188215
bgd,116,ctl,26.307495117
bgd,116,frs,184.944564819
bgd,116,gro,0.256600946
bgd,116,ocr,10.425507545
bgd,116,osd,1.580154419
bgd,116,pdr,67.042190552
bgd,116,pfb,5.224888325
bgd,116,rmk,1.511487007
bgd,116,v_f,10.285665512
bgd,116,wht,0.812603593
bgd,116,wol,0.000248617
bgr,54,c_b,2.273384571
bgr,54,ctl,63.335063934
bgr,54,frs,31.100044250
bgr,54,gro,80.720260620
bgr,54,ocr,35.767642975
bgr,54,osd,11.404760361
bgr,54,pdr,0.204239443
bgr,54,rmk,33.166812897
bgr,54,v_f,151.247528076
bgr,54,wht,113.646530151
bgr,54,wol,1.957027912
bgr,55,c_b,0.968420684
bgr,55,ctl,80.785507202
bgr,55,frs,29.764402390
bgr,55,gro,57.053398132
bgr,55,ocr,202.100769043
bgr,55,osd,7.672925949
bgr,55,pdr,4.023729801
bgr,55,rmk,42.305122375
bgr,55,v_f,233.241149902
bgr,55,wht,103.175498962
bgr,55,wol,2.496239424
bra,156,c_b,2.919205427
bra,156,ctl,69.794715881
bra,156,frs,381.216400146
bra,156,gro,9.705698013
bra,156,ocr,62.840530396
bra,156,osd,71.246429443
bra,156,pdr,17.084388733
bra,156,pfb,9.384986877
bra,156,rmk,35.633716583
bra,156,v_f,6.040728092
bra,156,wht,0.002520306
bra,156,wol,0.596111476
bra,161,c_b,0.000403177
bra,161,frs,8.948472977
bra,161,gro,0.003155881
bra,161,ocr,0.000019811
bra,161,osd,0.000066071
bra,161,pdr,0.011640459
bra,161,v_f,0.050860725
bra,168,c_b,0.001890541
bra,168,frs,6.214283943
bra,168,gro,0.003966319
bra,168,ocr,0.003479068
bra,168,osd,0.039469894
bra,168,pdr,0.028192632
bra,168,v_f,0.093605913
bra,172,c_b,0.318684936
bra,172,ctl,0.876212835
bra,172,frs,8.505837440
bra,172,gro,1.371557236
bra,172,ocr,4.628980637
bra,172,osd,0.860004485
bra,172,pdr,6.163350105
bra,172,pfb,0.031848133
bra,172,rmk,0.447350800
bra,172,v_f,2.258328676
bra,172,wol,0.007483669
bra,174,c_b,4.208285809
bra,174,ctl,85.227378845
bra,174,frs,24.500175476
bra,174,gro,7.358641148
bra,174,ocr,19.964239120
bra,174,osd,37.286830902
bra,174,pdr,11.297957420
bra,174,pfb,14.616844177
bra,174,rmk,43.512870789
bra,174,v_f,7.856122494
bra,174,wht,0.042063598
bra,174,wol,0.727920771
bra,186,c_b,36.684246063
bra,186,ctl,9.907505989
bra,186,frs,0.056115761
bra,186,gro,4.881113052
bra,186,ocr,7.545564175
bra,186,osd,4.303811550
bra,186,pdr,2.299602747
bra,186,pfb,1.756451964
bra,186,rmk,5.058281422
bra,186,v_f,11.812166214
bra,186,wol,0.084619284
bra,187,c_b,1.439639926
bra,187,ctl,8.314185143
bra,187,frs,0.463553816
bra,187,gro,2.542474985
bra,187,ocr,0.189142928
bra,187,osd,10.178428650
bra,187,pdr,4.180900574
bra,187,pfb,0.710211337
bra,187,rmk,4.244810581
bra,187,v_f,1.924463630
bra,187,wol,0.071010843
bra,192,c_b,8.941357613
bra,192,ctl,77.482284546
bra,192,frs,2.319071054
bra,192,gro,13.697904587
bra,192,ocr,29.368566513
bra,192,osd,28.367889404
bra,192,pdr,3.776911259
bra,192,pfb,11.680693626
bra,192,rmk,39.558612823
bra,192,v_f,14.810915947
bra,192,wht,0.149555281
bra,192,wol,0.661770523
bra,195,c_b,14.220849037
bra,195,ctl,106.822166443
bra,195,frs,29.839214325
bra,195,gro,21.342300415
bra,195,ocr,440.656127930
bra,195,osd,39.497253418
bra,195,pdr,53.353607178
bra,195,pfb,2.346766710
bra,195,rmk,54.538097382
bra,195,v_f,43.256126404
bra,195,wht,2.140680552
bra,195,wol,0.912360191
bra,206,c_b,224.991241455
bra,206,ctl,285.327239990
bra,206,frs,40.441223145
bra,206,gro,179.479843140
bra,206,ocr,334.952087402
bra,206,osd,368.808013916
bra,206,pdr,36.521499634
bra,206,pfb,40.267494202
bra,206,rmk,145.673934937
bra,206,v_f,103.512481689
bra,206,wht,16.554267883
bra,206,wol,2.436959028
bwa,188,frs,0.124189481
bwa,197,frs,9.503249168
can,2,ctl,595.530029297
can,2,frs,103.001426697
can,2,gro,3.191129923
can,2,osd,5.615015507
can,2,rmk,195.918334961
can,2,v_f,1.236088991
can,2,wht,6.802975655
can,2,wol,0.086453803
can,7,ctl,11.732666969
can,7,frs,120.025741577
can,7,gro,0.048163995
can,7,osd,0.000043601
can,7,rmk,3.859830141
can,7,v_f,0.944707036
can,7,wol,0.001703245
can,10,ctl,6.245564461
can,10,frs,251.495986938
can,10,gro,14.324364662
can,10,osd,31.557701111
can,10,rmk,2.054675102
can,10,v_f,4.950623512
can,10,wht,48.156921387
can,10,wol,0.000906676
can,15,ctl,20.954313278
can,15,frs,379.838653564
can,15,gro,0.274521291
can,15,ocr,0.475193143
can,15,osd,0.006006371
can,15,rmk,6.893580914
can,15,v_f,0.147191674
can,15,wht,0.029581401
can,15,wol,0.003041963
can,19,ctl,8.932286263
can,19,frs,270.498229980
can,19,gro,1.005505919
can,19,ocr,0.429248154
can,19,osd,0.113110580
can,19,rmk,2.938556194
can,19,v_f,13.415417671
can,19,wht,0.364494890
can,19,wol,0.001296710
can,23,frs,408.028594971
can,23,gro,176.725723267
can,23,osd,380.044036865
can,23,v_f,187.991836548
can,23,wht,731.705017090
can,27,frs,76.679107666
can,27,gro,0.412609547
can,27,osd,0.000677755
can,27,v_f,7.889404774
can,27,wht,0.132984459
can,34,frs,12.432296753
can,40,ctl,6.892831802
can,40,frs,102.588882446
can,40,gro,3.410694361
can,40,ocr,3.385945559
can,40,osd,0.373407274
can,40,rmk,2.267613888
can,40,v_f,9.864836693
can,40,wht,0.615624964
can,40,wol,0.001000641
can,223,frs,0.656755745
