# File: MIRCA_rfdHA_ha.csv
# Title: MIRCA rainfed havested area
# Units: ha
# Author: lds
# Description: mirca rainfed havested area (ha) for sage land cells in country X glu
# Source: MIRCA2000; country raster; new glu raster
iso,glu_code,mirca_crop,value
afg,52,1,347964
afg,52,3,701
afg,52,4,121
afg,52,6,6021
afg,52,10,49996
afg,52,17,34
afg,58,1,401347
afg,58,3,792
afg,58,6,8594
afg,58,10,67895
afg,89,1,83503
afg,89,3,100
afg,89,6,3263
afg,89,10,25084
afg,90,1,104749
afg,90,3,151
afg,90,6,2089
afg,90,10,17340
afg,97,1,245299
afg,97,3,282
afg,97,6,7167
afg,97,9,5
afg,97,10,57081
afg,97,12,2
afg,97,20,17
afg,97,25,43
afg,102,1,39
afg,102,6,1
afg,102,10,5
ago,162,1,12
ago,162,2,2761
ago,162,6,1010
ago,162,9,69
ago,162,10,75
ago,162,11,2513
ago,162,12,6
ago,162,14,102
ago,162,16,286
ago,162,17,997
ago,162,18,46
ago,162,21,47
ago,162,22,9
ago,162,23,425
ago,162,24,180
ago,162,26,560
ago,182,1,1060
ago,182,2,571469
ago,182,6,89750
ago,182,9,6093
ago,182,10,6671
ago,182,11,223441
ago,182,12,525
ago,182,14,9070
ago,182,16,25388
ago,182,17,88616
ago,182,18,4099
ago,182,21,4140
ago,182,22,831
ago,182,23,37765
ago,182,24,15928
ago,182,26,39602
ago,183,1,1003
ago,183,2,51265
ago,183,3,2
ago,183,6,83728
ago,183,9,5763
ago,183,10,6178
ago,183,11,227736
ago,183,12,500
ago,183,14,8579
ago,183,16,28325
ago,183,17,84969
ago,183,18,3896
ago,183,21,3916
ago,183,22,786
ago,183,23,35722
ago,183,24,15869
ago,183,26,46092
ago,188,1,313
ago,188,2,29032
ago,188,6,26394
ago,188,9,1796
ago,188,10,1961
ago,188,11,65772
ago,188,12,156
ago,188,14,2679
ago,188,16,7501
ago,188,17,26058
ago,188,18,1216
ago,188,21,1221
ago,188,22,245
ago,188,23,11155
ago,188,24,4714
ago,188,26,14689
ago,197,1,222
ago,197,2,70040
ago,197,6,18815
ago,197,9,1277
ago,197,10,1399
ago,197,11,46843
ago,197,12,110
ago,197,14,1901
ago,197,16,5322
ago,197,17,18578
ago,197,18,860
ago,197,21,868
ago,197,22,174
ago,197,23,7917
ago,197,24,3343
ago,197,26,9610
alb,54,1,146
alb,54,2,205
alb,54,4,21
alb,54,10,77
alb,54,13,20
alb,54,17,61
alb,54,18,2
alb,54,20,26
alb,54,25,433
alb,54,26,291
alb,55,1,99646
alb,55,2,18625
alb,55,4,1702
alb,55,5,1769
alb,55,8,331
alb,55,9,1338
alb,55,10,6627
alb,55,13,1309
alb,55,17,25553
alb,55,18,396
alb,55,20,4284
alb,55,21,730
alb,55,24,259
alb,55,25,79633
alb,55,26,19287
are,94,18,3
are,94,20,1
are,94,25,19534
arg,169,1,439
arg,169,2,114
arg,169,3,21
arg,169,4,193
arg,169,5,16
arg,169,6,7
arg,169,9,6
arg,169,10,122
arg,169,15,14
arg,169,17,26
arg,169,18,7
arg,169,20,130
arg,169,24,7
arg,169,25,78
arg,169,26,3
arg,200,1,8
arg,200,2,6
arg,200,4,1
arg,200,5,4
arg,200,6,1
arg,200,17,22
arg,200,25,703
arg,203,1,465776
arg,203,2,266026
arg,203,3,52
arg,203,4,1082
arg,203,5,5181
arg,203,6,2173
arg,203,7,222724
arg,203,8,1005014
arg,203,9,7999
arg,203,10,13504
arg,203,12,141752
arg,203,16,6530
arg,203,17,28845
arg,203,18,10506
arg,203,20,1377
arg,203,21,10006
arg,203,24,5395
arg,203,25,311206
arg,203,26,49304
arg,205,1,12345
arg,205,2,51235
arg,205,3,22
arg,205,4,96
arg,205,5,1007
arg,205,6,341
arg,205,7,31499
arg,205,8,28221
arg,205,9,13233
arg,205,10,8647
arg,205,12,83
arg,205,16,5043
arg,205,17,3688
arg,205,18,328
arg,205,20,275
arg,205,24,658
arg,205,25,124482
arg,205,26,5959
arg,206,1,2350297
arg,206,2,1542001
arg,206,3,83883
arg,206,4,32606
arg,206,5,26255
arg,206,6,10422
arg,206,7,747346
arg,206,8,5832759
arg,206,9,553151
arg,206,10,5201
arg,206,11,15975
arg,206,12,44472
arg,206,15,196
arg,206,16,155507
arg,206,17,173994
arg,206,18,92786
arg,206,20,6433
arg,206,21,442219
arg,206,24,223445
arg,206,25,1188455
arg,206,26,200347
arg,207,1,130
arg,207,2,89
arg,207,3,6
arg,207,4,2
arg,207,5,4
arg,207,6,2
arg,207,9,3
arg,207,10,28
arg,207,15,9
arg,207,17,27
arg,207,18,1
arg,207,20,5
arg,207,25,11
arg,209,1,1089698
arg,209,2,867092
arg,209,3,639
arg,209,4,66669
arg,209,5,15250
arg,209,6,6042
arg,209,7,163730
arg,209,8,921296
arg,209,9,1147713
arg,209,10,980
arg,209,15,1576
arg,209,16,96678
arg,209,17,2023
arg,209,18,33
arg,209,20,14
arg,209,24,14673
arg,209,25,1300119
arg,209,26,105388
arg,210,1,1891158
arg,210,2,610533
arg,210,3,75
arg,210,4,154796
arg,210,5,14652
arg,210,6,5956
arg,210,7,80294
arg,210,8,1219156
arg,210,9,1032731
arg,210,10,16791
arg,210,15,2273
arg,210,16,1154
arg,210,17,2225
arg,210,18,1919
arg,210,20,320
arg,210,24,17233
arg,210,25,1192880
arg,210,26,104146
arg,212,1,29406
arg,212,2,10182
arg,212,3,117
arg,212,4,189
arg,212,5,1004
arg,212,6,427
arg,212,7,4661
arg,212,8,865
arg,212,9,5689
arg,212,10,1824
arg,212,15,67
arg,212,16,32
arg,212,17,655
arg,212,18,10
arg,212,20,271
arg,212,24,3716
arg,212,25,70692
arg,212,26,2803
arg,213,1,104395
arg,213,2,454
arg,213,3,9
arg,213,4,141
arg,213,5,687
arg,213,6,289
arg,213,7,1905
arg,213,8,37
arg,213,9,3596
arg,213,10,336
arg,213,15,6
arg,213,17,67
arg,213,18,1
arg,213,20,22
arg,213,24,3204
arg,213,25,24025
arg,213,26,6049
arg,214,2,3
arg,214,5,5
arg,214,6,2
arg,214,7,2
arg,214,10,94
arg,214,20,3
arg,214,24,237
arg,214,25,177
arg,215,1,2949
arg,215,2,45
arg,215,4,83
arg,215,5,63
arg,215,6,26
arg,215,8,1
arg,215,9,96
arg,215,10,868
arg,215,15,1
arg,215,17,1
arg,215,20,12
arg,215,24,36
arg,215,25,1487
arg,215,26,133
arm,72,1,84118
arm,72,2,2343
arm,72,4,36707
arm,72,5,143
arm,72,9,1
arm,72,10,987
arm,72,13,9
arm,72,17,1988
arm,72,18,1
arm,72,20,22
arm,72,21,24
arm,72,24,114
arm,72,25,97865
arm,72,26,102977
aus,184,1,93
aus,184,2,1830
aus,184,4,26
aus,184,5,255
aus,184,6,97
aus,184,7,1521
aus,184,8,11
aus,184,9,46
aus,184,10,61
aus,184,12,38132
aus,184,16,1764
aus,184,17,4184
aus,184,18,12
aus,184,24,1172
aus,184,25,721
aus,184,26,12161
aus,189,1,1286603
