# File: A_biomassSupplyShare_R.csv
# Title: Whether a region currently has bioenergy supports
# Units: NA
# Comments: These data include preference assumptions to adjust supply side share weights, possibly by region. Regions not included here are set to USA's value. Only the preference column is used
# Source: NA
# Column types: iccc
# ----------
GCAM_region_ID,region,preference,preference_alternative
1,USA,High,High
2,Africa_Eastern,Low,Low
3,Africa_Northern,Low,Low
4,Africa_Southern,Low,Low
5,Africa_Western,Low,Low
6,Australia_NZ,High,High
7,Brazil,High,High
8,Canada,Low,High
9,Central America and Caribbean,Low,Low
10,Central Asia,Low,Low
11,China,High,High
12,EU-12,High,High
13,EU-15,Low,High
14,Ukraine,Low,High
15,Europe_Non_EU,High,High
16,European Free Trade Association,Low,High
17,India,Low,Low
18,Indonesia,Low,Low
19,Japan,Low,Low
20,Mexico,Low,Low
21,Middle East,Low,Low
22,Pakistan,Low,Low
23,Russia,Low,Low
24,South Africa,Low,Low
25,South America_Northern,Low,Low
26,South America_Southern,Low,Low
27,South Asia,Low,Low
28,South Korea,Low,Low
29,Southeast Asia,Low,Low
30,Taiwan,Low,Low
31,Argentina,High,High
32,Colombia,Low,Low
